filename,method,chars,note
2024-08-01_Resolution_Authorizing_the_Issuance_of_a_RFP_for_Proposals_for_a_Consultant_to_Prepare_an_IFFP_Signed.pdf,pdftotext_layout,20121,
2024-7-01_Temporary_Appointment_of_Board_Member_to_Utah_Community_Renewable_Energy_Agency_Board.pdf,ocr_tesseract,1557,image-only PDF; OCR fallback
2024-7-02_Temporary_Appointment_of_Board_Member_to_Wasatch_Front_Waste_and_Recycling_Board.pdf,ocr_tesseract,1535,image-only PDF; OCR fallback
Corrected_Kearns_19.48.040.pdf,pdftotext_layout,4895,
Kearns_-_Resolution_Approving_Community_Renewable_Energy_Program_Interlocal_Agreement_-_FINAL_(6-14-2021)_(KE033-001)_4827-9345-2782_v.1_4849-8992-3566_v.2.pdf,pdftotext_layout,73406,
Kearns_2025-O-03_Title_2.04.pdf,pdftotext_layout,1181,
Kearns_2025-O-18_Updating_Titles_18_and_19_for_HB368.pdf,ocr_tesseract,73246,image-only PDF; OCR fallback
Kearns_2025-O-19_Adopting_WUI_(no_map).pdf,ocr_tesseract,5342,image-only PDF; OCR fallback
Kearns_2026-O-03_Making_Community_Council_Official_City_Committee.pdf,ocr_tesseract,14486,image-only PDF; OCR fallback
Kearns_2026-O-07_Amend_Section_19.50.020_Clarifying_Exemptions_to_Landscape_Requirements.pdf,ocr_tesseract,7474,image-only PDF; OCR fallback
Kearns_2026-O-07_Amending_Section_19.50.020_Landscaping_Requirements.pdf,ocr_tesseract,7522,image-only PDF; OCR fallback
Kearns_Planning_Commission_Rules_of_Order_and_Procedure_FINAL_SIGNED.pdf,ocr_tesseract,24210,image-only PDF; OCR fallback
Kearns_R2025-10_Adopting_SLCo_Multi-Jurisdictional_Hazard_Plan.pdf,ocr_tesseract,2135,image-only PDF; OCR fallback
Kearns_R2025-10_Attachment_A_-_Salt_Lake_County_Kearns_Annex.pdf,pdftotext_layout,174784,
Kearns_R2025-10_Attachment_B_-_SLC_HMP_Volume_1_-_July_2025_Revised.pdf,pdftotext_layout,1094251,
Kearns_R2025-10_Attachment_C_-_SLC_HMP_Volume_2_-_July_2025_Revised.pdf,pdftotext_layout,5752189,
Kearns_R2026-01_Appointing_Representative_to_MSD_Board.pdf,pdftotext_layout,2048,
Kearns_R2026-02_Appointing_Representative_to_UPD_and_SLVLESA.pdf,pdftotext_layout,2681,
Kearns_R2026-02_Appointing_Representative_to_UPD_and_SLVLESA__22e0e3.pdf,pdftotext_layout,2690,
Kearns_R2026-03_Amending_Appointiments_to_UPD_and_SLVLESA_(1-6-2026).docx,textutil_docx,1781,
Kearns_R2026-03_Amending_Appointiments_to_UPD_and_SLVLESA_(1-6-2026).pdf,pdftotext_layout,4954,
Kearns_R2026-04_Appointing_Representative_to_WFWRD.pdf,pdftotext_layout,2022,
Kearns_R2026-05_Appointing_Representative_to_SSLV_Mosquito_Board.pdf,pdftotext_layout,1909,
Kearns_R2026-06_Appointing_Representative_to_Magna_Mosquito.pdf,pdftotext_layout,2224,
Kearns_R2026-07_Adopting_City_Personnel_Policy.pdf,pdftotext_layout,75674,
Kearns_R2026-08_Adopting_Amended_Hazard_Mitigation_Plan.pdf,pdftotext_layout,2763,
Kearns_R2026-09_Support_for_Ped_Bridge_over_RR_Tracks_at_5400_S.pdf,pdftotext_layout,2165,
Kearns_R2026-10_Appointing_CM_Longtin_as_UFA_Alternate.pdf,pdftotext_layout,5085,
Kearns_R2026-10_Appointing_CM_Longtin_as_UFA_Alternate__3bab38.pdf,pdftotext_layout,4961,
Kearns_R2026-14_UPD_ILA_-_Traffic_Car_and_Officer.pdf,pdftotext_layout,15282,
Kearns_Residential_Density_Ordinance_2021-01-01_APPROVED_-_Final.pdf,pdftotext_layout,16284,
Kearns_Title_18_AdoptedJune2023.pdf,pdftotext_layout,153427,
Kearns_Title_18_AdoptedJune2023__75826e.pdf,pdftotext_layout,158491,
Kearns_Title_19_AdoptedJune2023.pdf,pdftotext_layout,934947,
Kearns_Title_19_AdoptedJune2023__956ee6.pdf,pdftotext_layout,940011,
Ord_COP_Test.pdf,pdftotext_layout,1993,
Ordinance_17-02-01.pdf,pdftotext_layout,10802,
Ordinance_17-02-01_(002).docx,textutil_docx,7292,
Ordinance_17-02-01__3cee4c.pdf,ocr_tesseract,10103,image-only PDF; OCR fallback
Ordinance_17-02-02.pdf,pdftotext_layout,15541,
Ordinance_17-02-02__ef59dc.pdf,ocr_tesseract,13230,image-only PDF; OCR fallback
Ordinance_17-02-03.pdf,pdftotext_layout,4383,
Ordinance_17-02-03__91093d.pdf,ocr_tesseract,3153,image-only PDF; OCR fallback
Ordinance_17-06-01.pdf,ocr_tesseract,2372,image-only PDF; OCR fallback
Ordinance_17-06-01__1fddb1.pdf,pdftotext_layout,2937,
