body_label,pmn_body_id,notice_id,event_date,notice_title,file_id,ext,filename,class,content_length,size_mb
Council,5823,1094827,2026-07-13,Kearns City Council Meeting,1460599,pdf,07-13-2026 Kearns CC Meeting - Supporting Documents.pdf,PACKET,23869571,23.87
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445673,pdf,06-08-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET,13038311,13.04
Council,5823,1079349,2026-05-11,Kearns City Council Meeting,1430799,pdf,05-11-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,3391490,3.39
Council,5823,1072195,2026-04-13,Kearns City Council Meeting,1417135,pdf,04-13-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,8993112,8.99
Council,5823,1064551,2026-03-09,Kearns City Council Meeting,1401727,pdf,03-09-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET,7563893,7.56
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382107,pdf,01-26-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,500680,0.5
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1374391,pdf,01-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,1268496,1.27
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1362003,pdf,12-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,1899860,1.9
Council,5823,1035837,2025-11-10,Kearns City Council Meeting,1347693,pdf,11-10-2025 Kearns CC Meeting AMENDED Agenda and Supporting Documents.pdf,PACKET,2742851,2.74
Council,5823,1029823,2025-10-14,Kearns City Council Meeting,1335557,pdf,10-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,2555354,2.56
Council,5823,1020979,2025-09-08,Kearns City Council Meeting,1319479,pdf,09-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,10160766,10.16
Council,5823,1014429,2025-08-11,Kearns City Council Meeting,1306881,pdf,08-11-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,14926032,14.93
Council,5823,1009493,2025-07-14,Kearns Community Reinvestment Agency Meeting,1297909,pdf,07-14-2025 Kearns CRA Meeting Agenda with Supporting Documents.pdf,PACKET,404661,0.4
Council,5823,1009491,2025-07-14,Kearns City Council Meeting,1297907,pdf,07-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,18349576,18.35
Council,5823,1000989,2025-06-09,Kearns City Council Meeting,1282475,pdf,06-09-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,1742965,1.74
Council,5823,993975,2025-05-12,Kearns City Council Meeting,1269805,pdf,05-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,4299792,4.3
Council,5823,987241,2025-04-14,Kearns City Council Meeting,1258007,pdf,04-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,2038766,2.04
Council,5823,978283,2025-03-10,Kearns City Council Meeting,1241293,pdf,03-10-2025 Kearns CC Meeting Packet.pdf,PACKET,1308493,1.31
Council,5823,972073,2025-02-10,Kearns City Council Meeting,1229209,pdf,02-10-2025 Kearns CC Meeting Packet.pdf,PACKET,886542,0.89
Council,5823,966425,2025-01-13,Agenda,1218527,pdf,01-13-25 Agenda Packet.pdf,PACKET,4964447,4.96
Council,5823,958697,2024-12-09,Special Meeting Agenda,1204855,pdf,12-09-24 Agenda Packet.pdf,PACKET,5606105,5.61
Council,5823,952529,2024-11-12,Agenda,1193383,pdf,11-12-2024 Kearns Agenda Packet.pdf,PACKET,2779551,2.78
Council,5823,946567,2024-10-15,Agenda,1182247,pdf,10-15-24 Agenda Packet.pdf,PACKET,5027968,5.03
Council,5823,946567,2024-10-15,Agenda,1182683,pdf,10-15-24 Amended Agenda Packet.pdf,PACKET,2464794,2.46
