stem,bytes,chars,status
07-14-2025_Kearns_CRA_Meeting_Agenda_with_Supporting_Documents,404661,22379,extracted
Kearns_Council_Title18_19_StaffReport_wAttachments,8220739,1123463,extracted
AgendaPacket07082024,1655732,0,image_only
8-12-2024_Agenda_Packet,3904780,108130,extracted
Agenda_Packet_9-9-24,2226297,22491,extracted
10-15-24_Agenda_Packet,5027968,644696,extracted
10-15-24_Amended_Agenda_Packet,2464794,349057,extracted
11-12-2024_Kearns_Agenda_Packet,2779551,77477,extracted
12-09-24_Agenda_Packet,5606105,22429,extracted
01-13-25_Agenda_Packet,4964447,473962,extracted
02-10-2025_Kearns_CC_Meeting_Packet,886542,51008,extracted
03-10-2025_Kearns_CC_Meeting_Packet,1308493,77487,extracted
04-14-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,2038766,162153,extracted
05-12-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,4299792,99696,extracted
06-09-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,1742965,127886,extracted
07-14-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,18349576,195526,extracted
08-11-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,14926032,249058,extracted
09-08-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,10160766,865160,extracted
10-14-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,2555354,95615,extracted
11-10-2025_Kearns_CC_Meeting_AMENDED_Agenda_and_Supporting_Documents,2742851,270192,extracted
12-08-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,1899860,159218,extracted
01-12-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,1268496,49036,extracted
01-26-2026_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,500680,18653,extracted
03-09-2026_Kearns_CC_Meeting_Supporting_Documents,7563893,797024,extracted
04-13-2026_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,8993112,375968,extracted
05-11-2026_Kearns_CC_Meeting_Agenda_with_Supporting_Documents,3391490,140684,extracted
06-08-2026_Kearns_CC_Meeting_Supporting_Documents,13038311,159059,extracted
07-13-2026_Kearns_CC_Meeting_-_Supporting_Documents,23869571,529840,extracted
190114_KearnsTPC_Packet,4400147,28181,extracted
190311_KearnsTPC_Packet,1739681,30017,extracted
190408_KearnsTPC_Packet,1684205,70058,extracted
190610_KearnsTPC_Packet,932364,88044,extracted
190722_KearnsTPC_Packet,6274488,1379636,extracted
191118_KearnsTPC_Packet,14935543,665784,extracted
200113_KearnsTPC_Packet,57756562,709783,extracted
200713_KearnsTPC_Packet,5787613,89192,extracted
200810_KearnsTPC_Packet,26427311,217137,extracted
201012_KearnsTPC_Packet,1447816,26379,extracted
201109_KearnsTPC_Packet,3413751,191738,extracted
201214_KearnsTPC_Packet,1902416,41959,extracted
210412_KearnsPC_Packet,3905541,552627,extracted
210510_KearnsPC_Packet,10226943,327993,extracted
210614_KearnsPC_Packet,1259795,35503,extracted
VAR2021-000362_Variance_Packet_Guzman,12216376,11721,extracted
210809_KearnsPC_Packet,1516798,105444,extracted
210913_KearnsPC_Packet,5656696,73268,extracted
211011_KearnsPC_Packet,2608663,33478,extracted
220110_KearnsPC_Packet,19037568,83369,extracted
220214_KearnsPC_Packet,4264437,2303074,extracted
220214_KearnsPC_PacketAmended,4136301,2303074,extracted
220411_KearnsPC_Packet,10861397,1238457,extracted
220808_KearnsPC_Packet,3020352,43423,extracted
220912_KearnsPC_Packet,11112324,632624,extracted
221114_KearnsPC_Packet,2172203,37487,extracted
230109_KearnsPC_Packet,6700100,1108488,extracted
230206_KearnsPC_Packet,6707757,1188332,extracted
Kearns_Planning_Commission_Staff_Report_and_Attachments_Titles_18_and_19__March_28__2023,5875051,1115307,extracted
230403_KearnsPC_Packet,7817885,1764593,extracted
KearnsPC_StaffReport_Titles18_19_June2023wAttachments,6537144,1143871,extracted
230710_KearnsPC_Packet,2810385,376476,extracted
230918_KearnsPC_Packet,4803966,105708,extracted
240103_KearnsPC_Packet,3667786,375353,extracted
OAM2023-001050_Kearns_174_Compliance_Amendments_PC_StaffReport,1022751,158695,extracted
240304_KearnsPC_Packet,1657329,14218,extracted
240506_KearnsPC_Packet,2829751,119378,extracted
Kearns_PC_Staff_Report_OAM2024-001167_June2024wAttachments,748686,22966,extracted
240909_KearnsPC_Packet,2136444,290136,extracted
draft_2024-09-08_Kearns_476_Compliance_Amendments_PC_StaffReport_2024-09-08,212992,7338,extracted
241202_KearnsPC_Packet,3891247,27680,extracted
OAM2025-001330_-_P.C._packet,440022,18894,extracted
250505_KearnsPC_Packet,5063545,120714,extracted
REZ2025-01400_Staff_Report,2892488,9595,extracted
CUP2025-001399_Staff_Report_Final,64765073,1302395,extracted
250804_KearnsPC_Packet,1976522,46809,extracted
251006_KearnsPC_Packet,5641255,62862,extracted
251103_KearnsPC_Packet,15559495,124582,extracted
260406_KearnsPC_Packet,2275981,33036,extracted
260601_KearnsPC_Packet,49000188,30176,extracted
260706_KearnsPC_Packet,1414271,21740,extracted
OAM2026-001636_Kearns_PC_Staff_Report,2255484,146204,extracted
