meeting_date,file_id,filename,notice_date,meeting_type,url,provenance
2019-03-11,484211,190311_KearnsTPC_MinutesApproved.pdf,2019/03/11,Regular,https://www.utah.gov/pmn/files/484211.pdf,
2019-04-08,502755,190408_KearnsTPC_Approved.pdf,2019/06/10,Regular,https://www.utah.gov/pmn/files/502755.pdf,pmn_minutes
2019-06-10,516393,190610_KearnsTPC_MinutesApproved.pdf,2019/06/10,Regular,https://www.utah.gov/pmn/files/516393.pdf,
2019-07-22,529211,190722_KearnsTPC_MinutesApproved.pdf,2019/07/22,Regular,https://www.utah.gov/pmn/files/529211.pdf,
2019-09-09,540003,190909_KearnsTPC_MinutesApproved.pdf,2019/09/09,Regular,https://www.utah.gov/pmn/files/540003.pdf,
2019-10-14,550399,191014_KearnsTPC_MinutesApproved.pdf,2019/10/14,Regular,https://www.utah.gov/pmn/files/550399.pdf,
2019-11-18,566071,191118_KearnsTPC_MinutesApproved.pdf,2019/11/18,Regular,https://www.utah.gov/pmn/files/566071.pdf,
2020-01-13,599855,200113_KearnsTPC_MinutesApproved.pdf,2020/01/13,Regular,https://www.utah.gov/pmn/files/599855.pdf,
2020-05-11,619851,200511_KearnsTPC_MinutesApproved.pdf,2020/05/11,Regular,https://www.utah.gov/pmn/files/619851.pdf,
2020-07-13,627549,200713_KearnsTPC_MinutesApproved.pdf,2020/07/13,Regular,https://www.utah.gov/pmn/files/627549.pdf,
2020-08-10,647499,200810_KearnsTPC_MinutesApproved.pdf,2020/08/10,Regular,https://www.utah.gov/pmn/files/647499.pdf,
2020-10-12,656597,201012_KearnsTPC_MinutesApproved.pdf,2020/10/12,Regular,https://www.utah.gov/pmn/files/656597.pdf,
2020-11-09,667855,201109_KearnsTPC_MinutesApproved.pdf,2020/11/09,Regular,https://www.utah.gov/pmn/files/667855.pdf,
2020-12-14,706385,201214_KearnsTPC_MinutesApproved.pdf,2020/12/14,Regular,https://www.utah.gov/pmn/files/706385.pdf,
2021-04-12,716729,210412_KearnsPC_MinutesApproved.pdf,2021/04/12,Regular,https://www.utah.gov/pmn/files/716729.pdf,
2021-05-10,730203,210510_KearnsTPC_MinutesApproved.pdf,2021/05/10,Regular,https://www.utah.gov/pmn/files/730203.pdf,
2021-06-14,747337,210614_KearnsTPC_MinutesApproved.pdf,2021/06/14,Regular,https://www.utah.gov/pmn/files/747337.pdf,
2021-08-09,759253,210809_KearnsTPC_MinutesApproved.pdf,2021/08/09,Regular,https://www.utah.gov/pmn/files/759253.pdf,
2021-09-13,769491,210913_KearnsTPC_MinutesApproved.pdf,2021/09/13,Regular,https://www.utah.gov/pmn/files/769491.pdf,
2021-10-11,799569,211011_KearnsTPC_MinutesApproved.pdf,2021/10/11,Regular,https://www.utah.gov/pmn/files/799569.pdf,
2022-01-10,814411,220110_KearnsPC_MinutesApproved.pdf,2022/01/10,Regular,https://www.utah.gov/pmn/files/814411.pdf,
2022-02-14,834469,220214_KearnsTPC_MinutesApproved.pdf,2022/02/14,Regular,https://www.utah.gov/pmn/files/834469.pdf,
2022-04-11,877979,220411_KearnsTPC_MinutesApproved.pdf,2022/04/11,Regular,https://www.utah.gov/pmn/files/877979.pdf,
2022-08-08,912471,220808_KearnsTPC_MinutesApproved.pdf,2022/08/08,Regular,https://www.utah.gov/pmn/files/912471.pdf,
2022-11-14,929171,221114_KearnsTPC_MinutesApproved.pdf,2022/11/14,Regular,https://www.utah.gov/pmn/files/929171.pdf,
2023-01-09,940321,230109_KearnsTPC_MinutesApproved.pdf,2023/01/09,Regular,https://www.utah.gov/pmn/files/940321.pdf,
2023-02-06,951487,230206_KearnsTPC_MinutesApproved.pdf,2023/02/06,Regular,https://www.utah.gov/pmn/files/951487.pdf,
2023-06-05,1023105,230605_KearnsTPC_MinutesApproved.pdf,2023/06/05,Regular,https://www.utah.gov/pmn/files/1023105.pdf,
2023-07-10,1023107,230710_KearnsTPC_MinutesApproved.pdf,2023/07/10,Regular,https://www.utah.gov/pmn/files/1023107.pdf,
2023-09-18,1065809,230918_KearnsTPC_MinutesApproved.pdf,2023/09/18,Regular,https://www.utah.gov/pmn/files/1065809.pdf,
2024-01-03,1081249,240103_KearnsTPC_MinutesApproved.pdf,2024/01/03,Regular,https://www.utah.gov/pmn/files/1081249.pdf,
2024-02-05,1092819,240205_KearnsTPC_MinutesApproved.pdf,2024/02/05,Regular,https://www.utah.gov/pmn/files/1092819.pdf,
