date,year,title,slug,path,source,source_url,format
2019-03-11,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-03-11/2019-03-11_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/484211.pdf,text
2019-04-08,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-04-08/2019-04-08_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/502755.pdf,text
2019-06-10,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-06-10/2019-06-10_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/516393.pdf,text
2019-07-22,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-07-22/2019-07-22_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/529211.pdf,text
2019-09-09,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-09-09/2019-09-09_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/540003.pdf,text
2019-10-14,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-10-14/2019-10-14_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/550399.pdf,text
2019-11-18,2019,Planning Commission Meeting,planning-commission-meeting,minutes/2019/2019-11-18/2019-11-18_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/566071.pdf,text
2020-01-13,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-01-13/2020-01-13_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/599855.pdf,text
2020-05-11,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-05-11/2020-05-11_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/619851.pdf,text
2020-07-13,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-07-13/2020-07-13_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/627549.pdf,text
2020-08-10,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-08-10/2020-08-10_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/647499.pdf,text
2020-10-12,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-10-12/2020-10-12_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/656597.pdf,text
2020-11-09,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-11-09/2020-11-09_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/667855.pdf,text
2020-12-14,2020,Planning Commission Meeting,planning-commission-meeting,minutes/2020/2020-12-14/2020-12-14_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/706385.pdf,text
2021-04-12,2021,Planning Commission Meeting,planning-commission-meeting,minutes/2021/2021-04-12/2021-04-12_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/716729.pdf,text
2021-05-10,2021,Planning Commission Meeting,planning-commission-meeting,minutes/2021/2021-05-10/2021-05-10_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/730203.pdf,text
2021-06-14,2021,Planning Commission Meeting,planning-commission-meeting,minutes/2021/2021-06-14/2021-06-14_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/747337.pdf,text
2021-08-09,2021,Planning Commission Meeting,planning-commission-meeting,minutes/2021/2021-08-09/2021-08-09_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/759253.pdf,text
2021-09-13,2021,Planning Commission Meeting,planning-commission-meeting,minutes/2021/2021-09-13/2021-09-13_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/769491.pdf,text
2021-10-11,2021,Planning Commission Meeting,planning-commission-meeting,minutes/2021/2021-10-11/2021-10-11_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/799569.pdf,text
2022-01-10,2022,Planning Commission Meeting,planning-commission-meeting,minutes/2022/2022-01-10/2022-01-10_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/814411.pdf,text
2022-02-14,2022,Planning Commission Meeting,planning-commission-meeting,minutes/2022/2022-02-14/2022-02-14_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/834469.pdf,text
2022-04-11,2022,Planning Commission Meeting,planning-commission-meeting,minutes/2022/2022-04-11/2022-04-11_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/877979.pdf,text
2022-08-08,2022,Planning Commission Meeting,planning-commission-meeting,minutes/2022/2022-08-08/2022-08-08_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/912471.pdf,text
2022-11-14,2022,Planning Commission Meeting,planning-commission-meeting,minutes/2022/2022-11-14/2022-11-14_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/929171.pdf,text
2023-01-09,2023,Planning Commission Meeting,planning-commission-meeting,minutes/2023/2023-01-09/2023-01-09_planning-commission-meeting.md,pmn,https://www.utah.gov/pmn/files/940321.pdf,text
