date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2023-06-12,2023,City Council Meeting,Council,1,to direct Mr. Ellis to go in front of the Greater Salt Lake Municipal Services District Board with the current list of projects for funding consideration. The,Other,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,2,"to adopt Ordinance No. 2023-06-01 of the Kearns Metro Township Council amending Titles 18 and 19 of Municipal Code, Provisions on Zoning and Subdivisions. The",Land-Use/Zoning,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,3,to adopt Resolution No. 2023-06-01 of the Kearns Metro Township Council committing to future impact fee waivers for moderate income housing. The,Resolution,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,4,to adopt Resolution No. 2023-06-02 of the Kearns Metro Township Council adopting the amended 2023 fee schedule. The,Land-Use/Zoning,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,5,"to approve the minutes of the Kearns Metro Township meetings held on April 18, 2023, May 8, 2023, and May 12, 2023. The",Procedural/Administrative,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,6,"to accept pages 48 through 50 of the Greater Salt Lake Municipal Services District Annual Financial Report for the year ended December 31, 2022, with the understanding that there may be future modifications and directing Mayor Kelly Bush to approve said modifications. The",Other,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,7,to move forward with talks with the Granite School District regarding leasing the property. The,Other,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,8,to insure the park assets as discussed. The,Other,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,9,to approve the resolution. The,Resolution,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
2023-06-12,2023,City Council Meeting,Council,10,to change the monthly meeting time from 6:30 to 6:00 pm. The,Other,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2023/2023-06-12/2023-06-12_city-council-meeting.md,minutes
