source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,1,2020-01-14,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,2,2020-01-14,Council,Resolution,Public-Hearing,,procedural,pass,5,0,,roll-call,5:0 Pass,rule:ph-openclose,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,3,2020-01-14,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,4,2020-01-14,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,5,2020-01-14,Council,Land-Use/Zoning,Land-Use,Annexation,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-annex,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,6,2020-01-14,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,7,2020-01-14,Council,Land-Use/Zoning,Land-Use,Annexation,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-annex,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,8,2020-01-14,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,fail,1,4,,roll-call,1:4 Fail,rule:lu-pud,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,9,2020-01-14,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,1,,roll-call,4:1 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,10,2020-01-14,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,4,1,,roll-call,4:1 Pass,crosswalk,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,11,2020-01-14,Council,Appointment,Appointment,,final-action,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,12,2020-01-14,Council,Resolution,Resolution,,final-action,pass,5,0,,roll-call,5:0 Pass,crosswalk,medium
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,13,2020-01-14,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,5:0 Pass,crosswalk,medium
meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council-meeting.md,14,2020-01-14,Council,Interlocal,Interlocal,,final-action,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,1,2020-01-28,Council,Contract/Purchase,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,rule:proc-adjourn,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,2,2020-01-28,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,4:0 Pass,crosswalk,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,3,2020-01-28,Council,Land-Use/Zoning,Public-Hearing,,procedural,pass,4,0,,roll-call,4:0 Pass,rule:ph-openclose,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,4,2020-01-28,Council,Land-Use/Zoning,Land-Use,Development-Agreement,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-devagr,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,5,2020-01-28,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,6,2020-01-28,Council,Land-Use/Zoning,Land-Use,Annexation,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-annex,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,7,2020-01-28,Council,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-site,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,8,2020-01-28,Council,Land-Use/Zoning,Public-Hearing,,procedural,pass,4,0,,roll-call,4:0 Pass,rule:ph-openclose,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,9,2020-01-28,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,10,2020-01-28,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,11,2020-01-28,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,3,1,,roll-call,3:1 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,12,2020-01-28,Council,Land-Use/Zoning,Public-Hearing,,procedural,pass,4,0,,roll-call,4:0 Pass,rule:ph-openclose,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,13,2020-01-28,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,14,2020-01-28,Council,Land-Use/Zoning,Land-Use,General-Plan-Amendment,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-gpa,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,15,2020-01-28,Council,Land-Use/Zoning,Public-Hearing,,procedural,pass,4,0,,roll-call,4:0 Pass,rule:ph-openclose,high
meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,16,2020-01-28,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4:0 Pass,rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-meeting.md,1,2020-02-11,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
