date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2024-07-23,2024,City Council Regular Meeting,Council,1,Approve Surplus Items,Procedural/Administrative,4:0 Pass,Paul Hancock,Paige Albrecht,Chris Condie,Absent,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,1,Approve Surplus Items,Procedural/Administrative,4:0 Pass,Paul Hancock,Paige Albrecht,Heather Newall,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,1,Approve Surplus Items,Procedural/Administrative,4:0 Pass,Paul Hancock,Paige Albrecht,Michelle Stallings,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,1,Approve Surplus Items,Procedural/Administrative,4:0 Pass,Paul Hancock,Paige Albrecht,Paige Albrecht,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,1,Approve Surplus Items,Procedural/Administrative,4:0 Pass,Paul Hancock,Paige Albrecht,Paul Hancock,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,2,"Consideration of Resolution #2024-41 approving an agreement with Ice America for the construction of a temporary ice rink. Steve Marchbanks stated that the ice rink was very popular with a lot of community support, so they would like to extend the contract to the same vendor as last year. The rink will be",Resolution,4:0 Pass,Paige Albrecht,Heather Newall,Chris Condie,Absent,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,2,"Consideration of Resolution #2024-41 approving an agreement with Ice America for the construction of a temporary ice rink. Steve Marchbanks stated that the ice rink was very popular with a lot of community support, so they would like to extend the contract to the same vendor as last year. The rink will be",Resolution,4:0 Pass,Paige Albrecht,Heather Newall,Heather Newall,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,2,"Consideration of Resolution #2024-41 approving an agreement with Ice America for the construction of a temporary ice rink. Steve Marchbanks stated that the ice rink was very popular with a lot of community support, so they would like to extend the contract to the same vendor as last year. The rink will be",Resolution,4:0 Pass,Paige Albrecht,Heather Newall,Michelle Stallings,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,2,"Consideration of Resolution #2024-41 approving an agreement with Ice America for the construction of a temporary ice rink. Steve Marchbanks stated that the ice rink was very popular with a lot of community support, so they would like to extend the contract to the same vendor as last year. The rink will be",Resolution,4:0 Pass,Paige Albrecht,Heather Newall,Paige Albrecht,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,2,"Consideration of Resolution #2024-41 approving an agreement with Ice America for the construction of a temporary ice rink. Steve Marchbanks stated that the ice rink was very popular with a lot of community support, so they would like to extend the contract to the same vendor as last year. The rink will be",Resolution,4:0 Pass,Paige Albrecht,Heather Newall,Paul Hancock,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,3,"Consideration of Resolution #2024-42 approving an agreement with Quicksilver Concrete for concrete removal and replacement services. Brad Benson, Streets Department Manager, presented this item to the Council.",Resolution,5:0 Pass,Heather Newall,Paul Hancock,Chris Condie,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,3,"Consideration of Resolution #2024-42 approving an agreement with Quicksilver Concrete for concrete removal and replacement services. Brad Benson, Streets Department Manager, presented this item to the Council.",Resolution,5:0 Pass,Heather Newall,Paul Hancock,Heather Newall,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,3,"Consideration of Resolution #2024-42 approving an agreement with Quicksilver Concrete for concrete removal and replacement services. Brad Benson, Streets Department Manager, presented this item to the Council.",Resolution,5:0 Pass,Heather Newall,Paul Hancock,Michelle Stallings,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,3,"Consideration of Resolution #2024-42 approving an agreement with Quicksilver Concrete for concrete removal and replacement services. Brad Benson, Streets Department Manager, presented this item to the Council.",Resolution,5:0 Pass,Heather Newall,Paul Hancock,Paige Albrecht,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,3,"Consideration of Resolution #2024-42 approving an agreement with Quicksilver Concrete for concrete removal and replacement services. Brad Benson, Streets Department Manager, presented this item to the Council.",Resolution,5:0 Pass,Heather Newall,Paul Hancock,Paul Hancock,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,4,Consideration of Resolution #2024-43 approving an agreement with Parkin Tennis Courts for the construction of pickleball courts at Shadow Ride Park. Steve Marchbanks was available for questions.,Resolution,5:0 Pass,Paige Albrecht,Michelle Stallings,Chris Condie,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,4,Consideration of Resolution #2024-43 approving an agreement with Parkin Tennis Courts for the construction of pickleball courts at Shadow Ride Park. Steve Marchbanks was available for questions.,Resolution,5:0 Pass,Paige Albrecht,Michelle Stallings,Heather Newall,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,4,Consideration of Resolution #2024-43 approving an agreement with Parkin Tennis Courts for the construction of pickleball courts at Shadow Ride Park. Steve Marchbanks was available for questions.,Resolution,5:0 Pass,Paige Albrecht,Michelle Stallings,Michelle Stallings,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,4,Consideration of Resolution #2024-43 approving an agreement with Parkin Tennis Courts for the construction of pickleball courts at Shadow Ride Park. Steve Marchbanks was available for questions.,Resolution,5:0 Pass,Paige Albrecht,Michelle Stallings,Paige Albrecht,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,4,Consideration of Resolution #2024-43 approving an agreement with Parkin Tennis Courts for the construction of pickleball courts at Shadow Ride Park. Steve Marchbanks was available for questions.,Resolution,5:0 Pass,Paige Albrecht,Michelle Stallings,Paul Hancock,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,5,"Consideration of Plat Amendment approval for the Gardner Point Phase 5 Plat Amendment, relocating the PUE, located at approximately 1180 North 3960 West Ben Gazette with Edge Homes was representing the applicant.",Land-Use/Zoning,5:0 Pass,Heather Newall,Paige Albrecht,Chris Condie,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,5,"Consideration of Plat Amendment approval for the Gardner Point Phase 5 Plat Amendment, relocating the PUE, located at approximately 1180 North 3960 West Ben Gazette with Edge Homes was representing the applicant.",Land-Use/Zoning,5:0 Pass,Heather Newall,Paige Albrecht,Heather Newall,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,5,"Consideration of Plat Amendment approval for the Gardner Point Phase 5 Plat Amendment, relocating the PUE, located at approximately 1180 North 3960 West Ben Gazette with Edge Homes was representing the applicant.",Land-Use/Zoning,5:0 Pass,Heather Newall,Paige Albrecht,Michelle Stallings,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
2024-07-23,2024,City Council Regular Meeting,Council,5,"Consideration of Plat Amendment approval for the Gardner Point Phase 5 Plat Amendment, relocating the PUE, located at approximately 1180 North 3960 West Ben Gazette with Edge Homes was representing the applicant.",Land-Use/Zoning,5:0 Pass,Heather Newall,Paige Albrecht,Paige Albrecht,Aye,meeting_minutes/minutes/2024/2024-07-22/2024-07-23_city-council-meeting_clip687.md
