week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-14,2020-01-08,0,1,14,3,city council meeting
2020-01-28,2020-01-22,0,1,16,1,city council meeting
2020-02-11,2020-02-05,0,1,8,3,city council meeting
2020-02-25,2020-02-19,0,1,5,0,city council meeting
2020-03-31,2020-03-25,31,1,22,6,city council meeting
2020-04-14,2020-04-08,9,1,14,2,city council meeting
2020-04-28,2020-04-22,0,1,8,0,city council meeting
2020-05-05,2020-04-29,0,1,0,0,city council meeting
2020-05-12,2020-05-06,0,1,9,0,city council meeting
2020-05-26,2020-05-20,0,1,14,1,city council meeting
2020-06-09,2020-06-03,1,1,16,1,city council meeting
2020-06-23,2020-06-17,1,1,12,0,city council meeting
2020-07-07,2020-07-01,0,1,0,0,city council meeting
2020-07-14,2020-07-08,0,1,10,0,city council meeting
2020-07-28,2020-07-22,0,1,11,2,city council meeting
2020-08-11,2020-08-05,0,1,8,0,city council meeting
2020-08-25,2020-08-19,0,1,4,0,city council meeting
2020-09-08,2020-09-02,0,1,11,1,city council meeting
2020-09-22,2020-09-16,0,1,0,0,city council meeting
2020-10-06,2020-09-30,0,1,0,0,city council meeting
2020-10-13,2020-10-07,0,1,8,0,city council meeting
2020-10-27,2020-10-21,0,1,4,1,city council meeting
2020-11-10,2020-11-04,0,1,12,1,city council meeting
2020-12-01,2020-11-25,0,1,1,0,city council meeting
2020-12-08,2020-12-02,0,1,25,1,city council meeting
2021-01-12,2021-01-06,0,1,17,4,city council meeting
2021-01-26,2021-01-20,0,1,9,1,city council meeting
2021-02-02,2021-01-27,0,1,0,0,city council meeting
2021-02-09,2021-02-03,0,1,9,0,city council meeting_clip350
2021-02-23,2021-02-17,0,1,13,1,city council meeting
2021-03-09,2021-03-03,0,1,6,0,city council meeting
2021-03-23,2021-03-17,0,1,15,2,city council meeting
2021-04-13,2021-04-07,0,1,14,3,city council meeting
2021-04-27,2021-04-21,0,1,5,0,city council meeting
2021-05-04,2021-04-28,0,1,1,0,city council meeting
2021-05-11,2021-05-05,0,1,12,0,city council meeting
2021-05-25,2021-05-19,0,1,11,0,city council meeting
2021-06-08,2021-06-02,0,1,10,2,city council meeting
2021-06-29,2021-06-23,0,1,19,0,city council meeting
2021-07-06,2021-06-30,0,1,0,0,city council meeting
2021-07-27,2021-07-21,0,1,0,0,city council meeting
2021-08-03,2021-07-28,0,1,2,0,city council meeting
2021-09-07,2021-09-01,0,1,1,0,city council meeting
2021-09-14,2021-09-08,0,1,0,0,city council meeting
2021-09-28,2021-09-22,0,1,0,0,city council meeting
2021-10-05,2021-09-29,0,1,1,0,city council meeting
2021-10-12,2021-10-06,0,1,10,0,city council meeting
2021-10-26,2021-10-20,0,1,11,4,city council meeting
2021-11-16,2021-11-10,0,1,0,0,city council meeting
2021-12-07,2021-12-01,0,1,1,0,city council meeting
2021-12-14,2021-12-08,0,1,0,0,city council meeting
2022-01-04,2021-12-29,0,1,0,0,city council meeting
2022-01-11,2022-01-05,0,1,0,0,city council meeting
2022-01-25,2022-01-19,0,1,7,1,city council meeting
2022-02-01,2022-01-26,0,1,0,0,city council meeting
2022-02-08,2022-02-02,0,1,0,0,city council meeting
2022-02-22,2022-02-16,0,1,18,1,city council meeting
2022-03-01,2022-02-23,0,1,3,0,city council meeting
2022-03-22,2022-03-16,0,1,0,0,city council meeting
2022-04-12,2022-04-06,0,1,14,1,city council meeting
2022-04-26,2022-04-20,0,1,12,1,city council meeting
2022-05-03,2022-04-27,0,1,1,0,city council meeting
2022-05-10,2022-05-04,0,1,13,0,city council meeting
2022-05-24,2022-05-18,0,1,0,0,city council meeting
2022-06-07,2022-06-01,0,1,1,0,city council meeting
2022-06-14,2022-06-08,0,1,25,2,city council meeting
2022-06-21,2022-06-15,0,1,1,0,city council meeting
2022-07-12,2022-07-06,0,1,18,0,city council meeting
2022-07-26,2022-07-20,0,1,7,0,city council meeting
2022-08-09,2022-08-03,0,1,11,1,city council meeting
2022-08-16,2022-08-10,0,1,1,0,city council meeting
2022-08-23,2022-08-17,0,1,19,1,city council meeting
2022-09-13,2022-09-07,0,1,15,0,city council meeting
2022-09-27,2022-09-21,0,1,9,0,city council meeting
2022-10-04,2022-09-28,0,1,0,0,city council meeting
2022-10-11,2022-10-05,0,2,9,0,building authority meeting; city council meeting
2022-10-25,2022-10-19,0,1,6,0,city council meeting
2022-11-15,2022-11-09,0,2,12,0,building authority meeting; city council meeting
2022-12-06,2022-11-30,0,1,1,0,city council meeting
2022-12-13,2022-12-07,0,1,11,1,city council meeting
2023-01-10,2023-01-04,0,1,17,0,city council meeting
2023-01-24,2023-01-18,0,1,6,1,city council meeting
2023-02-07,2023-02-01,0,1,1,0,city council meeting
2023-02-14,2023-02-08,0,1,13,3,city council meeting
2023-02-28,2023-02-22,0,1,8,0,city council meeting
2023-03-14,2023-03-08,0,1,7,1,city council meeting
2023-04-11,2023-04-05,0,1,26,3,city council meeting
2023-04-25,2023-04-19,0,1,7,1,city council meeting
2023-05-02,2023-04-26,0,1,1,0,city council meeting
2023-05-09,2023-05-03,0,1,9,1,city council meeting
2023-05-23,2023-05-17,0,1,15,1,city council meeting
2023-06-06,2023-05-31,0,1,0,0,city council meeting
2023-06-13,2023-06-07,0,1,14,2,city council meeting
2023-07-11,2023-07-05,0,1,10,0,city council meeting
2023-07-18,2023-07-12,0,1,1,0,city council meeting
2023-07-25,2023-07-19,0,1,10,0,city council meeting
2023-08-01,2023-07-26,0,1,0,0,city council meeting
