application_id,app_key,body_id,name,rep_title
1,RDA|s|meeting_minutes/minutes/2020/2020-03-02/2020-03-03_redevelopment-agency-meeting.md|1,3,,"continue the discussion regarding the Revitalization of Downtown/Emporium Block to the March 17, 2020 Council meeting as presented"
2,Council|s|meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md|7,1,,adopt Ordinance 20-05 as presented
3,Council|s|meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council-meeting.md|3,1,,adopt Ordinance 20-09 as presented
4,RDA|s|meeting_minutes/minutes/2020/2020-06-15/2020-06-16_redevelopment-agency-meeting.md|1,3,,approve Resolution 20-20 RDA as presented
5,Council|s|meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting.md|2,1,,deny Ordinance 20-06 as presented
6,Council|s|meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council-meeting.md|6,1,,adopt Ordinance 20-15 as presented
7,Council|s|meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council-meeting.md|7,1,,adopt Ordinance 20-04 as amended
8,RDA|s|meeting_minutes/minutes/2020/2020-07-20/2020-07-21_redevelopment-agency-meeting.md|1,3,,approve Resolution 20-27 RDA as presented
9,Council|s|meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting.md|5,1,,deny Ordinance 20-19 as presented
10,Council|s|meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting.md|7,1,,approve Ordinance 20-21 as presented
11,Council|s|meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting.md|10,1,,approve Ordinance 20-24 as presented
12,RDA|s|meeting_minutes/minutes/2020/2020-08-03/2020-08-04_redevelopment-agency-meeting.md|1,3,,approve Resolution 20-31 RDA as presented
13,RDA|s|meeting_minutes/minutes/2020/2020-08-31/2020-09-01_redevelopment-agency-meeting.md|1,3,,approve Resolution 20-36 RDA as presented
14,RDA|s|meeting_minutes/minutes/2020/2020-09-14/2020-09-15_redevelopment-agency-meeting.md|1,3,,approve Resolution 20-39 RDA as presented
15,RDA|s|meeting_minutes/minutes/2020/2020-09-14/2020-09-15_redevelopment-agency-meeting.md|2,3,,approve Resolution 20-38 RDA as presented
16,Council|s|meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md|3,1,,adopt Ordinance 20-27 as presented
17,RDA|s|meeting_minutes/minutes/2021/2021-01-18/2021-01-19_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-03 RDA as amended with the stipulation that the project provide onsite management
18,RDA|s|meeting_minutes/minutes/2021/2021-02-01/2021-02-02_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-06 RDA as presented
19,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-12 RDA as presented
20,RDA|s|meeting_minutes/minutes/2021/2021-03-01/2021-03-02_redevelopment-agency-meeting.md|2,3,,approve Resolution 21-11 RDA as presented
21,RDA|s|meeting_minutes/minutes/2021/2021-04-05/2021-04-06_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-16 RDA as presented
22,Council|s|meeting_minutes/minutes/2021/2021-05-03/2021-05-04_city-council-meeting.md|7,1,,adopt Ordinance 21-09 as presented
23,RDA|s|meeting_minutes/minutes/2021/2021-06-14/2021-06-15_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-36 RDA as presented
24,RDA|s|meeting_minutes/minutes/2021/2021-06-14/2021-06-15_redevelopment-agency-meeting.md|2,3,,approve Resolution 21-37 RDA as presented
25,RDA|s|meeting_minutes/minutes/2021/2021-09-06/2021-09-07_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-45 RDA as presented
26,Council|s|meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md|9,1,,approve Ordinance 21-17 as presented
27,Council|s|meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md|10,1,,approve Ordinance 21-18 as presented
28,Council|s|meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md|11,1,,approve Ordinance 21-19 as presented
29,Council|s|meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md|12,1,,approve Ordinance 21-20 as presented
30,RDA|s|meeting_minutes/minutes/2021/2021-09-20/2021-09-21_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-48 RDA as presented
31,RDA|s|meeting_minutes/minutes/2021/2021-10-04/2021-10-05_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-49 RDA as presented
32,RDA|s|meeting_minutes/minutes/2021/2021-12-06/2021-12-07_redevelopment-agency-meeting.md|1,3,,approve Resolution 21-58 RDA as presented
33,Council|s|meeting_minutes/minutes/2022/2022-02-14/2022-02-15_city-council-meeting.md|4,1,,adopt Ordinance 22-03 as presented
34,RDA|s|meeting_minutes/minutes/2022/2022-03-14/2022-03-15_redevelopment-agency-meeting.md|1,3,,approve Resolution 22-08 RDA as presented
35,Council|s|meeting_minutes/minutes/2022/2022-05-16/2022-05-17_city-council-meeting.md|4,1,,adopt Ordinance 22-06 as presented
36,Council|s|meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council-meeting.md|4,1,,adopt Ordinance 22-11 as presented
