meeting_id,body_id,meeting_date,title,source_file
1,1,2020-01-07,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md
2,1,2020-01-21,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md
3,1,2020-02-04,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md
4,1,2020-02-18,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md
5,1,2020-03-03,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council-meeting.md
6,3,2020-03-03,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_redevelopment-agency-meeting.md
7,1,2020-04-07,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md
8,1,2020-04-21,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md
9,1,2020-05-05,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council-meeting.md
10,1,2020-05-19,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council-meeting.md
11,1,2020-06-02,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_city-council-meeting.md
12,1,2020-06-16,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council-meeting.md
13,3,2020-06-16,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_redevelopment-agency-meeting.md
14,1,2020-07-07,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting.md
15,1,2020-07-21,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council-meeting.md
16,3,2020-07-21,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2020/2020-07-20/2020-07-21_redevelopment-agency-meeting.md
17,1,2020-08-04,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting.md
18,3,2020-08-04,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2020/2020-08-03/2020-08-04_redevelopment-agency-meeting.md
19,1,2020-08-18,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md
20,1,2020-09-01,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council-meeting.md
21,3,2020-09-01,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_redevelopment-agency-meeting.md
22,1,2020-09-15,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_city-council-meeting.md
23,3,2020-09-15,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_redevelopment-agency-meeting.md
24,1,2020-10-06,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md
25,1,2020-10-20,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md
26,1,2020-11-03,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-11-02/2020-11-03_city-council-meeting.md
27,1,2020-11-17,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md
28,1,2020-12-01,Logan City Council Meeting,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_city-council-meeting.md
29,1,2021-01-05,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-01-04/2021-01-05_city-council-meeting.md
30,1,2021-01-19,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council-meeting.md
31,3,2021-01-19,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-01-18/2021-01-19_redevelopment-agency-meeting.md
32,1,2021-02-02,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council-meeting.md
33,3,2021-02-02,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-02-01/2021-02-02_redevelopment-agency-meeting.md
34,1,2021-02-16,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-02-15/2021-02-16_city-council-meeting.md
35,1,2021-03-02,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-meeting.md
36,3,2021-03-02,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-03-01/2021-03-02_redevelopment-agency-meeting.md
37,1,2021-03-16,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council-meeting.md
38,1,2021-04-06,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council-meeting.md
39,3,2021-04-06,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-04-05/2021-04-06_redevelopment-agency-meeting.md
40,1,2021-04-20,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council-meeting.md
41,1,2021-05-04,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-05-03/2021-05-04_city-council-meeting.md
42,1,2021-05-18,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-05-17/2021-05-18_city-council-meeting.md
43,1,2021-06-01,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting.md
44,1,2021-06-15,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_city-council-meeting.md
45,3,2021-06-15,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_redevelopment-agency-meeting.md
46,1,2021-07-20,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-07-19/2021-07-20_city-council-meeting.md
47,1,2021-08-03,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-08-02/2021-08-03_city-council-meeting.md
48,1,2021-08-17,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md
49,1,2021-09-07,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-09-06/2021-09-07_city-council-meeting.md
50,3,2021-09-07,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-09-06/2021-09-07_redevelopment-agency-meeting.md
51,1,2021-09-21,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md
52,3,2021-09-21,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_redevelopment-agency-meeting.md
53,1,2021-10-05,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-10-04/2021-10-05_city-council-meeting.md
54,3,2021-10-05,Logan Redevelopment Agency Meeting,meeting_minutes/minutes/2021/2021-10-04/2021-10-05_redevelopment-agency-meeting.md
55,1,2021-10-19,Logan City Council Meeting,meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md
