motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,1,1,"approve the December 3, 2019 minutes as presented and approve tonight’s agenda",Procedural/Administrative,Carried unanimously (no names),Pass,council_vote,,procedural,keyword,high,,,,23,15,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,minutes
2,1,1,2,"approve ratification of David S. Geary, Abraham E. Verdoes and Ken Heare as presented",Appointment,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,23,10,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,minutes
3,1,1,3,nominate Amy Z. Anderson to serve as the Council Chair for 2020 as presented,Appointment,Carried unanimously (no names),Pass,council_vote,,,unclassified,low,,,,23,15,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,minutes
4,1,1,4,nominate Tom Jensen to serve as the Council Vice Chair for 2020 as presented,Appointment,Carried (no names),Pass,council_vote,,,unclassified,low,,,,8,1,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,minutes
5,1,1,5,approve Resolution 19-64 as presented,Budget Amendment,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,10,1,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,minutes
6,1,1,6,approve Resolution 19-62 as presented,Resolution,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,10,23,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,minutes
7,2,1,1,"approve the January 7, 2020 minutes as presented and approve tonight’s agenda",Procedural/Administrative,Carried unanimously (no names),Pass,council_vote,,procedural,keyword,high,,,,10,15,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,minutes
8,2,1,2,approve ratification of Jeannie F. Simmonds and John Zsiray as presented,Appointment,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,10,23,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,minutes
9,2,1,3,approve Resolution 20-02 as presented,Resolution,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,8,10,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,minutes
10,2,1,4,approve Resolution 20-01 as presented and suggested that a portion of the Logan River Blue Trail be named to honor Frank Howe,Ceremonial,Carried (no names),Pass,council_vote,,approve,keyword,high,,,,10,23,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,minutes
11,3,1,1,amend tonight’s agenda,Procedural/Administrative,Carried unanimously (no names),Pass,council_vote,,,unclassified,low,,,,23,10,0,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,minutes
12,3,1,2,"approve the January 21, 2020 minutes as presented",Procedural/Administrative,Carried (no names),Pass,council_vote,,procedural,keyword,high,,,,10,15,0,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,minutes
13,3,1,3,"adopt Ordinance 20-02 as amended changing the effective date from April 22, 2020 to July 31, 2020",Ordinance,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,23,15,0,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,minutes
14,3,1,4,approve ratification of Bronwyn O’Hara as presented,Appointment,Carried (no names),Pass,council_vote,,approve,keyword,high,,,,23,8,0,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,minutes
15,3,1,5,approve Resolution 20-03 as presented,Budget Amendment,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,10,8,0,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,minutes
16,4,1,1,"approve the February 4, 2020 minutes with no changes and approve tonight’s agenda",Procedural/Administrative,Carried unanimously (no names),Pass,council_vote,,procedural,keyword,high,,,,10,23,0,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,minutes
17,4,1,2,approve Resolution 20-04 as presented,Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,10,1,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,minutes
18,4,1,3,adopt Ordinance 20-03 as presented,Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,10,1,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,minutes
19,4,1,4,adopt Ordinance 20-01 as presented,Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,15,1,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,minutes
20,5,1,1,"approve the February 18, 2020 minutes with no changes and approve tonight’s agenda",Procedural/Administrative,Carried unanimously (no names),Pass,council_vote,,procedural,keyword,high,,,,8,15,0,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council-meeting.md,minutes
21,5,1,2,approve ratification of Carol Denniston and Lee Samsel as presented,Appointment,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,8,23,0,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council-meeting.md,minutes
22,5,1,3,approve Resolution 20-05 as presented,Budget Amendment,Carried unanimously (no names),Pass,council_vote,,approve,keyword,high,,,,10,23,0,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council-meeting.md,minutes
23,6,3,1,"continue the discussion regarding the Revitalization of Downtown/Emporium Block to the March 17, 2020 Council meeting as presented",Procedural/Administrative,Carried unanimously (no names),Pass,rda_vote,,continue,keyword,high,1,singleton,high,8,23,0,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_redevelopment-agency-meeting.md,minutes
24,7,1,1,"approve the March 3, 2020 minutes with no changes and approve tonight’s agenda",Procedural/Administrative,Carried (no names),Pass,council_vote,,procedural,keyword,high,,,,8,10,0,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
25,7,1,2,approve Resolution 20-07 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,8,23,1,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
26,7,1,3,approve Resolution 20-08 as presented,Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,23,15,1,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
27,7,1,4,approve Resolution 20-10 as presented,Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,8,1,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
28,7,1,5,approve Resolution 20-06 as presented,Resolution,4-1 Pass,Pass,council_vote,,approve,keyword,high,,,,8,10,1,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
29,7,1,6,approve Resolution 20-09 as presented,Resolution,4-1 Pass,Pass,council_vote,,approve,keyword,high,,,,23,8,1,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
30,7,1,7,adopt Ordinance 20-05 as presented,Land-Use/Zoning,5-0 Pass,Pass,council_vote,,approve,keyword,high,2,singleton,high,8,10,1,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,minutes
31,8,1,1,"approve the April 7, 2020 minutes with no changes and approve tonight’s agenda",Procedural/Administrative,Carried (no names),Pass,council_vote,,procedural,keyword,high,,,,8,15,0,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md,minutes
32,8,1,2,approve Resolution 20-11 as presented,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,23,8,1,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md,minutes
33,8,1,3,approve Resolution 20-12 as presented,Budget Amendment,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,10,23,1,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md,minutes
34,8,1,4,adopt Ordinance 20-07 as presented,Ordinance,3-2 Pass,Pass,council_vote,,approve,keyword,high,,,,23,15,1,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md,minutes
