dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,1,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,1
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,2,2020-01-07,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,2
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,3,2020-01-07,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,3
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,4,2020-01-07,Council,Appointment,Appointment,,final-action,pass,,,,unknown,Carried (no names),crosswalk,high,4
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,5,2020-01-07,Council,Budget Amendment,Budget,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,medium,5
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,6,2020-01-07,Council,Resolution,Resolution,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,6
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,1,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,7
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,2,2020-01-21,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,8
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,3,2020-01-21,Council,Resolution,Resolution,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,9
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,4,2020-01-21,Council,Ceremonial,Ceremonial,,final-action,pass,,,,unknown,Carried (no names),crosswalk,medium,10
meeting_minutes,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,1,2020-02-04,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,11
meeting_minutes,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,2,2020-02-04,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unknown,Carried (no names),crosswalk,high,12
meeting_minutes,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,3,2020-02-04,Council,Ordinance,Ordinance,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,13
meeting_minutes,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,4,2020-02-04,Council,Appointment,Appointment,,final-action,pass,,,,unknown,Carried (no names),crosswalk,high,14
meeting_minutes,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,5,2020-02-04,Council,Budget Amendment,Budget,,final-action,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,medium,15
meeting_minutes,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,1,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Carried unanimously (no names),crosswalk,high,16
meeting_minutes,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,2,2020-02-18,Council,Budget Amendment,Budget,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,medium,17
