vote_id,motion_id,person_id,vote_value
1,17,1,Aye
2,17,15,Aye
3,17,10,Aye
4,17,23,Aye
5,17,8,Aye
6,18,1,Aye
7,18,15,Aye
8,18,10,Aye
9,18,23,Aye
10,18,8,Aye
11,19,1,Aye
12,19,15,Aye
13,19,10,Aye
14,19,23,Aye
15,19,8,Aye
16,25,1,Aye
17,25,15,Aye
18,25,10,Aye
19,25,23,Aye
20,25,8,Aye
21,26,1,Aye
22,26,15,Aye
23,26,10,Aye
24,26,23,Aye
25,26,8,Aye
26,27,1,Aye
27,27,15,Aye
28,27,10,Aye
29,27,23,Aye
30,27,8,Aye
31,28,1,Aye
32,28,15,Aye
33,28,23,Aye
34,28,8,Aye
35,28,10,Nay
36,29,1,Aye
37,29,15,Aye
38,29,23,Aye
39,29,8,Aye
40,29,10,Nay
41,30,1,Aye
42,30,15,Aye
43,30,10,Aye
44,30,23,Aye
45,30,8,Aye
46,32,1,Aye
47,32,15,Aye
48,32,10,Aye
49,32,23,Aye
50,32,8,Aye
51,33,1,Aye
52,33,15,Aye
53,33,10,Aye
54,33,23,Aye
55,33,8,Aye
56,34,1,Aye
57,34,15,Aye
58,34,23,Aye
59,34,10,Nay
60,34,8,Nay
61,36,1,Aye
62,36,15,Aye
63,36,10,Aye
64,36,23,Aye
65,36,8,Aye
66,37,1,Aye
67,37,15,Aye
68,37,10,Aye
69,37,23,Aye
70,37,8,Aye
71,38,1,Aye
72,38,15,Aye
73,38,10,Aye
74,38,23,Aye
75,38,8,Aye
76,39,1,Aye
77,39,15,Aye
78,39,10,Aye
79,39,23,Aye
80,39,8,Aye
81,40,15,Aye
82,40,10,Aye
83,40,23,Aye
84,40,8,Aye
85,40,1,Abstain
86,41,1,Aye
87,41,15,Aye
88,41,10,Aye
89,41,23,Aye
90,41,8,Aye
91,83,23,Nay
92,244,15,Aye
93,244,1,Aye
94,244,23,Aye
95,244,7,Aye
96,244,8,Aye
97,245,15,Aye
98,245,1,Aye
99,245,23,Aye
100,245,7,Nay
101,245,8,Nay
102,246,15,Aye
103,246,1,Aye
104,246,23,Aye
105,246,7,Aye
106,246,8,Aye
107,247,15,Aye
108,247,1,Aye
109,247,23,Aye
110,247,7,Aye
111,247,8,Aye
112,248,15,Aye
113,248,1,Aye
114,248,23,Aye
115,248,7,Aye
116,248,8,Aye
117,261,15,Aye
118,261,1,Aye
119,261,23,Aye
120,261,7,Aye
121,261,8,Aye
122,262,15,Aye
123,262,1,Aye
124,262,23,Aye
125,262,7,Aye
126,262,8,Aye
127,263,15,Aye
128,263,1,Aye
129,263,23,Aye
130,263,7,Aye
131,263,8,Aye
132,264,15,Aye
133,264,1,Aye
134,264,23,Aye
135,264,7,Aye
136,264,8,Aye
137,265,15,Aye
138,265,1,Aye
139,265,23,Aye
140,265,7,Aye
141,265,8,Aye
142,266,15,Aye
143,266,1,Aye
144,266,23,Aye
145,266,7,Aye
146,266,8,Aye
147,271,15,Aye
148,271,1,Aye
149,271,7,Aye
150,271,8,Aye
151,271,23,Absent
152,272,15,Aye
153,272,1,Aye
154,272,7,Aye
155,272,8,Aye
156,272,23,Absent
157,273,15,Aye
158,273,1,Aye
159,273,7,Aye
160,273,8,Aye
161,273,23,Absent
162,274,15,Aye
163,274,1,Aye
164,274,7,Aye
165,274,8,Aye
166,274,23,Absent
167,275,15,Aye
168,275,1,Aye
169,275,7,Aye
170,275,8,Aye
171,275,23,Absent
172,302,15,Aye
173,302,1,Aye
174,302,23,Aye
175,302,7,Aye
176,302,8,Aye
177,303,15,Aye
178,303,1,Aye
179,303,23,Aye
180,303,7,Aye
181,303,8,Aye
182,304,15,Aye
183,304,1,Aye
184,304,23,Aye
185,304,7,Aye
186,304,8,Aye
187,305,15,Aye
188,305,1,Aye
189,305,23,Aye
190,305,7,Aye
191,305,8,Aye
192,306,15,Aye
193,306,1,Aye
194,306,23,Aye
195,306,7,Aye
196,306,8,Aye
197,307,15,Aye
198,307,1,Aye
199,307,23,Aye
200,307,7,Aye
201,307,8,Aye
202,308,15,Aye
203,308,1,Aye
204,308,23,Aye
205,308,7,Aye
206,308,8,Aye
207,309,15,Aye
208,309,1,Aye
209,309,23,Aye
210,309,7,Aye
211,309,8,Aye
212,310,15,Aye
213,310,1,Aye
214,310,23,Aye
215,310,7,Aye
216,310,8,Aye
217,311,15,Aye
218,311,1,Aye
219,311,23,Aye
220,311,7,Aye
221,311,8,Aye
222,312,15,Aye
223,312,1,Aye
224,312,23,Aye
225,312,7,Aye
226,312,8,Aye
227,313,15,Aye
228,313,1,Aye
229,313,23,Aye
230,313,7,Aye
231,313,8,Aye
232,314,15,Aye
233,314,1,Aye
234,314,23,Aye
235,314,7,Aye
236,314,8,Aye
237,315,15,Aye
238,315,1,Aye
239,315,23,Aye
240,315,7,Aye
241,315,8,Aye
242,317,15,Aye
243,317,1,Aye
244,317,23,Aye
245,317,7,Aye
246,317,8,Aye
247,318,15,Aye
248,318,1,Aye
249,318,23,Aye
250,318,7,Aye
251,318,8,Aye
252,319,15,Aye
253,319,1,Aye
254,319,23,Aye
255,319,7,Aye
256,319,8,Aye
257,320,15,Aye
258,320,1,Aye
259,320,23,Aye
260,320,7,Aye
261,320,8,Aye
262,321,1,Aye
263,321,15,Aye
264,321,23,Aye
265,321,7,Aye
266,321,8,Absent
267,322,1,Aye
268,322,15,Aye
269,322,23,Aye
270,322,7,Aye
271,322,8,Absent
272,323,1,Aye
273,323,15,Aye
274,323,23,Aye
275,323,7,Aye
276,323,8,Absent
277,324,1,Aye
278,324,15,Aye
279,324,23,Aye
280,324,7,Aye
281,324,8,Absent
282,325,1,Aye
283,325,15,Aye
284,325,23,Aye
