year,election_type,office,contest,precinct_code,precinct_name,candidate,votes
2019,municipal general,Council,Logan City Council,1,1,Abraham E. Verdoes,32
2019,municipal general,Council,Logan City Council,1,1,Jeannie F. Simmonds,54
2019,municipal general,Council,Logan City Council,1,1,Keegan Garrity,34
2019,municipal general,Council,Logan City Council,1,1,Ken Heare,61
2019,municipal general,Council,Logan City Council,1,1,Mark A. Anderson,83
2019,municipal general,Council,Logan City Council,1,1,Tom Jensen,41
2019,municipal general,Council,Logan City Council,10,10,Abraham E. Verdoes,25
2019,municipal general,Council,Logan City Council,10,10,Jeannie F. Simmonds,54
2019,municipal general,Council,Logan City Council,10,10,Keegan Garrity,20
2019,municipal general,Council,Logan City Council,10,10,Ken Heare,37
2019,municipal general,Council,Logan City Council,10,10,Mark A. Anderson,42
2019,municipal general,Council,Logan City Council,10,10,Tom Jensen,29
2019,municipal general,Council,Logan City Council,11,11,Abraham E. Verdoes,26
2019,municipal general,Council,Logan City Council,11,11,Jeannie F. Simmonds,64
2019,municipal general,Council,Logan City Council,11,11,Keegan Garrity,35
2019,municipal general,Council,Logan City Council,11,11,Ken Heare,47
2019,municipal general,Council,Logan City Council,11,11,Mark A. Anderson,71
2019,municipal general,Council,Logan City Council,11,11,Tom Jensen,43
2019,municipal general,Council,Logan City Council,12,12,Abraham E. Verdoes,10
2019,municipal general,Council,Logan City Council,12,12,Jeannie F. Simmonds,7
2019,municipal general,Council,Logan City Council,12,12,Keegan Garrity,6
2019,municipal general,Council,Logan City Council,12,12,Ken Heare,6
2019,municipal general,Council,Logan City Council,12,12,Mark A. Anderson,12
2019,municipal general,Council,Logan City Council,12,12,Tom Jensen,7
2019,municipal general,Council,Logan City Council,13,13,Abraham E. Verdoes,67
2019,municipal general,Council,Logan City Council,13,13,Jeannie F. Simmonds,286
2019,municipal general,Council,Logan City Council,13,13,Keegan Garrity,111
2019,municipal general,Council,Logan City Council,13,13,Ken Heare,150
2019,municipal general,Council,Logan City Council,13,13,Mark A. Anderson,264
2019,municipal general,Council,Logan City Council,13,13,Tom Jensen,223
2019,municipal general,Council,Logan City Council,14,14,Abraham E. Verdoes,45
2019,municipal general,Council,Logan City Council,14,14,Jeannie F. Simmonds,156
2019,municipal general,Council,Logan City Council,14,14,Keegan Garrity,52
2019,municipal general,Council,Logan City Council,14,14,Ken Heare,112
2019,municipal general,Council,Logan City Council,14,14,Mark A. Anderson,172
2019,municipal general,Council,Logan City Council,14,14,Tom Jensen,124
2019,municipal general,Council,Logan City Council,15,15,Abraham E. Verdoes,30
2019,municipal general,Council,Logan City Council,15,15,Jeannie F. Simmonds,41
2019,municipal general,Council,Logan City Council,15,15,Keegan Garrity,26
2019,municipal general,Council,Logan City Council,15,15,Ken Heare,34
2019,municipal general,Council,Logan City Council,15,15,Mark A. Anderson,39
2019,municipal general,Council,Logan City Council,15,15,Tom Jensen,29
2019,municipal general,Council,Logan City Council,16,16,Abraham E. Verdoes,50
2019,municipal general,Council,Logan City Council,16,16,Jeannie F. Simmonds,123
2019,municipal general,Council,Logan City Council,16,16,Keegan Garrity,54
2019,municipal general,Council,Logan City Council,16,16,Ken Heare,96
2019,municipal general,Council,Logan City Council,16,16,Mark A. Anderson,129
2019,municipal general,Council,Logan City Council,16,16,Tom Jensen,95
2019,municipal general,Council,Logan City Council,17,17,Abraham E. Verdoes,43
2019,municipal general,Council,Logan City Council,17,17,Jeannie F. Simmonds,77
2019,municipal general,Council,Logan City Council,17,17,Keegan Garrity,63
2019,municipal general,Council,Logan City Council,17,17,Ken Heare,59
2019,municipal general,Council,Logan City Council,17,17,Mark A. Anderson,101
2019,municipal general,Council,Logan City Council,17,17,Tom Jensen,65
2019,municipal general,Council,Logan City Council,18,18,Abraham E. Verdoes,12
2019,municipal general,Council,Logan City Council,18,18,Jeannie F. Simmonds,23
2019,municipal general,Council,Logan City Council,18,18,Keegan Garrity,13
2019,municipal general,Council,Logan City Council,18,18,Ken Heare,12
2019,municipal general,Council,Logan City Council,18,18,Mark A. Anderson,31
2019,municipal general,Council,Logan City Council,18,18,Tom Jensen,23
2019,municipal general,Council,Logan City Council,19,19,Abraham E. Verdoes,16
2019,municipal general,Council,Logan City Council,19,19,Jeannie F. Simmonds,15
2019,municipal general,Council,Logan City Council,19,19,Keegan Garrity,9
2019,municipal general,Council,Logan City Council,19,19,Ken Heare,10
2019,municipal general,Council,Logan City Council,19,19,Mark A. Anderson,13
2019,municipal general,Council,Logan City Council,19,19,Tom Jensen,10
2019,municipal general,Council,Logan City Council,2,2,Abraham E. Verdoes,34
2019,municipal general,Council,Logan City Council,2,2,Jeannie F. Simmonds,67
2019,municipal general,Council,Logan City Council,2,2,Keegan Garrity,56
2019,municipal general,Council,Logan City Council,2,2,Ken Heare,60
2019,municipal general,Council,Logan City Council,2,2,Mark A. Anderson,85
2019,municipal general,Council,Logan City Council,2,2,Tom Jensen,49
2019,municipal general,Council,Logan City Council,20,20,Abraham E. Verdoes,73
2019,municipal general,Council,Logan City Council,20,20,Jeannie F. Simmonds,216
2019,municipal general,Council,Logan City Council,20,20,Keegan Garrity,114
2019,municipal general,Council,Logan City Council,20,20,Ken Heare,125
2019,municipal general,Council,Logan City Council,20,20,Mark A. Anderson,272
2019,municipal general,Council,Logan City Council,20,20,Tom Jensen,164
2019,municipal general,Council,Logan City Council,21,21,Abraham E. Verdoes,50
2019,municipal general,Council,Logan City Council,21,21,Jeannie F. Simmonds,170
2019,municipal general,Council,Logan City Council,21,21,Keegan Garrity,88
2019,municipal general,Council,Logan City Council,21,21,Ken Heare,95
2019,municipal general,Council,Logan City Council,21,21,Mark A. Anderson,193
2019,municipal general,Council,Logan City Council,21,21,Tom Jensen,145
2019,municipal general,Council,Logan City Council,22,22,Abraham E. Verdoes,90
2019,municipal general,Council,Logan City Council,22,22,Jeannie F. Simmonds,260
2019,municipal general,Council,Logan City Council,22,22,Keegan Garrity,129
2019,municipal general,Council,Logan City Council,22,22,Ken Heare,153
2019,municipal general,Council,Logan City Council,22,22,Mark A. Anderson,362
2019,municipal general,Council,Logan City Council,22,22,Tom Jensen,292
2019,municipal general,Council,Logan City Council,23,23,Abraham E. Verdoes,9
2019,municipal general,Council,Logan City Council,23,23,Jeannie F. Simmonds,13
2019,municipal general,Council,Logan City Council,23,23,Keegan Garrity,11
2019,municipal general,Council,Logan City Council,23,23,Ken Heare,12
2019,municipal general,Council,Logan City Council,23,23,Mark A. Anderson,14
2019,municipal general,Council,Logan City Council,23,23,Tom Jensen,11
2019,municipal general,Council,Logan City Council,24,24,Abraham E. Verdoes,38
2019,municipal general,Council,Logan City Council,24,24,Jeannie F. Simmonds,67
2019,municipal general,Council,Logan City Council,24,24,Keegan Garrity,60
2019,municipal general,Council,Logan City Council,24,24,Ken Heare,63
2019,municipal general,Council,Logan City Council,24,24,Mark A. Anderson,99
2019,municipal general,Council,Logan City Council,24,24,Tom Jensen,47
2019,municipal general,Council,Logan City Council,25,25,Abraham E. Verdoes,35
2019,municipal general,Council,Logan City Council,25,25,Jeannie F. Simmonds,117
2019,municipal general,Council,Logan City Council,25,25,Keegan Garrity,92
2019,municipal general,Council,Logan City Council,25,25,Ken Heare,67
2019,municipal general,Council,Logan City Council,25,25,Mark A. Anderson,125
2019,municipal general,Council,Logan City Council,25,25,Tom Jensen,67
2019,municipal general,Council,Logan City Council,26,26,Abraham E. Verdoes,46
2019,municipal general,Council,Logan City Council,26,26,Jeannie F. Simmonds,128
2019,municipal general,Council,Logan City Council,26,26,Keegan Garrity,52
2019,municipal general,Council,Logan City Council,26,26,Ken Heare,71
2019,municipal general,Council,Logan City Council,26,26,Mark A. Anderson,139
2019,municipal general,Council,Logan City Council,26,26,Tom Jensen,85
2019,municipal general,Council,Logan City Council,27,27,Abraham E. Verdoes,49
2019,municipal general,Council,Logan City Council,27,27,Jeannie F. Simmonds,85
2019,municipal general,Council,Logan City Council,27,27,Keegan Garrity,105
2019,municipal general,Council,Logan City Council,27,27,Ken Heare,50
2019,municipal general,Council,Logan City Council,27,27,Mark A. Anderson,97
2019,municipal general,Council,Logan City Council,27,27,Tom Jensen,69
2019,municipal general,Council,Logan City Council,28,28,Abraham E. Verdoes,2
2019,municipal general,Council,Logan City Council,28,28,Jeannie F. Simmonds,26
2019,municipal general,Council,Logan City Council,28,28,Keegan Garrity,12
2019,municipal general,Council,Logan City Council,28,28,Ken Heare,33
2019,municipal general,Council,Logan City Council,28,28,Mark A. Anderson,26
2019,municipal general,Council,Logan City Council,28,28,Tom Jensen,22
2019,municipal general,Council,Logan City Council,29,29,Abraham E. Verdoes,89
2019,municipal general,Council,Logan City Council,29,29,Jeannie F. Simmonds,264
2019,municipal general,Council,Logan City Council,29,29,Keegan Garrity,124
2019,municipal general,Council,Logan City Council,29,29,Ken Heare,139
2019,municipal general,Council,Logan City Council,29,29,Mark A. Anderson,320
2019,municipal general,Council,Logan City Council,29,29,Tom Jensen,247
2019,municipal general,Council,Logan City Council,3,3,Abraham E. Verdoes,27
2019,municipal general,Council,Logan City Council,3,3,Jeannie F. Simmonds,71
2019,municipal general,Council,Logan City Council,3,3,Keegan Garrity,125
2019,municipal general,Council,Logan City Council,3,3,Ken Heare,49
2019,municipal general,Council,Logan City Council,3,3,Mark A. Anderson,123
2019,municipal general,Council,Logan City Council,3,3,Tom Jensen,54
2019,municipal general,Council,Logan City Council,30,30,Abraham E. Verdoes,55
2019,municipal general,Council,Logan City Council,30,30,Jeannie F. Simmonds,79
2019,municipal general,Council,Logan City Council,30,30,Keegan Garrity,58
2019,municipal general,Council,Logan City Council,30,30,Ken Heare,53
2019,municipal general,Council,Logan City Council,30,30,Mark A. Anderson,110
2019,municipal general,Council,Logan City Council,30,30,Tom Jensen,62
2019,municipal general,Council,Logan City Council,31,31,Abraham E. Verdoes,23
2019,municipal general,Council,Logan City Council,31,31,Jeannie F. Simmonds,58
2019,municipal general,Council,Logan City Council,31,31,Keegan Garrity,36
2019,municipal general,Council,Logan City Council,31,31,Ken Heare,30
2019,municipal general,Council,Logan City Council,31,31,Mark A. Anderson,66
2019,municipal general,Council,Logan City Council,31,31,Tom Jensen,29
2019,municipal general,Council,Logan City Council,32,32,Abraham E. Verdoes,23
2019,municipal general,Council,Logan City Council,32,32,Jeannie F. Simmonds,37
2019,municipal general,Council,Logan City Council,32,32,Keegan Garrity,35
2019,municipal general,Council,Logan City Council,32,32,Ken Heare,34
2019,municipal general,Council,Logan City Council,32,32,Mark A. Anderson,50
2019,municipal general,Council,Logan City Council,32,32,Tom Jensen,32
2019,municipal general,Council,Logan City Council,33,33,Abraham E. Verdoes,46
2019,municipal general,Council,Logan City Council,33,33,Jeannie F. Simmonds,92
2019,municipal general,Council,Logan City Council,33,33,Keegan Garrity,157
2019,municipal general,Council,Logan City Council,33,33,Ken Heare,66
2019,municipal general,Council,Logan City Council,33,33,Mark A. Anderson,128
2019,municipal general,Council,Logan City Council,33,33,Tom Jensen,65
2019,municipal general,Council,Logan City Council,33:5,33:5,Abraham E. Verdoes,14
2019,municipal general,Council,Logan City Council,33:5,33:5,Jeannie F. Simmonds,15
2019,municipal general,Council,Logan City Council,33:5,33:5,Keegan Garrity,40
2019,municipal general,Council,Logan City Council,33:5,33:5,Ken Heare,12
2019,municipal general,Council,Logan City Council,33:5,33:5,Mark A. Anderson,27
2019,municipal general,Council,Logan City Council,33:5,33:5,Tom Jensen,20
2019,municipal general,Council,Logan City Council,4,4,Abraham E. Verdoes,51
2019,municipal general,Council,Logan City Council,4,4,Jeannie F. Simmonds,114
2019,municipal general,Council,Logan City Council,4,4,Keegan Garrity,79
2019,municipal general,Council,Logan City Council,4,4,Ken Heare,59
2019,municipal general,Council,Logan City Council,4,4,Mark A. Anderson,153
2019,municipal general,Council,Logan City Council,4,4,Tom Jensen,107
2019,municipal general,Council,Logan City Council,5,5,Abraham E. Verdoes,78
2019,municipal general,Council,Logan City Council,5,5,Jeannie F. Simmonds,163
2019,municipal general,Council,Logan City Council,5,5,Keegan Garrity,116
2019,municipal general,Council,Logan City Council,5,5,Ken Heare,115
2019,municipal general,Council,Logan City Council,5,5,Mark A. Anderson,182
2019,municipal general,Council,Logan City Council,5,5,Tom Jensen,107
2019,municipal general,Council,Logan City Council,6,6,Abraham E. Verdoes,42
2019,municipal general,Council,Logan City Council,6,6,Jeannie F. Simmonds,81
2019,municipal general,Council,Logan City Council,6,6,Keegan Garrity,58
2019,municipal general,Council,Logan City Council,6,6,Ken Heare,72
2019,municipal general,Council,Logan City Council,6,6,Mark A. Anderson,93
2019,municipal general,Council,Logan City Council,6,6,Tom Jensen,54
2019,municipal general,Council,Logan City Council,7,7,Abraham E. Verdoes,28
2019,municipal general,Council,Logan City Council,7,7,Jeannie F. Simmonds,51
2019,municipal general,Council,Logan City Council,7,7,Keegan Garrity,28
2019,municipal general,Council,Logan City Council,7,7,Ken Heare,46
2019,municipal general,Council,Logan City Council,7,7,Mark A. Anderson,56
2019,municipal general,Council,Logan City Council,7,7,Tom Jensen,33
2019,municipal general,Council,Logan City Council,8,8,Abraham E. Verdoes,14
2019,municipal general,Council,Logan City Council,8,8,Jeannie F. Simmonds,31
2019,municipal general,Council,Logan City Council,8,8,Keegan Garrity,33
2019,municipal general,Council,Logan City Council,8,8,Ken Heare,28
2019,municipal general,Council,Logan City Council,8,8,Mark A. Anderson,31
2019,municipal general,Council,Logan City Council,8,8,Tom Jensen,21
2019,municipal general,Council,Logan City Council,9,9,Abraham E. Verdoes,28
2019,municipal general,Council,Logan City Council,9,9,Jeannie F. Simmonds,73
2019,municipal general,Council,Logan City Council,9,9,Keegan Garrity,53
2019,municipal general,Council,Logan City Council,9,9,Ken Heare,51
