source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2020/2020-01-06/2020-01-09_planning-commission-meeting.md,1,2020-01-09,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,1,,roll-call,5:1 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2020/2020-01-06/2020-01-09_planning-commission-meeting.md,2,2020-01-09,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md,1,2020-01-23,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md,2,2020-01-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Pass,crosswalk,high
planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md,3,2020-01-23,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md,4,2020-01-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Pass,crosswalk,high
planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md,5,2020-01-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2020/2020-02-10/2020-02-13_planning-commission-meeting.md,1,2020-02-13,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2020/2020-02-10/2020-02-13_planning-commission-meeting.md,2,2020-02-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2020/2020-02-10/2020-02-13_planning-commission-meeting.md,3,2020-02-13,PlanningCommission,Other,Land-Use,Other-Land-Use,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-generic,medium
planning_commission/minutes/2020/2020-02-10/2020-02-13_planning-commission-meeting.md,4,2020-02-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md,1,2020-02-27,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
