city,body,seat_id,district,person_name,person_key,start_date,end_date,start_event,end_event,election_year,first_vote,last_vote,sources,confidence,note
logan,Council,AL-A1,At-Large,Mark A. Anderson,mark_anderson,2020-01-07,2024-01-02,elected,reelected,2019,2020-02-18,2023-12-05,"election:2019 (Council plurality winner, rank1, 3837); minutes:2020-01-07 (Oath of Office administered to Councilmember Elect … Mark A. Anderson)",high,"Elected 2019 (rank1 of 6, vote-for-3). Re-elected 2023 (continuous service on AL-A1). AL-A1 is the ANCHORED cohort-A seat — it carries the 2025-26 Mark-Anderson->Dahle vacancy chain. DISTINCT from Amy Z. Anderson (AL-B2) — two different people."
logan,Council,AL-A1,At-Large,Mark A. Anderson,mark_anderson,2024-01-02,2025-11-18,reelected,resigned,2023,2024-01-02,2025-11-04,"election:2023 (Council plurality winner, rank1 CERTIFIED canvass, 3449); minutes:2024-01-02 (Oath of Office administered to Councilmember Elect … Mark A. Anderson); minutes:2025-11-04 (last recorded vote, cities.db role last_seen); minutes:2025-11-18 (present list shows only 4 members — Anderson absent; 'Councilmember Mark A. Anderson announced his resignation from the Council on November 17, 2025 so he can prepare to take office as Mayor')",high,Re-elected 2023 to a term running to Jan-2028; WON the 2025 mayoralty (def. Nafziger 4326-3027) and then RESIGNED his council seat mid-term (effective 2025-11-17) to take office as Mayor 2026-01-05/06. THE first of Logan's two mid-term vacancies. See the MAYOR block for his mayoral tenure.
logan,Council,AL-A1,At-Large,VACANT,vacant,2025-11-18,2026-01-06,vacated,filled,,,,"minutes:2025-12-01 & 2025-12-16 document the resignation ('announced his resignation from the Council on November 17, 2025') and the resulting vacancy ('With the resignation of Mark Anderson as councilmember, there is a vacancy on the Council. State Code requires an appointment within 30 days'). Anderson is present+voting through 2025-11-04 and ABSENT from the 2025-11-18 present list; the seat rolls 'VACANT' in the 2025-12-16 roll calls. FULLY on-disk (not gap-bounded): resignation, vacancy, interview and selection are all in recovered minutes -> high. vacate_date = 2025-11-18 (resignation effective 2025-11-17; the last day belongs to Anderson, VACANT begins the next meeting).",high,Explicit VACANT interval: seat empty between the predecessor's documented departure and the successor's seating (no two people hold one seat at once).
logan,Council,AL-A1,At-Large,Melissa Dahle,melissa_dahle,2026-01-06,,appointed,serving,,2026-01-06,2026-06-02,"appt:2025-12-16 (minutes — council interviewed 9 applicants, then 'voted by ballot … Melissa Dahle received three votes and Scott Mershon received one vote. With a majority vote, Melissa Dahle will be appointed as the interim city councilmember'); minutes:2026-01-06 (Oath of Office administered … to Councilmembers Elect Ernesto López, Katie Lee-Koven and Melissa Dahle); votes:cities.db first_seen 2026-01-06",high,"APPOINTED (interim, not elected) to fill the remainder of Mark A. Anderson's 2024-2028 cohort-A term. THE 'appointed-after-losing' twist (cf. Lehi's Lockhart): Dahle RAN in the 2025 council general and LOST (rank3 of 4 / first loser, 3559), then was appointed to Anderson's DIFFERENT (vacated cohort-A) seat. start_date = the 2026-01-06 oath; she was SELECTED 2025-12-16 but the seat rolled 'VACANT' until her swearing-in (her first db vote is 2026-01-06). election_year blank (pure appointee — keep_election_row drops her 2025-primary advancer row; she is is_winner=N in the general). Currently serving."
logan,Council,AL-A2,At-Large,Jeannie F. Simmonds,jeannie_simmonds,2020-01-07,2024-01-02,elected,reelected,2019,2020-02-18,2023-12-05,"election:2019 (Council plurality winner, rank2, 3221); minutes:2020-01-07 (Oath of Office administered to Councilmember Elect Jeannie F. Simmonds); minutes:2020-01-07 (serving as Chair)",high,Elected 2019 (rank2). Re-elected 2023 (continuous AL-A2). Chair in 2025-2026. DISTINCT continuous holder -> anchors AL-A2.
logan,Council,AL-A2,At-Large,Jeannie F. Simmonds,jeannie_simmonds,2024-01-02,,reelected,serving,2023,2024-01-02,2026-06-02,"election:2023 (Council plurality winner, rank3 CERTIFIED canvass, 2419 — the 19-vote seat over Needham; recount confirmed, see election_results/CLAUDE.md); minutes:2024-01-02 (Oath of Office administered to Councilmember Elect Jeannie F. Simmonds); minutes:2026-01-06 (still serving — present list, chaired the 2025-12 meetings)",high,"Re-elected 2023 — hers is the razor-thin 3rd seat (Simmonds 2419 vs Needham 2400, decided by 19 votes under the 2023 recount episode; the recount did not change the result). Currently serving."
logan,Council,AL-A3,At-Large,Tom Jensen,tom_jensen,2020-01-07,2024-01-02,elected,did-not-run,2019,2020-02-18,2023-12-05,"election:2019 (Council plurality winner, rank3, 2546); minutes:2020-01-07 (Oath of Office administered to Councilmember Elect Tom Jensen); votes:cities.db role last_seen 2023-12-05; election:2023 (not a candidate)",high,"Elected 2019 (rank3). Not a candidate in the 2023 election (won by Anderson/Johnson/Simmonds) -> term expired Jan-2024. Clean 1-for-1: Johnson replaced Jensen (only one newcomer in 2023), so no A2/A3 labelling ambiguity."
logan,Council,AL-A3,At-Large,Mike Johnson,mike_johnson,2024-01-02,,elected,serving,2023,2024-01-02,2026-06-02,"election:2023 (Council plurality winner, rank2 CERTIFIED canvass, 2892); minutes:2024-01-02 (Oath of Office administered to Councilmember Elect Mike Johnson); minutes:2026-01-06 (still serving — Chair in 2026); votes:cities.db first_seen 2024-01-02",high,"Elected 2023 (newcomer replacing Jensen). Vice Chair 2025, Chair 2026. Currently serving (term to Jan-2028)."
logan,Council,AL-B1,At-Large,Jess W. Bradfield,jess_bradfield,2018-01-01,2020-09-23,elected,resigned,2017,2020-02-18,2020-05-05,"votes:2020-02-18.. (observed serving, cities.db role first_seen); minutes:2020-01-07 (already seated at the data floor — 'Councilmember Jess W. Bradfield' — and NOT among the three sworn-in that day, confirming a continuing 2017-cycle incumbent, not a 2019 winner); minutes:2020-06-01/2020-07-06/2020-08-03/2020-09-14 (present lists)",medium,"PRE-FLOOR term: the 2017 election predates the 2019 election-data floor and the 2020 minutes floor; term-start 2018-01 inferred from Logan's Cohort-B 4-year stagger (row confidence medium — only the START date is inferred; his 2020 membership + resignation are documented). RESIGNED mid-term 2020-09-22, creating THE second-2020 vacancy filled by López. DISTINCT continuous seat -> anchors AL-B1."
logan,Council,AL-B1,At-Large,VACANT,vacant,2020-09-23,2020-10-20,vacated,filled,,,,"minutes:2020-10-20 (Ernesto López oath) states verbatim: 'newly appointed Councilmember Ernesto López who will fill the vacancy left by Jess Bradfield who resigned on September 22, 2020. Councilmember López will serve until January 1, 2022.' Bradfield is present through the 2020-09-14 meeting; his resignation is documented as effective 2020-09-22 -> vacate_date 2020-09-23. FULLY on-disk (not gap-bounded) -> vacate high. ack:2020-10-13 (the Interim Appointment interview meeting is agenda-only on PMN — minutes_unrecovered.csv — but both bracket dates of this vacancy are attested in the RECOVERED 2020-10-20 minutes, so the missing doc does not undermine them).",high,Explicit VACANT interval: seat empty between the predecessor's documented departure and the successor's seating (no two people hold one seat at once).
