date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2023-10-17,2023,Logan City Council Meeting,Council,1,"approve the September 19, 2023 and October 3, 2023, minutes as presented and tonight’s agenda",Procedural/Administrative,5-0 Pass,Jeannie F. Simmonds,Amy Z. Anderson,Amy Z. Anderson,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,1,"approve the September 19, 2023 and October 3, 2023, minutes as presented and tonight’s agenda",Procedural/Administrative,5-0 Pass,Jeannie F. Simmonds,Amy Z. Anderson,Mark A. Anderson,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,1,"approve the September 19, 2023 and October 3, 2023, minutes as presented and tonight’s agenda",Procedural/Administrative,5-0 Pass,Jeannie F. Simmonds,Amy Z. Anderson,Tom Jensen,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,1,"approve the September 19, 2023 and October 3, 2023, minutes as presented and tonight’s agenda",Procedural/Administrative,5-0 Pass,Jeannie F. Simmonds,Amy Z. Anderson,Ernesto López,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,1,"approve the September 19, 2023 and October 3, 2023, minutes as presented and tonight’s agenda",Procedural/Administrative,5-0 Pass,Jeannie F. Simmonds,Amy Z. Anderson,Jeannie F. Simmonds,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,2,approve the December Meeting Schedule as presented,Other,5-0 Pass,Tom Jensen,Mark A. Anderson,Amy Z. Anderson,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,2,approve the December Meeting Schedule as presented,Other,5-0 Pass,Tom Jensen,Mark A. Anderson,Mark A. Anderson,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,2,approve the December Meeting Schedule as presented,Other,5-0 Pass,Tom Jensen,Mark A. Anderson,Tom Jensen,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,2,approve the December Meeting Schedule as presented,Other,5-0 Pass,Tom Jensen,Mark A. Anderson,Ernesto López,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,2,approve the December Meeting Schedule as presented,Other,5-0 Pass,Tom Jensen,Mark A. Anderson,Jeannie F. Simmonds,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,3,approve Resolution 23-41 as presented,Resolution,5-0 Pass,Jeannie F. Simmonds,Tom Jensen,Amy Z. Anderson,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,3,approve Resolution 23-41 as presented,Resolution,5-0 Pass,Jeannie F. Simmonds,Tom Jensen,Mark A. Anderson,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,3,approve Resolution 23-41 as presented,Resolution,5-0 Pass,Jeannie F. Simmonds,Tom Jensen,Tom Jensen,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,3,approve Resolution 23-41 as presented,Resolution,5-0 Pass,Jeannie F. Simmonds,Tom Jensen,Ernesto López,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
2023-10-17,2023,Logan City Council Meeting,Council,3,approve Resolution 23-41 as presented,Resolution,5-0 Pass,Jeannie F. Simmonds,Tom Jensen,Jeannie F. Simmonds,Aye,meeting_minutes/minutes/2023/2023-10-16/2023-10-17_city-council-meeting.md
