doc_class,title,adopted_date,jurisdiction,path,text_path,format,source_url,retrieved_date,notes
rtp,TransPlan50 - Regional Transportation Plan 2023-2050 (Provo/Orem Urban Area),2023-06,,raw/rtp_transplan50_2023.pdf,text/rtp_transplan50_2023.txt,pdf,https://frontrunner2x.utah.gov/assets/documents/Mountainland_Association_of_Governments_MAG_TransPlan50.pdf,2026-07-20,"Single consolidated adopted 2023 RTP narrative for the Provo-Orem UZA (Utah County). Hosted on UDOT's frontrunner2x host; MAG's own RTP page serves web pages plus split technical components A-G, not one narrative PDF (honest gap for a MAG-hosted single-file narrative)."
conformity,2023 RTP Air Quality Conformity Determination Report (Final),2023,,raw/rtp_aq_conformity_2023.pdf,text/rtp_aq_conformity_2023.txt,pdf,https://magutah.gov/static/files/transportation/TransPlan50/2023/2023%20RTP%20AQ%20Conformity%20Determination%20Report%20FINAL.pdf,2026-07-20,"Transportation air-quality conformity determination for the adopted 2023 RTP."
other,2023 RTP Air Quality Conformity - Signed MPO Board Resolution,2023,,raw/rtp_aq_conformity_signed_resolution_2023.pdf,text/rtp_aq_conformity_signed_resolution_2023.txt,pdf,https://magutah.gov/static/files/transportation/TransPlan50/2023/Signed%20Air%20Quality%20Conformity%20Resoltuion.pdf,2026-07-20,"MPO Board adoption resolution for the RTP AQ conformity. SCANNED signature page - pdftotext yielded no text (needs_ocr); text sidecar is near-empty. Retained as adoption-record provenance."
rtp,RTP Amendment Process (June 2024),2024-06,,raw/rtp_amendment_process_2024.pdf,text/rtp_amendment_process_2024.txt,pdf,https://magutah.gov/static/files/transportation/TransPlan50/RTP%20Amendment%20Process%20June%202024.pdf,2026-07-20,"The RTP amendment-process document (the closest published amendments record); amendments 1/2/3 each have their own web pages."
conformity,RTP AQ Conformity Determination - 2024 Amendment 1,2024,,raw/rtp_aq_conformity_amendment1_2024.pdf,text/rtp_aq_conformity_amendment1_2024.txt,pdf,https://magutah.gov/static/files/transportation/TransPlan50/RTP%20AQ%20Conformity%20Determination%202024%20Amendment%201.pdf,2026-07-20,"Air-quality conformity determination for RTP Amendment 1 (2024)."
conformity,RTP AQ Emissions Analysis - Amendment 2,2024,,raw/rtp_aq_emissions_amendment2_2024.pdf,text/rtp_aq_emissions_amendment2_2024.txt,pdf,https://magutah.gov/static/files/transportation/TransPlan50/RTP%20AQ%20Emissions%20Analysis%20Amendment%202.pdf,2026-07-20,"Air-quality emissions analysis for RTP Amendment 2 (2024). Amendment 3 exists only as a DRAFT PDF (not adopted, not captured)."
conformity,TIP Air Quality Conformity Determination (2024-2028),2024,,raw/tip_aq_conformity_2024_2028.pdf,text/tip_aq_conformity_2024_2028.txt,pdf,https://magutah.gov/static/files/transportation/TIP/TIP%20conformity%20determination%20for%20public%20comment.pdf,2026-07-20,"Transportation air-quality conformity determination for the MAG MPO TIP 2024-2028 (public-comment version). MAG publishes the TIP itself as an interactive web app only - no standalone TIP narrative PDF exists (honest gap)."
tip,2024 Annual Listing of Federally Obligated Projects,2024,,raw/tip_annual_obligated_projects_2024.pdf,text/tip_annual_obligated_projects_2024.txt,pdf,https://magutah.gov/static/files/transportation/TIP/2024AnnualList_ObligatedProjects.pdf,2026-07-20,"TIP Annual Listing of Obligated Projects, most recent year."
tip,2022 Annual Listing of Federally Obligated Projects,2022,,raw/tip_annual_obligated_projects_2022.pdf,text/tip_annual_obligated_projects_2022.txt,pdf,https://magutah.gov/static/files/transportation/TIP/2022AnnualList_ObligatedProjects.pdf,2026-07-20,"TIP Annual Listing of Obligated Projects (the RPO-library page mislabels this link 'Regional Parking Analysis Study'; the file is the 2022 obligated-projects list - verified from body)."
guidance,2023 Transportation Policy and Procedures (Adopted),2023,,raw/transportation_policy_procedures_2023.pdf,text/transportation_policy_procedures_2023.txt,pdf,https://magutah.gov/static/files/transportation/2023%20Policy%20and%20Proceedures%20Adopted.pdf,2026-07-20,"How MAG develops, reviews, and adopts its transportation plans/programs."
program_report,Unified Planning Work Program FY2025 (UPWP),2024,,raw/upwp_fy2025.pdf,text/upwp_fy2025.txt,pdf,https://magutah.gov/static/files/transportation/UPWP-2025%20(1).pdf,2026-07-20,"Annual MPO/RPO unified planning work program."
ceds,Comprehensive Economic Development Strategy 2024-2029,2024,,raw/ceds_2024_2029.pdf,text/ceds_2024_2029.txt,pdf,https://magutah.gov/static/files/CEDS%202024-2029.pdf,2026-07-20,"Mountainland Economic Development District CEDS (Summit/Utah/Wasatch counties); MAG is the region's EDD (122 pp)."
other,Wasatch County Transit Study - Final Report,,,raw/wasatch_county_transit_study.pdf,text/wasatch_county_transit_study.txt,pdf,https://magutah.gov/static/files/Planning/RPO/Wasatch%2BCounty%2BTransit%2BStudy%2B-%2BFinal%2BReport.pdf,2026-07-20,"Wasatch Back / RPO transit study (Wasatch County, the AOG/RPO side). Closest published RPO plan document - the current Wasatch Back RPO plan is delivered as an ArcGIS Experience app, not a PDF (honest gap); the legacy web.mountainland.org RPO-library PDFs are unreachable."
other,TransPlan40 - 2015 Long-Range Transportation Plan,2015,,raw/transplan40_2015.pdf,text/transplan40_2015.txt,pdf,https://magutah.gov/static/files/transportation/RTP/Final%20TransPlan40%20Document.pdf,2026-07-20,"TransPlan-era archive (prior long-range plan; superseded by TransPlan50)."
