application_id,app_key,body_id,name,rep_title
1,Council|s|minutes/2018/2018-07-17_council_459615.md|5,2,,"Council Member Ferguson, seconded by Council Member Peel, moved to deny rezone application #30700"
2,Council|s|minutes/2018/2018-08-28_council_459619.md|5,2,,"Council Member Peel, seconded by Council Member Hull, moved to approve the rezone application 30632 from an A-1 z/c to an R-1-7, with zoning conditions as follows: limit the gross density to no more than 3.9 units per acre, and require a minimum 10,000 square foot lots against the Hibler Drive subdivision, with 20 percent of the remaining lots at 8,000 and greater square foot lots, and a minimum lot width of 76 feet"
3,Council|s|minutes/2018/2018-08-28_council_459619.md|8,2,,"Council Member Ferguson, seconded by Council Member Prokopis, moved to set the date of Tuesday, September 25, 2018, to accept public comment and consider the rezoning request for application #30725"
4,Council|master development agreement,2,Master Development Agreement,"Council Member Peel, seconded by Council Member Ferguson, moved to open the public hearing for Ordinances #2018-09-01 and -09-02, and the initial approval of the Master Development Agreement"
5,Council|s|minutes/2018/2018-09-25_council_459623.md|5,2,,"Council Member Ferguson, seconded by Council Member Hull, moved to close the public hearing portion for the request for an initial Master Development Agreement for the development of property located at approximately 4000 South and 8400 West, and refer it to the Planning Commission for review"
6,Council|s|minutes/2018/2018-10-23_council_459627.md|7,2,,"Council Member Prokopis, seconded by Council Member Hull, moved to approve Ordinance #18-10-06 creating the Community Reinvestment Agency of Magna for the purpose of managing Magna’s future economic development and other community reinvestment efforts"
7,Council|s|minutes/2018/2018-12-18_council_466815.md|6,2,,"Council Member Ferguson, seconded by Council Member Hull, moved to approve Resolution 18-12-03 of the Magna Metro Township Council adopting the 2019 Magna consolidated fee schedule, with the amendment that an additional $750 Annexation Fee be added as a fee to new applicants applying for annexation"
8,Council|s|minutes/2018/2018-12-18_council_466815.md|9,2,,"Council Member Ferguson, seconded by Council Member Prokopis, moved to approve Ordinance #18-12-01 creating Chapter 16.01 – Inland Port Authority District for the purpose of managing the land use process for properties located in the Utah Inland Port, pursuant to Utah Code § 11-58: “Utah Inland Port Authority Act"
9,Council|s|minutes/2019/2019-02-12_council_522729.md|4,2,,"Council Member Peel, seconded by Council Member Ferguson, moved to approve Application #30802 with a zoning condition of a 35-foot height limit"
10,Council|s|minutes/2019/2019-03-26_council_522735.md|4,2,,"Council Member Prokopis, seconded by Council Member Peel, moved to approve the rezone with zoning conditions that are consistent with the master development agreement to the property to the south"
11,Council|s|minutes/2019/2019-08-27_council_568113.md|3,2,,"Council Member Hull, seconded by Council Member Peel, moved to approve Application #30985 with the following conditions; 1. No duplexes, multi-family dwellings, group PUD’s, or mobile home parks can be developed on the property, 2. The applicant must complete a lot line adjustment on the property"
12,Council|s|minutes/2019/2019-10-22_council_568125.md|2,2,,"Council Member Peel, seconded by Council Member Hull, moved to approve sending the letter to the Redevelopment Agency of Salt Lake County"
13,Council|s|minutes/2019/2019-11-12_council_568127.md|7,2,,"Council Member Hull, seconded by Council Member Peel, moved to set the public hearing on November 26, 2019, at 7:30 PM for the Moderate-Income Housing Plan element of the Magna General Plan"
14,Council|s|minutes/2020/2020-05-26_council_613989.md|5,2,,"Council Member Peel, seconded by Council Member Hull, moved to approve Application #31132 with the zoning conditions set by the Planning Commission"
15,Council|s|minutes/2021/2021-02-09_council_689999.md|7,2,,Council Member Peel moved to approve Application #REZ200-000100 with the zoning condition set by the Planning Commission. Mayor Peay asked what the zoning condition was. Paul Ashton stated the condition was that the applicant comply with the ordinance and other requirements. Greg Schulz stated the condition was that the applicant work with the GSLMSD Planning Division staff and outside review agencies to meet the policies for ordinances they administer
16,Council|s|minutes/2021/2021-02-09_council_689999.md|8,2,,"Council Member Peel, seconded by Council Member Prokopis, moved to approve Application #REZ200-000100 with the zoning condition set by the Planning Commission"
17,Council|s|minutes/2021/2021-04-27_council_844695.md|14,2,,"Council Member Hull, seconded by Council Member Peel, moved to approve Application 2021-000262, with the zoning conditions approved by the Planning Commission and Planning staff"
18,Council|s|minutes/2021/2021-04-27_council_844695.md|17,2,,"Council Member Peel, seconded by Council Member Hull, moved to approve Application 2021-000263, subject to the zoning conditions set by the Planning Commission and Planning staff"
