meeting_id,body_id,meeting_date,title,source_file
1,2,2018-07-17,Magna Council Meeting,minutes/2018/2018-07-17_council_459615.md
2,2,2018-08-14,Magna Council Meeting,minutes/2018/2018-08-14_council_459617.md
3,2,2018-08-28,Magna Council Meeting,minutes/2018/2018-08-28_council_459619.md
4,2,2018-09-18,Magna Council Meeting,minutes/2018/2018-09-18_council_459621.md
5,2,2018-09-25,Magna Council Meeting,minutes/2018/2018-09-25_council_459623.md
6,2,2018-10-09,Magna Council Meeting,minutes/2018/2018-10-09_council_459625.md
7,2,2018-10-23,Magna Council Meeting,minutes/2018/2018-10-23_council_459627.md
8,2,2018-11-13,Magna Council Meeting,minutes/2018/2018-11-13_council_459631.md
9,2,2018-11-27,Magna Council Meeting,minutes/2018/2018-11-27_council_459633.md
10,2,2018-12-11,Magna Council Meeting,minutes/2018/2018-12-11_council_459635.md
11,2,2018-12-18,Magna Council Meeting,minutes/2018/2018-12-18_council_466815.md
12,2,2019-01-08,Magna Council Meeting,minutes/2019/2019-01-08_council_522725.md
13,2,2019-01-22,Magna Council Meeting,minutes/2019/2019-01-22_council_522727.md
14,2,2019-02-12,Magna Council Meeting,minutes/2019/2019-02-12_council_522729.md
15,2,2019-02-26,Magna Council Meeting,minutes/2019/2019-02-26_council_522731.md
16,2,2019-03-12,Magna Council Meeting,minutes/2019/2019-03-12_council_522733.md
17,2,2019-03-26,Magna Council Meeting,minutes/2019/2019-03-26_council_522735.md
18,2,2019-04-09,Magna Council Meeting,minutes/2019/2019-04-09_council_522737.md
19,2,2019-05-14,Magna Council Meeting,minutes/2019/2019-05-14_council_522739.md
20,2,2019-05-28,Magna Council Meeting,minutes/2019/2019-05-28_council_522741.md
21,2,2019-06-11,Magna Council Meeting,minutes/2019/2019-06-11_council_522743.md
22,2,2019-06-25,Magna Council Meeting,minutes/2019/2019-06-25_council_522745.md
23,2,2019-07-09,Magna Council Meeting,minutes/2019/2019-07-09_council_522751.md
24,2,2019-08-13,Magna Council Meeting,minutes/2019/2019-08-13_council_568105.md
25,2,2019-08-27,Magna Council Meeting,minutes/2019/2019-08-27_council_568113.md
26,2,2019-09-10,Magna Council Meeting,minutes/2019/2019-09-10_council_568117.md
27,2,2019-09-24,Magna Council Meeting,minutes/2019/2019-09-24_council_568119.md
28,2,2019-10-08,Magna Council Meeting,minutes/2019/2019-10-08_council_568123.md
29,2,2019-10-22,Magna Council Meeting,minutes/2019/2019-10-22_council_568125.md
30,2,2019-11-12,Magna Council Meeting,minutes/2019/2019-11-12_council_568127.md
31,2,2019-11-26,Magna Council Meeting,minutes/2019/2019-11-26_council_568133.md
32,2,2020-01-14,Magna Council Meeting,minutes/2020/2020-01-14_council_612093.md
33,2,2020-01-28,Magna Council Meeting,minutes/2020/2020-01-28_council_612095.md
34,2,2020-02-11,Magna Council Meeting,minutes/2020/2020-02-11_council_612097.md
35,2,2020-02-25,Magna Council Meeting,minutes/2020/2020-02-25_council_612115.md
36,2,2020-03-24,Magna Council Meeting,minutes/2020/2020-03-24_council_612117.md
37,2,2020-04-14,Magna Council Meeting,minutes/2020/2020-04-14_council_612119.md
38,2,2020-04-28,Magna Council Meeting,minutes/2020/2020-04-28_council_612121.md
39,2,2020-05-12,Magna Council Meeting,minutes/2020/2020-05-12_council_612125.md
40,2,2020-05-26,Magna Council Meeting,minutes/2020/2020-05-26_council_613989.md
41,2,2020-06-09,Magna Council Meeting,minutes/2020/2020-06-09_council_620093.md
42,2,2020-06-23,Magna Council Meeting,minutes/2020/2020-06-23_council_620091.md
43,2,2020-07-14,Magna Council Meeting,minutes/2020/2020-07-14_council_627895.md
44,2,2020-08-11,Magna Council Meeting,pmn_backfill/text/2020-08-11__council-regular__636165.txt
45,2,2020-08-25,Magna Council Meeting,pmn_backfill/text/2020-08-25__council-regular__636167.txt
46,2,2020-09-08,Magna Council Meeting,pmn_backfill/text/2020-09-08__council-regular__640412.txt
47,2,2020-10-27,Magna Council Meeting,pmn_backfill/text/2020-10-27__council-regular__661255.txt
48,2,2020-11-10,Magna Council Meeting,minutes/2020/2020-11-10_council_665985.md
49,2,2021-01-12,Magna Council Meeting,minutes/2021/2021-01-12_council_679759.md
50,2,2021-01-26,Magna Council Meeting,minutes/2021/2021-01-26_council_692051.md
51,2,2021-02-09,Magna Council Meeting,minutes/2021/2021-02-09_council_689999.md
52,2,2021-02-23,Magna Council Meeting,minutes/2021/2021-02-23_council_715305.md
53,2,2021-03-09,Magna Council Meeting,minutes/2021/2021-03-09_council_715319.md
54,2,2021-03-23,Magna Council Meeting,minutes/2021/2021-03-23_council_715321.md
55,2,2021-04-13,Magna Council Meeting,minutes/2021/2021-04-13_council_715325.md
56,2,2021-04-27,Magna Council Meeting,minutes/2021/2021-04-27_council_844695.md
57,2,2021-05-11,Magna Council Meeting,minutes/2021/2021-05-11_council_844697.md
58,2,2021-05-25,Magna Council Meeting,minutes/2021/2021-05-25_council_844699.md
59,2,2021-06-08,Magna Council Meeting,minutes/2021/2021-06-08_council_844701.md
60,2,2021-06-22,Magna Council Meeting,minutes/2021/2021-06-22_council_844703.md
61,2,2021-07-13,Magna Council Meeting,minutes/2021/2021-07-13_council_844705.md
62,2,2021-07-27,Magna Council Meeting,minutes/2021/2021-07-27_council_844707.md
63,2,2021-08-24,Magna Council Meeting,minutes/2021/2021-08-24_council_844713.md
64,2,2021-09-14,Magna Council Meeting,minutes/2021/2021-09-14_council_844715.md
65,2,2021-09-28,Magna Council Meeting,minutes/2021/2021-09-28_council_844719.md
66,2,2021-10-12,Magna Council Meeting,minutes/2021/2021-10-12_council_844721.md
67,2,2021-10-26,Magna Council Meeting,minutes/2021/2021-10-26_council_844727.md
68,2,2021-11-09,Magna Council Meeting,minutes/2021/2021-11-09_council_844729.md
69,2,2021-11-16,Magna Council Meeting,minutes/2021/2021-11-16_council_844731.md
70,2,2021-12-14,Magna Council Meeting,minutes/2021/2021-12-14_council_844735.md
71,2,2022-01-11,City Council Regular Meeting,minutes/2022/2022-01-11_council_88.md
72,2,2022-01-25,City Council Regular Meeting,minutes/2022/2022-01-25_council_80.md
73,2,2022-02-08,City Council Regular Meeting,minutes/2022/2022-02-08_council_74.md
74,2,2022-02-22,City Council Regular Meeting,minutes/2022/2022-02-22_council_85.md
75,2,2022-03-08,City Council Regular Meeting,minutes/2022/2022-03-08_council_94.md
76,2,2022-03-22,City Council Regular Meeting,minutes/2022/2022-03-22_council_96.md
77,2,2022-04-12,City Council Regular Meeting,minutes/2022/2022-04-12_council_78.md
78,2,2022-04-26,Workshop,minutes/2022/2022-04-26_council_100.md
79,2,2022-05-10,City Council Regular Meeting,minutes/2022/2022-05-10_council_98.md
80,2,2022-05-24,City Council Regular Meeting,minutes/2022/2022-05-24_council_99.md
81,2,2022-06-14,City Council Regular Meeting,minutes/2022/2022-06-14_council_83.md
82,2,2022-06-28,City Council Regular Meeting,minutes/2022/2022-06-28_council_84.md
83,2,2022-07-12,Magna Council Meeting,minutes/2022/2022-07-12_council_879345.md
84,2,2022-07-26,City Council Regular Meeting,minutes/2022/2022-07-26_council_82.md
85,2,2022-08-09,City Council Regular Meeting,minutes/2022/2022-08-09_council_71.md
86,2,2022-08-23,City Council Regular Meeting,minutes/2022/2022-08-23_council_72.md
87,2,2022-09-13,City Council Regular Meeting,minutes/2022/2022-09-13_council_92.md
88,2,2022-09-27,City Council Regular Meeting,minutes/2022/2022-09-27_council_93.md
89,2,2022-10-11,City Council Regular Meeting,minutes/2022/2022-10-11_council_90.md
90,2,2022-10-25,City Council Regular Meeting,minutes/2022/2022-10-25_council_91.md
91,2,2022-11-22,City Council Regular Meeting,minutes/2022/2022-11-22_council_89.md
92,2,2022-12-13,City Council Regular Meeting,minutes/2022/2022-12-13_council_73.md
93,2,2023-01-10,City Council Regular Meeting,minutes/2023/2023-01-10_council_87.md
