date,year,title,body,slug,path,source,source_url,format
2018-07-17,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-07-17_council_459615.md,pmn,https://www.utah.gov/pmn/files/459615.pdf,pdf-text
2018-08-14,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-08-14_council_459617.md,pmn,https://www.utah.gov/pmn/files/459617.pdf,pdf-text
2018-08-28,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-08-28_council_459619.md,pmn,https://www.utah.gov/pmn/files/459619.pdf,pdf-text
2018-09-18,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-09-18_council_459621.md,pmn,https://www.utah.gov/pmn/files/459621.pdf,pdf-text
2018-09-25,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-09-25_council_459623.md,pmn,https://www.utah.gov/pmn/files/459623.pdf,pdf-text
2018-10-09,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-10-09_council_459625.md,pmn,https://www.utah.gov/pmn/files/459625.pdf,pdf-text
2018-10-23,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-10-23_council_459627.md,pmn,https://www.utah.gov/pmn/files/459627.pdf,pdf-text
2018-10-30,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-10-30_council_459629.md,pmn,https://www.utah.gov/pmn/files/459629.pdf,pdf-text
2018-11-13,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-11-13_council_459631.md,pmn,https://www.utah.gov/pmn/files/459631.pdf,pdf-text
2018-11-27,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-11-27_council_459633.md,pmn,https://www.utah.gov/pmn/files/459633.pdf,pdf-text
2018-12-11,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-12-11_council_459635.md,pmn,https://www.utah.gov/pmn/files/459635.pdf,pdf-text
2018-12-18,2018,Magna Council Meeting,Council,council-regular,minutes/2018/2018-12-18_council_466815.md,pmn,https://www.utah.gov/pmn/files/466815.pdf,pdf-text
2019-01-08,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-01-08_council_522725.md,pmn,https://www.utah.gov/pmn/files/522725.pdf,pdf-text
2019-01-22,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-01-22_council_522727.md,pmn,https://www.utah.gov/pmn/files/522727.pdf,pdf-text
2019-02-12,2019,Magna Council Meeting,Council,council-regular,minutes/2019/2019-02-12_council_522729.md,pmn,https://www.utah.gov/pmn/files/522729.pdf,pdf-text
