stem,bytes,chars,status
10222024-124,206107,4639,extracted
11122024-126,206087,4230,extracted
04082025-142,464303,9190,extracted
05132025-143,14488621,135,image_only
06102025-146,204897,4296,extracted
07082025-149,1047848,65417,extracted
09092025-173,206153,713,extracted
09232025-174,532444,30951,extracted
10142025-178,205333,4420,extracted
11182025-187,385000,9305,extracted
12092025-188,207841,4295,extracted
01132026-192,107416,624,extracted
01272026-193,354757,3555,extracted
01272026-195,207663,4538,extracted
02102026-197,91765,363,extracted
03102026-201,84480,547,extracted
04142026-204,69452,364,extracted
05122026-208,202331,3256,extracted
06092026-210,185645,3264,extracted
520769,5219745,150254,extracted
523983,204386,4416,extracted
524803,4936835,152529,extracted
548083,2448805,118955,extracted
553257,4093838,56699,extracted
564141,216072,7296,extracted
568811,210228,5176,extracted
573351,208424,4970,extracted
582765,7456685,172708,extracted
591399,213351,5298,extracted
595395,209198,4634,extracted
600143,2949348,9862,extracted
603827,372658,7058,extracted
605249,372647,7058,extracted
605257,1936446,29251,extracted
608057,372658,7058,extracted
615597,1871913,7040,extracted
619141,4550505,59375,extracted
626971,215706,5629,extracted
636159,221193,7682,extracted
655879,8360690,126659,extracted
664933,218204,7517,extracted
678743,220594,6850,extracted
709677,12380861,167190,extracted
715819,225704,7184,extracted
721431,221177,7023,extracted
726631,217565,5528,extracted
732337,222515,5593,extracted
739019,618704,39038,extracted
743077,10547412,455879,extracted
752511,3051281,32651,extracted
759589,4654766,194754,extracted
764257,55121144,443632,extracted
769385,390126,19727,extracted
774743,10196924,77628,extracted
779635,1901194,131143,extracted
782757,13032287,262890,extracted
792299,2048019,154856,extracted
01112022-88,247370,5571,extracted
01252022-80,270212,6128,extracted
02082022-74,253617,6588,extracted
02222022-85,261648,4888,extracted
03082022-94,335438,4621,extracted
03222022-96,275176,3932,extracted
04122022-78,255163,4407,extracted
04262022-100,189462,2847,extracted
04262022-70,273037,4582,extracted
05102022-98,255159,3976,extracted
05242022-99,250339,3429,extracted
06142022-83,282282,5406,extracted
06282022-84,275579,4247,extracted
07122022-101,241625,1975,extracted
07122022-81,268960,3567,extracted
07262022-82,275372,4025,extracted
08092022-71,229929,3546,extracted
08162022-102,3010931,301208,extracted
08232022-72,269879,4378,extracted
09132022-92,232744,4566,extracted
09272022-93,258857,4276,extracted
10112022-90,233343,4166,extracted
10252022-91,260542,5677,extracted
11222022-89,275380,6828,extracted
12132022-73,258117,5551,extracted
01102023-87,237666,2474,extracted
01242023-79,257273,4836,extracted
02132023-46,247109,3903,extracted
02142023-75,262710,3716,extracted
02272023-47,251466,4808,extracted
02282023-86,303163,4853,extracted
03142023-95,248393,3213,extracted
03282023-97,258091,5108,extracted
04112023-76,249195,3251,extracted
04252023-69,257316,5221,extracted
05092023-49,267435,3782,extracted
05092023-77,267435,3782,extracted
05232023-56,255700,4350,extracted
06132023-62,249403,4379,extracted
06192023-64,175047,1593,extracted
06272023-63,251776,3672,extracted
07112023-60,225038,3294,extracted
07252023-61,254835,4285,extracted
08082023-53,227382,3317,extracted
08232023-44,257307,4992,extracted
09122023-67,230247,4149,extracted
09262023-50,253141,4442,extracted
10102023-65,231798,3651,extracted
10242023-66,250281,4130,extracted
11142023-57,251359,4638,extracted
11282023-58,257404,5506,extracted
12122023-45,253259,4662,extracted
01092024-48,253809,4493,extracted
01232024-59,221746,4677,extracted
03122024-54,234969,4118,extracted
03262024-55,233662,4211,extracted
04092024-51,382828,3543,extracted
04132024-52,140822,1798,extracted
04232024-43,235431,4131,extracted
05142024-41,240008,5517,extracted
05282024-42,271008,5328,extracted
06032024-34,224481,1673,extracted
06112024-36,275650,6186,extracted
06182024-33,266796,3643,extracted
06252024-37,308961,5135,extracted
07092024-35,306133,4047,extracted
07092024-38,419602,0,image_only
07232024-117,263520,3733,extracted
08132024-118,255999,6407,extracted
08272024-119,217579,6970,extracted
09102024-120,264356,5954,extracted
09242024-121,158692,4807,extracted
10082024-122,235851,5144,extracted
10222024-123,213310,5334,extracted
11122024-125,211767,5697,extracted
11262024-127,465297,6833,extracted
12102024-128,263206,6907,extracted
01142025-129,304616,5923,extracted
01282025-130,282744,5697,extracted
02112025-134,399492,5259,extracted
02152025-135,437000,1653,extracted
02252025-136,214354,4863,extracted
03112025-137,213920,5572,extracted
03252025-138,605693,5566,extracted
04082025-139,254337,6099,extracted
04222025-140,213849,6354,extracted
05132025-141,212873,5346,extracted
05272025-144,214317,5430,extracted
06102025-145,211687,5616,extracted
06242025-147,925389,48775,extracted
07082025-148,9569425,315840,extracted
07222025-150,9422202,105559,extracted
07302025-151,185069,1460,extracted
08262025-169,167574,997,extracted
08262025-170,4969348,172700,extracted
09092025-172,224179,6639,extracted
09232025-175,1084913,132185,extracted
09252025-176,61032,725,extracted
10142025-177,222975,6049,extracted
10282025-179,24081786,151239,extracted
11182025-184,421265,573,extracted
11182025-185,412977,1265,extracted
11182025-186,5025104,448815,extracted
12092025-189,12775447,209491,extracted
01022026-190,159590,2114,extracted
01132026-191,5402431,148369,extracted
01272026-194,224472,6097,extracted
02102026-196,519572,95755,extracted
02242026-198,831948,75245,extracted
02272026-199,380631,1714,extracted
03102026-200,441230,28648,extracted
03242026-202,2775300,145167,extracted
04142026-203,11814159,257415,extracted
04282026-205,5198965,83228,extracted
04302026-206,187487,1815,extracted
05122026-207,1064624,132080,extracted
05262026-209,264340,5161,extracted
06092026-211,1413894,183053,extracted
06232026-212,122095,1087,extracted
06232026-213,767027,40919,extracted
06232026-214,3485346,193864,extracted
07142026-215,757918,86869,extracted
457049,23192632,932085,extracted
459193,207702,1167,extracted
463695,108908,1101,extracted
473101,112722,1633,extracted
476203,13783926,1444640,extracted
481261,109114,969,extracted
484519,7949547,326201,extracted
490691,170552,2723,extracted
500831,205033,3108,extracted
503571,479873,70060,extracted
510705,9141717,373589,extracted
518765,5959136,195273,extracted
526303,201564,2437,extracted
531185,156260,2328,extracted
538551,1950487,703379,extracted
542375,20572405,8326678,extracted
547279,15048101,614750,extracted
554231,132288,2128,extracted
555519,6085123,151495,extracted
555521,9825322,242222,extracted
561339,14334637,265575,extracted
573735,5042697,44385,extracted
578695,226315,1727,extracted
582227,9478974,550906,extracted
587337,232018,2262,extracted
589019,21417509,61479,extracted
594829,232724,2145,extracted
599483,17126340,250464,extracted
603183,233682,2448,extracted
607621,12509238,199563,extracted
612005,234099,2222,extracted
612123,2227325,10497,extracted
616333,8536010,74320,extracted
619601,2983808,12453,extracted
620429,225285,2185,extracted
627661,343927,5707,extracted
631993,230385,1991,extracted
635275,4912498,69413,extracted
637255,266264,9716,extracted
641523,400098,15277,extracted
643553,7351077,31616,extracted
648117,228663,2069,extracted
650425,1510973,7759,extracted
651721,229883,1957,extracted
655695,24975003,599512,extracted
