date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2022-12-13,2022,City Council Regular Meeting,Council,1,"Council Member Hull, seconded by Council Member Barney, moved to open the public hearing",Public Hearing Action,Unanimous Pass,Trish Hull,Eric Barney,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,2,"Council Member Hull, seconded by Council Member Barney, moved to close the public hearing",Public Hearing Action,Unanimous Pass,Trish Hull,Eric Barney,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,3,"Council Member Hull, seconded by Council Member Barney, moved to approve the following resolution adopting amendments to the 2022 Magna Metro Township Budget",Budget/Finance,Unanimous Pass,Trish Hull,Eric Barney,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,4,"Council Member Barney, seconded by Council Member Prokopis, moved to open the public hearing",Public Hearing Action,Unanimous Pass,Eric Barney,Steve Prokopis,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,5,"Council Member Hull, seconded by Council Member Pierce, moved to close the public hearing",Public Hearing Action,Unanimous Pass,Trish Hull,Audrey Pierce,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,6,"Council Member Hull, seconded by Council Member Barney, moved to approve the following resolution adopting the 2023 Magna Metro Township Final Budget",Budget/Finance,Unanimous Pass,Trish Hull,Eric Barney,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,7,"Council Member Barney, seconded by Council Member Prokopis, moved to open the public hearing",Public Hearing Action,Unanimous Pass,Eric Barney,Steve Prokopis,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,8,"Council Member Prokopis, seconded by Council Member Hull, moved to close the public hearing",Public Hearing Action,Unanimous Pass,Steve Prokopis,Trish Hull,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,9,"Council Member Barney, seconded by Council Member Hull, moved to approve the following resolution adopting the 2023 Magna Metro Township Consolidated Fee Schedule",Resolution,Unanimous Pass,Eric Barney,Trish Hull,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,10,"Council Member Barney, seconded by Council Member Hull , moved to approve the minutes of the Magna Metro Township Council meetings held on October 25, 2022",Procedural/Administrative,Unanimous Pass,Eric Barney,Trish Hull,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,11,"Council Member Barney, seconded by Council Member Hull, moved to approve the following resolution adopting the Magna Metro Township Meeting Schedule for Calendar Year 2023",Resolution,Unanimous Pass,Eric Barney,Trish Hull,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,12,"Council Member Hull, seconded by Council Member Barney, moved to approve the following resolution determining a referenced walkway located at 323 Jean Street does not exist and recognizing a past vacation of said walkway by Salt Lake County",Resolution,Unanimous Pass,Trish Hull,Eric Barney,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,13,"Council Member Barney, seconded by Council Member Hull, moved to push this back to the planning commission for its recommendation",Ceremonial,Unanimous Pass,Eric Barney,Trish Hull,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,14,"Council Member Barney, seconded by Council Member Prokopis, made a motion to approve the following Resolution 22-12-06, based on the recommendations of the engineers and understanding the long-term implications",Resolution,Unanimous Pass,Eric Barney,Steve Prokopis,,,minutes/2022/2022-12-13_council_73.md,minutes
2022-12-13,2022,City Council Regular Meeting,Council,15,"Council Member Pierce, seconded by Council Member Barney, moved to approve Resolution 22-12-07",Resolution,Unanimous Pass,Audrey Pierce,Eric Barney,,,minutes/2022/2022-12-13_council_73.md,minutes
