referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,18,Council,292,PlanningCommission,address+subject,high,149 e 7100 s,0.846,2020-06-02,2020-07-22,-50,
2,19,Council,334,PlanningCommission,subject,low,,0.615,2020-07-21,2021-06-23,-337,
3,20,Council,284,PlanningCommission,subject,medium,,0.751,2020-07-21,2020-06-10,41,
4,21,Council,277,PlanningCommission,subject,medium,,0.77,2020-07-21,2020-04-22,90,
5,24,Council,290,PlanningCommission,subject,medium,,0.83,2020-08-04,2020-07-08,27,
6,25,Council,289,PlanningCommission,subject,medium,,0.755,2020-08-04,2020-07-08,27,
7,26,Council,288,PlanningCommission,address+subject,high,7488 s casa blanca,0.375,2020-08-04,2020-07-08,27,
8,27,Council,293,PlanningCommission,address,low,1000 e fort union,0.15,2020-08-04,2020-07-22,13,
9,28,Council,292,PlanningCommission,address,low,149 e 7100 s,0.846,2020-08-18,2020-07-22,27,
10,29,Council,280,PlanningCommission,address+subject,high,6790 s 700 e,0.246,2020-08-18,2020-05-13,97,
11,31,Council,293,PlanningCommission,address,low,1000 e fort union,0.151,2020-08-18,2020-07-22,27,
12,32,Council,291,PlanningCommission,address+subject,high,380 e fort union,1.0,2020-08-18,2020-07-08,41,
13,32,Council,309,PlanningCommission,subject,low,,0.866,2020-08-18,2021-03-24,-218,
14,33,Council,294,PlanningCommission,subject,medium,,0.747,2020-09-01,2020-08-12,20,
15,34,Council,278,PlanningCommission,subject,medium,,0.663,2020-09-01,2020-05-13,111,
16,35,Council,2,RDA,subject,medium,,0.824,2020-09-01,2020-01-21,224,
17,36,Council,295,PlanningCommission,address+subject,high,847 w center,1.0,2020-10-06,2020-09-09,27,
18,37,Council,280,PlanningCommission,address,low,6790 s 700 e,0.159,2020-10-06,2020-05-13,146,
19,46,Council,297,PlanningCommission,address+subject,high,300 e 8000 s,0.657,2021-01-05,2020-09-09,118,
20,46,Council,298,PlanningCommission,address+subject,high,300 e 8000 s,0.683,2021-01-05,2020-09-09,118,
21,53,Council,303,PlanningCommission,address,low,293 e 6790 s,0.591,2021-02-16,2021-01-13,34,
22,54,Council,306,PlanningCommission,address+subject,high,460 w oak,0.889,2021-03-02,2021-02-24,6,
23,57,Council,312,PlanningCommission,subject,medium,,0.761,2021-04-06,2021-03-24,13,
24,58,Council,297,PlanningCommission,address+subject,high,300 e 8000 s,0.823,2021-04-06,2020-09-09,209,
25,58,Council,298,PlanningCommission,address+subject,high,300 e 8000 s,0.758,2021-04-06,2020-09-09,209,
26,65,Council,303,PlanningCommission,address+subject,high,293 e 6790 s,0.265,2021-04-06,2021-01-13,83,
27,67,Council,311,PlanningCommission,address+subject,high,7045 s 300 e,0.835,2021-04-20,2021-03-24,27,
28,68,Council,291,PlanningCommission,subject,medium,,0.894,2021-04-20,2020-07-08,286,
29,68,Council,309,PlanningCommission,address+subject,high,562 e fort union,1.0,2021-04-20,2021-03-24,27,
30,69,Council,281,PlanningCommission,address+subject,high,568 e fort union,0.545,2021-04-20,2020-05-13,342,
31,69,Council,310,PlanningCommission,address+subject,high,568 e fort union,0.957,2021-04-20,2021-03-24,27,
32,70,Council,311,PlanningCommission,address+subject,high,7045 s 300 e,0.229,2021-05-18,2021-03-24,55,
33,74,Council,333,PlanningCommission,subject,medium,,0.87,2021-07-20,2021-06-23,27,
34,78,Council,335,PlanningCommission,address,low,7417 s 410 e,0.054,2021-08-24,2021-07-14,41,
35,79,Council,338,PlanningCommission,address,low,51 alabama,0.903,2021-09-07,2021-08-11,27,
36,80,Council,337,PlanningCommission,address,low,90 e 6790 s,0.626,2021-09-21,2021-08-11,41,
37,81,Council,310,PlanningCommission,address+subject,high,568 e fort union,0.835,2021-10-05,2021-03-24,195,
38,83,Council,338,PlanningCommission,subject,medium,,0.573,2021-11-16,2021-08-11,97,
39,88,Council,347,PlanningCommission,subject,medium,,1.0,2021-12-07,2021-11-10,27,
40,92,Council,307,PlanningCommission,subject,medium,,0.319,2022-01-04,2021-02-24,314,
41,94,Council,350,PlanningCommission,subject,medium,,1.0,2022-02-15,2022-01-12,34,
42,95,Council,354,PlanningCommission,subject,medium,,1.0,2022-02-15,2022-01-26,20,
43,96,Council,352,PlanningCommission,subject,medium,,0.344,2022-02-15,2022-01-26,20,
44,97,Council,352,PlanningCommission,address,low,160 e 7200 s,0.122,2022-02-15,2022-01-26,20,
45,100,Council,355,PlanningCommission,address+subject,high,6871 s 185 e,1.0,2022-03-01,2022-02-09,20,
46,101,Council,357,PlanningCommission,address+subject,high,7598 s main,1.0,2022-03-15,2022-02-23,20,
47,102,Council,353,PlanningCommission,address,low,1122 e fort union,0.855,2022-03-15,2022-01-26,48,
48,102,Council,356,PlanningCommission,address,low,1122 e fort union,0.811,2022-03-15,2022-02-09,34,
49,104,Council,353,PlanningCommission,subject,medium,,0.654,2022-04-05,2022-01-26,69,
50,104,Council,356,PlanningCommission,subject,medium,,0.621,2022-04-05,2022-02-09,55,
51,106,Council,362,PlanningCommission,subject,medium,,0.306,2022-05-17,2022-04-27,20,
52,107,Council,360,PlanningCommission,subject,medium,,0.903,2022-05-17,2022-04-27,20,
53,107,Council,361,PlanningCommission,subject,medium,,0.892,2022-05-17,2022-04-27,20,
54,109,Council,352,PlanningCommission,address+subject,high,160 e 7200 s,0.231,2022-06-21,2022-01-26,146,
55,110,Council,352,PlanningCommission,address+subject,high,160 e 7200 s,0.351,2022-06-21,2022-01-26,146,
56,113,Council,86,RDA,subject,medium,,0.523,2022-08-23,2021-11-16,280,
57,113,Council,99,RDA,subject,medium,,0.523,2022-08-23,2022-02-15,189,
58,114,Council,368,PlanningCommission,subject,medium,,0.808,2022-09-06,2022-08-10,27,
59,117,Council,369,PlanningCommission,address+subject,high,282 w 7200 s,0.927,2022-10-04,2022-09-14,20,
60,118,Council,127,RDA,subject,medium,,0.824,2022-10-04,2022-12-06,-63,
61,118,Council,369,PlanningCommission,address+subject,high,282 w 7200 s,0.743,2022-10-04,2022-09-14,20,
62,120,Council,371,PlanningCommission,address+subject,high,968 casa roja,1.0,2022-10-18,2022-09-28,20,
63,122,Council,373,PlanningCommission,address+subject,high,655 w center,1.0,2022-11-01,2022-10-12,20,
64,129,Council,384,PlanningCommission,subject,medium,,0.386,2023-01-17,2023-03-08,-50,
65,130,Council,375,PlanningCommission,address+subject,high,195 w 7200 s,0.507,2023-02-07,2022-12-14,55,
66,133,Council,378,PlanningCommission,address+subject,high,653 w third,1.0,2023-02-21,2023-01-25,27,
67,134,Council,177,MBA,subject,medium,,0.668,2023-04-04,2024-05-07,-399,
68,136,Council,385,PlanningCommission,subject,medium,,0.703,2023-05-02,2023-04-12,20,
69,138,Council,379,PlanningCommission,subject,medium,,0.53,2023-05-02,2023-01-25,97,
70,139,Council,379,PlanningCommission,address+subject,high,272 e 8000 s,0.29,2023-05-02,2023-01-25,97,
71,144,Council,387,PlanningCommission,address,low,7433 s 410 e,0.167,2023-06-20,2023-05-24,27,
72,148,Council,390,PlanningCommission,subject,medium,,1.0,2023-07-18,2023-06-28,20,
73,149,Council,379,PlanningCommission,subject,medium,,0.652,2023-07-18,2023-01-25,174,
74,151,Council,177,MBA,subject,medium,,0.824,2023-08-08,2024-05-07,-273,
75,151,Council,391,PlanningCommission,address,low,847 w center,0.833,2023-08-08,2023-06-28,41,
76,153,Council,392,PlanningCommission,address+subject,high,220 e greenwood,0.226,2023-09-05,2023-08-09,27,
77,153,Council,393,PlanningCommission,address+subject,high,220 e greenwood,0.796,2023-09-05,2023-08-09,27,
78,158,Council,398,PlanningCommission,subject,medium,,0.884,2024-02-20,2024-01-24,27,
79,166,Council,403,PlanningCommission,address,low,8253 s main,0.798,2024-03-26,2024-02-28,27,
80,167,Council,404,PlanningCommission,subject,medium,,0.62,2024-03-26,2024-02-28,27,
