vote_id,motion_id,person_id,vote_value
1,1,7,Aye
2,1,13,Aye
3,1,19,Aye
4,1,24,Aye
5,1,26,Aye
6,2,7,Aye
7,2,13,Aye
8,2,19,Aye
9,2,24,Aye
10,2,26,Aye
11,3,7,Aye
12,3,13,Aye
13,3,19,Aye
14,3,24,Aye
15,3,26,Aye
16,4,7,Aye
17,4,13,Aye
18,4,19,Aye
19,4,24,Aye
20,4,26,Aye
21,5,13,Aye
22,5,24,Aye
23,5,26,Aye
24,7,7,Aye
25,7,13,Aye
26,7,19,Aye
27,7,24,Aye
28,7,26,Aye
29,8,7,Aye
30,8,13,Aye
31,8,19,Aye
32,8,24,Aye
33,8,26,Aye
34,9,7,Aye
35,9,13,Aye
36,9,19,Aye
37,9,24,Aye
38,9,26,Aye
39,10,7,Aye
40,10,13,Aye
41,10,19,Aye
42,10,24,Aye
43,10,26,Aye
44,12,7,Aye
45,12,13,Aye
46,12,19,Aye
47,12,24,Aye
48,12,26,Aye
49,13,7,Aye
50,13,13,Aye
51,13,19,Aye
52,13,24,Aye
53,13,26,Aye
54,17,7,Aye
55,17,13,Aye
56,17,19,Aye
57,17,24,Absent
58,17,26,Aye
59,20,7,Aye
60,20,13,Aye
61,20,19,Aye
62,20,24,Absent
63,20,26,Aye
64,21,7,Aye
65,21,13,Aye
66,21,19,Aye
67,21,24,Absent
68,21,26,Aye
69,22,7,Aye
70,22,13,Aye
71,22,19,Aye
72,22,24,Absent
73,22,26,Aye
74,26,7,Aye
75,26,13,Aye
76,26,19,Aye
77,26,24,Aye
78,26,26,Absent
79,27,7,Aye
80,27,13,Aye
81,27,19,Aye
82,27,24,Aye
83,27,26,Absent
84,28,7,Aye
85,28,13,Aye
86,28,19,Aye
87,28,24,Aye
88,28,26,Absent
89,30,7,Aye
90,30,13,Aye
91,30,19,Aye
92,30,24,Nay
93,30,26,Absent
94,33,7,Aye
95,33,13,Aye
96,33,19,Aye
97,33,24,Aye
98,33,26,Aye
99,36,7,Aye
100,36,13,Aye
101,36,19,Aye
102,36,24,Aye
103,36,26,Aye
104,37,7,Aye
105,37,13,Aye
106,37,19,Aye
107,37,24,Aye
108,37,26,Aye
109,40,7,Aye
110,40,13,Aye
111,40,19,Aye
112,40,24,Aye
113,40,26,Aye
114,42,7,Aye
115,42,13,Aye
116,42,19,Aye
117,42,24,Aye
118,42,26,Aye
119,43,7,Aye
120,43,13,Aye
121,43,19,Aye
122,43,24,Aye
123,43,26,Aye
124,44,7,Aye
125,44,13,Aye
126,44,19,Aye
