city,plan_id,district_id,precinct_id,effective_start,effective_end,source,confidence,note
midvale,plan_2022,District 1,MID005,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID006,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID007,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID013,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID014,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID015,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID016,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID025,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID026,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID027,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID028,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID029,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
midvale,plan_2022,District 1,MID035,2022-04-19,,geo/precinct_to_district.csv (current),high,current post-2020-census precinct->district read directly from geo/precinct_to_district.csv (no source_year column -> precinct_source_default token 'current'; H-A 2026-07-19). Official Midvale 5-district FeatureServer; districts only (the Mayor is city-wide).
