date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2021-03-16,2021,City Council Regular Meeting,Council,1,to approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Paul Glover,Bryant Brown,Bryant Brown,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,1,to approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Paul Glover,Bryant Brown,Dustin Gettel,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,1,to approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Paul Glover,Bryant Brown,Heidi Robinson,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,1,to approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Paul Glover,Bryant Brown,Paul Glover,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,1,to approve the Consent Agenda,Procedural/Administrative,5-0 Pass,Paul Glover,Bryant Brown,Quinn Sperry,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,2,to Adopt Resolution No. 2021- R-10 approving the Mayor to enter into an Agreement with Momentum Recycling allowing them to offer and operate a curbside glass recycling within Midvale City,Contract/Purchase,5-0 Pass,Dustin Gettel,Heidi Robinson,Bryant Brown,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,2,to Adopt Resolution No. 2021- R-10 approving the Mayor to enter into an Agreement with Momentum Recycling allowing them to offer and operate a curbside glass recycling within Midvale City,Contract/Purchase,5-0 Pass,Dustin Gettel,Heidi Robinson,Dustin Gettel,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,2,to Adopt Resolution No. 2021- R-10 approving the Mayor to enter into an Agreement with Momentum Recycling allowing them to offer and operate a curbside glass recycling within Midvale City,Contract/Purchase,5-0 Pass,Dustin Gettel,Heidi Robinson,Heidi Robinson,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,2,to Adopt Resolution No. 2021- R-10 approving the Mayor to enter into an Agreement with Momentum Recycling allowing them to offer and operate a curbside glass recycling within Midvale City,Contract/Purchase,5-0 Pass,Dustin Gettel,Heidi Robinson,Paul Glover,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,2,to Adopt Resolution No. 2021- R-10 approving the Mayor to enter into an Agreement with Momentum Recycling allowing them to offer and operate a curbside glass recycling within Midvale City,Contract/Purchase,5-0 Pass,Dustin Gettel,Heidi Robinson,Quinn Sperry,Aye,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
2021-03-16,2021,City Council Regular Meeting,Council,3,to adjourn the meeting,Procedural/Administrative,Unanimous Pass,Paul Glover,Bryant Brown,,,minutes/2021/2021-03-15/2021-03-16_city-council-regular-meeting.md,minutes
