date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,final_url,doc_id,date_precision,in_election_results,redacted,sha256,bytes,note
2019-10-29,Angel Vice,Mayor,2019,interim,,2019 Angel Vice — interim campaign-finance disclosure (2019-10-29),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1215/Angel-Vice-10-29-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201910_Angel-Vice_1215.pdf,,city_website_wayback,https://web.archive.org/web/20200305135944id_/https://millcreek.us/DocumentCenter/View/1215/Angel-Vice-10-29-19-PDF,1215,exact,yes,no,d9c704337f9c6421be8d10f894002b89d57e6e7e1f156ecf7b7af54da82195c2,1082075,
2019-12-05,Angel Vice,Mayor,2019,summary,,2019 Angel Vice — summary campaign-finance disclosure (2019-12-05),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1285/Angel-Vice-12-5-2019-PDF,2026-07-06,text,none (raw acquisition; OCR/vision deferred),raw/wayback/201912_Angel-Vice_1285.pdf,,city_website_wayback,https://web.archive.org/web/20200305135948id_/https://millcreek.us/DocumentCenter/View/1285/Angel-Vice-12-5-2019-PDF,1285,exact,yes,no,c82b941f246fc305a2b1f1b325efe781f809c73959045a314efc8c68719cbcd1,305065,
2019-10-29,Jeff Silvestrini,Mayor,2019,interim,,2019 Jeff Silvestrini — interim campaign-finance disclosure (2019-10-29),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1221/Jeff-Silvestrini-10-29-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201910_Jeff-Silvestrini_1221.pdf,,city_website_wayback,https://web.archive.org/web/20200305135933id_/https://millcreek.us/DocumentCenter/View/1221/Jeff-Silvestrini-10-29-19-PDF,1221,exact,yes,no,b4ea6b1b1835c6240a70f8af79d2a38eec2e43fcdb047a2285dc766609db06a7,2547717,
2019-12-05,Jeff Silvestrini,Mayor,2019,summary,,2019 Jeff Silvestrini — summary campaign-finance disclosure (2019-12-05),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1284/Jeff-Silvestrini-12-5-2019-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201912_Jeff-Silvestrini_1284.pdf,,city_website_wayback,https://web.archive.org/web/20200305135940id_/https://millcreek.us/DocumentCenter/View/1284/Jeff-Silvestrini-12-5-2019-PDF,1284,exact,yes,no,c0b4ea32ca57f9eb2b04735c3e15e49558462cd0cd9dc0573b0813f0f6755d87,528600,
2019-10-28,Silvia Catten,Council,2019,interim,,2019 Silvia Catten — interim campaign-finance disclosure (2019-10-28),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1219/Silvia-Catten-10-28-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201910_Silvia-Catten_1219.pdf,1,city_website_wayback,https://web.archive.org/web/20200305135950id_/https://millcreek.us/DocumentCenter/View/1219/Silvia-Catten-10-28-19-PDF,1219,exact,yes,no,682c699c7f385ba30de57dc149892f1519300c5a6237c9438de26d1ccb7dca47,343334,
2019-12-04,Silvia Catten,Council,2019,summary,,2019 Silvia Catten — summary campaign-finance disclosure (2019-12-04),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1282/Silvia-Catten-12-4-2019-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201912_Silvia-Catten_1282.pdf,1,city_website_wayback,https://web.archive.org/web/20200305135956id_/https://millcreek.us/DocumentCenter/View/1282/Silvia-Catten-12-4-2019-PDF,1282,exact,yes,no,2916bcf5144a355c02f3afd0310df3d640cf87c026df4a8b5cda770a23e0fae1,711206,
2019-10-29,Cheri Jackson,Council,2019,interim,,2019 Cheri Jackson — interim campaign-finance disclosure (2019-10-29),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1216/Cheri-Jackson-10-29-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201910_Cheri-Jackson_1216.pdf,3,city_website_wayback,https://web.archive.org/web/20200305141206id_/https://millcreek.us/DocumentCenter/View/1216/Cheri-Jackson-10-29-19-PDF,1216,exact,yes,no,19c7d76e4940067c1594b85c6a7d0b1330cf22841f5106e8a1f3a26c01ab4f00,635139,
2019-11-26,Cheri Jackson,Council,2019,summary,,2019 Cheri Jackson — summary campaign-finance disclosure (2019-11-26),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1274/Cheri-Jackson-11-26-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201911_Cheri-Jackson_1274.pdf,3,city_website_wayback,https://web.archive.org/web/20200305141210id_/https://millcreek.us/DocumentCenter/View/1274/Cheri-Jackson-11-26-19-PDF,1274,exact,yes,no,a87939e091bc6885fe30bfd805f8818915b2f00581a5526a02a4f264c4fc83cc,681917,
2019-10-29,Jemina A. Keller,Council,2019,interim,,2019 Jemina A. Keller — interim campaign-finance disclosure (2019-10-29),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1218/Jemina-A-Keller-10-29-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201910_Jemina-A-Keller_1218.pdf,3,city_website_wayback,https://web.archive.org/web/20200305141158id_/https://millcreek.us/DocumentCenter/View/1218/Jemina-A-Keller-10-29-19-PDF,1218,exact,yes,no,dae055b2a8bd9d36de9e1d23152091efb4fee6a28e028cf6387391021e13ec06,411647,
2019-11-25,Jemina A. Keller,Council,2019,summary,,2019 Jemina A. Keller — summary campaign-finance disclosure (2019-11-25),https://web.archive.org/web/20200304135807id_/https://millcreek.us/DocumentCenter/View/1272/Jemina-A-Keller-11-25-19-PDF,2026-07-06,scanned,none (raw acquisition; OCR/vision deferred),raw/wayback/201911_Jemina-A-Keller_1272.pdf,3,city_website_wayback,https://web.archive.org/web/20200305141202id_/https://millcreek.us/DocumentCenter/View/1272/Jemina-A-Keller-11-25-19-PDF,1272,exact,yes,no,4ab0dc74d5b94cfdc5b4a38f4218cd16aa66c616505de634f63beeaddd6c807b,487581,
