city,body,seat_id,district,person_name,person_key,start_date,end_date,start_event,end_event,election_year,first_vote,last_vote,sources,confidence,note
millcreek,Council,D1,District 1,Silvia Catten,silvia_catten,2016-12-28,2020-01-13,elected,reelected,2016,2017-02-27,2019-05-13,"election:2016 (founding Nov-8-2016 general winner); minutes:2016-12-05..27 (seated as Council-Elect); city incorporated / took office 2016-12-28 (District 1, def. Diane Angus 55.7-44.3)",high,"Founding D1 councilmember. first_vote in cities.db is 2019-05-13 — the named-roll-call seam (2017-2021 minutes are tally-only by source), a recording limit, not the term start."
millcreek,Council,D1,District 1,Silvia Catten,silvia_catten,2020-01-13,2024-01-09,reelected,reelected,2019,2020-02-24,2023-11-27,"election:2019 (District 1 winner, UNOPPOSED 100%); minutes:2020-01-13 (first regular meeting of the term)",high,Re-elected D1 2019 unopposed (continuous service).
millcreek,Council,D1,District 1,Silvia Catten,silvia_catten,2024-01-09,,reelected,serving,2023,2024-01-09,2026-06-22,"election:2023 (District 1 — cancelled-uncontested under UCA 20A-1-206, re-elected by default; no ballot printed); minutes:2024-01-09 (first regular meeting of the term)",high,"2023 D1 race was CANCELLED (only the incumbent filed) -> re-elected by default; blank vote fields in election_results by design, NOT a data gap. Currently serving."
millcreek,Council,D2,District 2,Dwight Marchant,dwight_marchant,2016-12-28,2018-01-08,elected,reelected,2016,2017-02-27,2017-08-28,"election:2016 (founding Nov-8-2016 general winner); minutes:2016-12-05..27 (seated as Council-Elect); city incorporated / took office 2016-12-28 (District 2, def. Dwayne Vance 54.3-45.7; SHORT initial term)",high,Founding D2 councilmember. D2/D4 drew SHORT initial terms at incorporation and were re-filled in the 2017 cycle (-> the B stagger).
millcreek,Council,D2,District 2,Dwight Marchant,dwight_marchant,2018-01-08,2022-01-10,reelected,did-not-run,2017,2019-05-13,2021-12-13,"election:2017 (District 2 winner, def. Dwayne Vance 66.5-33.5); minutes:2018-01-08 (first regular meeting of the term); votes:2019-05-13..2021-12-13 (cities.db role, tally-only-era named votes)",high,Re-elected D2 2017. NOT a candidate in the 2021 D2 race (won by DeSirant) -> term expired Jan 2022 -> did-not-run. Served entirely in the tally-only era (only 14 named votes).
millcreek,Council,D2,District 2,Thom DeSirant,thom_desirant,2022-01-10,2026-01-12,elected,reelected,2021,2022-07-26,2025-12-08,"election:2021 (District 2 RCV winner — final round 51.75%, def. first-choice leader Jeremiah Clark 1014-988 first-choice); minutes:2022-01-10 ('1.2 Council Member Oaths of Office: Thom DeSirant, Council District 2')",high,"2021 D2 was RANKED-CHOICE: Clark led first choice but DeSirant won the runoff (is_winner reflects the final round). first_vote in cities.db is 2022-07-26 — the named-roll-call seam (seated Jan 2022; named rolls begin mid-2022), a recording limit not the term start."
millcreek,Council,D2,District 2,Thom DeSirant,thom_desirant,2026-01-12,,reelected,serving,2025,2026-01-12,2026-06-22,"election:2025 (District 2 winner, def. Angie Gray 59.3-40.7); minutes:2026-01-12 (first regular meeting of the term)",high,Re-elected D2 2025 (continuous service). First D2 term contested on the plan_2022 lines.
millcreek,Council,D3,District 3,Cheri Jackson,cheri_jackson,2016-12-28,2020-01-13,elected,reelected,2016,2017-02-27,2019-05-13,"election:2016 (founding Nov-8-2016 general winner); minutes:2016-12-05..27 (seated as Council-Elect); city incorporated / took office 2016-12-28 (District 3, as 'Cheri M. Jackson', def. Jem Keller 58-42)",high,Founding D3 councilmember. Election name 'CHERI M. JACKSON' (2016) == 'CHERI JACKSON' (2019+) — same person.
millcreek,Council,D3,District 3,Cheri Jackson,cheri_jackson,2020-01-13,2024-01-09,reelected,reelected,2019,2020-02-24,2023-12-11,"election:2019 (District 3 winner, def. Jemina Keller 78.9-21.1); minutes:2020-01-13 (first regular meeting of the term)",high,Re-elected D3 2019.
millcreek,Council,D3,District 3,Cheri Jackson,cheri_jackson,2024-01-09,2025-11-10,reelected,became-mayor,2023,2024-01-09,2025-10-27,"election:2023 (District 3 winner, def. Scott Springer 76.2-13.8); minutes:2024-01-09 (seated); minutes:2025-11-03 (Resolution 25-38 appointing her Mayor); minutes:2025-11-10 (sworn in as Mayor -> vacated D3)",high,"Elected D3 2023; the council APPOINTED her to fill the mid-term MAYORAL vacancy (Resolution 25-38, 2025-11-03) after founding Mayor Silvestrini resigned; sworn in as Mayor 2025-11-10, vacating D3 that day. See the MAYOR row below."
millcreek,Council,D3,District 3,VACANT,vacant,2025-11-10,2025-11-24,vacated,filled,,,,minutes:2025-11-10 (Deputy Recorder Alex Wendt 'administered the Oath of Office to Mayor-Elect Cheri Jackson') — she left D3 to become Mayor,high,Explicit VACANT interval: seat empty between the predecessor's documented departure and the successor's seating (no two people hold one seat at once).
millcreek,Council,D3,District 3,Nicole Handy,nicole_handy,2025-11-24,,appointed,serving,,2025-11-24,2026-06-22,minutes:2025-11-24 (Resolution 25-42 'Filling the Mid-Term Vacancy of Council District 3 with Nicole Handy'; paper ballots 'unanimously reflected Nicole Handy'; City Recorder 'administered the oath of office to Nicole Handy'); votes:2025-11-24.. (cities.db role first_seen),high,APPOINTED to the D3 vacancy created when Jackson became Mayor (NOT elected — no D3 race in 2025). Next scheduled D3 election is 2027 (Cycle A).
millcreek,Council,D4,District 4,Bev Uipi,bev_uipi,2016-12-28,2018-01-08,elected,reelected,2016,2017-02-27,2017-08-28,"election:2016 (founding Nov-8-2016 general winner); minutes:2016-12-05..27 (seated as Council-Elect); city incorporated / took office 2016-12-28 (District 4, def. Seraya Amirthalingam 60.3-39.7; SHORT initial term)",high,Founding D4 councilmember (SHORT initial term -> re-filled 2017 -> B stagger). Longest-serving member in the window.
millcreek,Council,D4,District 4,Bev Uipi,bev_uipi,2018-01-08,2022-01-10,reelected,reelected,2017,2020-02-24,2021-12-13,"election:2017 (District 4 winner, UNOPPOSED 100%); minutes:2018-01-08 (first regular meeting of the term)",high,Re-elected D4 2017 unopposed.
millcreek,Council,D4,District 4,Bev Uipi,bev_uipi,2022-01-10,2026-01-12,reelected,reelected,2021,2022-07-26,2025-12-08,"election:2021 (District 4 RCV winner — final round 56.9%, def. Bruce Parker; also led first choice 43.6%); minutes:2022-01-10 ('1.2 Council Member Oaths of Office: … Bev Uipi, Council District 4')",high,"Re-elected D4 2021 (RCV; also the first-choice leader, so no divergence)."
