dataset,record_key,title,date,local_path,source_url,source_host,retrieved_date,verified_date,extraction_method,processing_ref
meeting_minutes,2016-12-05_city-council-meeting-118,City Council Meeting,2016-12-05,meeting_minutes/minutes/2016/2016-12-05/2016-12-05_city-council-meeting-118.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_12052016-118,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2016-12-12_city-council-meeting-119,City Council Meeting,2016-12-12,meeting_minutes/minutes/2016/2016-12-12/2016-12-12_city-council-meeting-119.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_12122016-119,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2016-12-19_city-council-meeting-120,City Council Meeting,2016-12-19,meeting_minutes/minutes/2016/2016-12-19/2016-12-19_city-council-meeting-120.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_12192016-120,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2016-12-20_city-council-meeting-121,City Council Meeting,2016-12-20,meeting_minutes/minutes/2016/2016-12-19/2016-12-20_city-council-meeting-121.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_12202016-121,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2016-12-27_city-council-elect-agenda-100,City Council-Elect Agenda,2016-12-27,meeting_minutes/minutes/2016/2016-12-26/2016-12-27_city-council-elect-agenda-100.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_12272016-100,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-01-03_city-council-special-meeting-agenda-99,City Council Special Meeting Agenda,2017-01-03,meeting_minutes/minutes/2017/2017-01-02/2017-01-03_city-council-special-meeting-agenda-99.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_01032017-99,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-01-09_city-council-meeting-122,City Council Meeting,2017-01-09,meeting_minutes/minutes/2017/2017-01-09/2017-01-09_city-council-meeting-122.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_01092017-122,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-01-17_city-council-agenda-98,City Council Agenda,2017-01-17,meeting_minutes/minutes/2017/2017-01-16/2017-01-17_city-council-agenda-98.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_01172017-98,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-01-23_city-council-agenda-97,City Council Agenda,2017-01-23,meeting_minutes/minutes/2017/2017-01-23/2017-01-23_city-council-agenda-97.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_01232017-97,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-01-30_city-council-agenda-96,City Council Agenda,2017-01-30,meeting_minutes/minutes/2017/2017-01-30/2017-01-30_city-council-agenda-96.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_01302017-96,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-02-06_city-council-agenda-95,City Council Agenda,2017-02-06,meeting_minutes/minutes/2017/2017-02-06/2017-02-06_city-council-agenda-95.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_02062017-95,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-02-13_city-council-agenda-94,City Council Agenda,2017-02-13,meeting_minutes/minutes/2017/2017-02-13/2017-02-13_city-council-agenda-94.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_02132017-94,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-02-21_city-council-agenda-93,City Council Agenda,2017-02-21,meeting_minutes/minutes/2017/2017-02-20/2017-02-21_city-council-agenda-93.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_02212017-93,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-02-27_city-council-agenda-amended-92,City Council Agenda - Amended,2017-02-27,meeting_minutes/minutes/2017/2017-02-27/2017-02-27_city-council-agenda-amended-92.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_02272017-92,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-03-06_city-council-agenda-91,City Council Agenda,2017-03-06,meeting_minutes/minutes/2017/2017-03-06/2017-03-06_city-council-agenda-91.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_03062017-91,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2017-03-13_city-council-agenda-90,City Council Agenda,2017-03-13,meeting_minutes/minutes/2017/2017-03-13/2017-03-13_city-council-agenda-90.md,https://www.millcreekut.gov/AgendaCenter/ViewFile/Minutes/_03132017-90,www.millcreekut.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
