date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,1,to adjourn the work meeting at 6:26 p.m,Procedural/Administrative,4-0 Pass,Thom DeSirant,Bev Uipi,Bev Uipi,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,1,to adjourn the work meeting at 6:26 p.m,Procedural/Administrative,4-0 Pass,Thom DeSirant,Bev Uipi,Cheri Jackson,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,1,to adjourn the work meeting at 6:26 p.m,Procedural/Administrative,4-0 Pass,Thom DeSirant,Bev Uipi,Nicole Handy,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,1,to adjourn the work meeting at 6:26 p.m,Procedural/Administrative,4-0 Pass,Thom DeSirant,Bev Uipi,Thom DeSirant,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,2,"to approve Ordinance 25-49, Rezoning Certain Property Located at Approximately 1265 East Villa Vista Avenue from the Commercial Zone to the City Center Overlay - Development Agreement Zone subject to the approval of the development agreement",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Bev Uipi,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,2,"to approve Ordinance 25-49, Rezoning Certain Property Located at Approximately 1265 East Villa Vista Avenue from the Commercial Zone to the City Center Overlay - Development Agreement Zone subject to the approval of the development agreement",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Cheri Jackson,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,2,"to approve Ordinance 25-49, Rezoning Certain Property Located at Approximately 1265 East Villa Vista Avenue from the Commercial Zone to the City Center Overlay - Development Agreement Zone subject to the approval of the development agreement",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Nicole Handy,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,2,"to approve Ordinance 25-49, Rezoning Certain Property Located at Approximately 1265 East Villa Vista Avenue from the Commercial Zone to the City Center Overlay - Development Agreement Zone subject to the approval of the development agreement",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Thom DeSirant,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,3,"to approve Ordinance 25-50, Approving a Development Agreement for an Owner Occupied F,ighteen-Unit Townhome Residential Complex with pro Villa Vista Avenue",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Bev Uipi,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,3,"to approve Ordinance 25-50, Approving a Development Agreement for an Owner Occupied F,ighteen-Unit Townhome Residential Complex with pro Villa Vista Avenue",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Cheri Jackson,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
2025-12-08,2025,City Council Meeting Agenda and Packet,Council,3,"to approve Ordinance 25-50, Approving a Development Agreement for an Owner Occupied F,ighteen-Unit Townhome Residential Complex with pro Villa Vista Avenue",Land-Use/Zoning,4-0 Pass,Thom DeSirant,Nicole Handy,Nicole Handy,Aye,minutes/2025/2025-12-08/2025-12-08_city-council-meeting-agenda-and-packet-984.md
