source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,1,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,3,0,,roll-call,3-0,crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,2,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Motion passed 5-0,crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,3,2020-01-07,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,Motion passed 5-0,crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,4,2020-01-07,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,Motion passed 5-0,crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,5,2020-01-07,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,Motion passed 5-0,crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,6,2020-01-07,Council,Appointment,Appointment,,final-action,unknown,,,,voice,"Voice vote taken, all “ayes.”",crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,7,2020-01-07,Council,Appointment,Appointment,,final-action,unknown,,,,voice,"Voice vote taken, all “ayes.”",crosswalk,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,8,2020-01-07,Council,Appointment,Budget,,final-action,unknown,,,,voice,"Voice vote taken, all “ayes.”",rule:budget,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,9,2020-01-07,Council,Appointment,Budget,,final-action,unknown,,,,voice,"Voice vote taken, all “ayes.”",rule:budget,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,10,2020-01-07,Council,Land-Use/Zoning,Appointment,,final-action,pass,5,0,,roll-call,Motion passed 5-0,rule:appoint,high
minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,11,2020-01-07,Council,Resolution,Resolution,,final-action,pass,5,0,,roll-call,Motion passed 5-0,crosswalk,high
