notice_id,title,event,posted,desc,files
1002825,O25-17 An Ordinance Adopting the Transfer of Monies from Enterprise Funds to Other City Funds (PDF),"June 3, 2025 06:30 PM","June 12, 2025 04:53 PM",O25-17 An Ordinance Adopting the Transfer of Monies from Enterprise Funds to Other City Funds (PDF),1285531.pdf
1002827,O25-18 Ordinance Approving and Adopting Compensation Increases for the Executive Municipal Officers of the City for Fiscal Year 2025-2026 (PDF),"June 3, 2025 06:30 PM","June 12, 2025 04:55 PM",O25-18 Ordinance Approving and Adopting Compensation Increases for the Executive Municipal Officers of the City for Fiscal Year 2025-2026 (PDF),1285533.pdf
1002829,O25-19 An Ordinance Amending Section 2.66.020 of the Murray City Municipal Code Relating to Elections,"June 3, 2025 06:30 PM","June 12, 2025 04:57 PM",O25-19 An Ordinance Amending Section 2.66.020 of the Murray City Municipal Code Relating to Elections (PDF).,1285535.pdf
1005971,"O25-20 AN ORDINANCE REPEALING CHAPTER 17.170 (MURRAY CITY CENTER DISTRICT MCCD) OF THE MURRAY CITY MUNICIPAL CODE, ADOPTING AND ENACTING CHAPTER 17.171 (MURRAY CITY CENTER FORM BASED CODE CC-FBC) TO ESTABLISH THE MURRAY CITY CENTER FORM BASED CODE","June 17, 2025 06:30 PM","June 26, 2025 01:01 PM","AN ORDINANCE REPEALING CHAPTER 17.170 (MURRAY CITY CENTER DISTRICT MCCD) OF THE MURRAY CITY MUNICIPAL CODE, ADOPTING AND ENACTING CHAPTER 17.171 (MURRAY CITY CENTER FORM BASED CODE CC-FBC) TO ESTABLISH THE MURRAY CITY CENTER FORM BASED CODE, AND MAKING OTHER NECESSARY LANGUAGE CHANGES TO THE CITY CO",1291691.pdf;1299775.pdf
1005979,O25-21 AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM THE MCCD (MURRAY CITY CENTER DISTRICT) ZONE TO THE CC-FBC (CITY CENTER FORM BASED CODE) ZONE,"June 17, 2025 06:30 PM","June 26, 2025 01:04 PM",AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM THE MCCD (MURRAY CITY CENTER DISTRICT) ZONE TO THE CC-FBC (CITY CENTER FORM BASED CODE) ZONE FOR ALL PROPERTY PREVIOUSLY LOCATED WITHIN THE MCCD AND FOR THREE ADDITIONAL PROPERTIES CURRENTLY IN THE C-D (COMMERCIAL DEVELOPMENT) ZONE LOCATE,1291699.pdf
1005985,O25-22 AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2024-2025 BUDGET,"June 17, 2025 06:30 PM","June 26, 2025 01:06 PM",AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2024-2025 BUDGET,1291705.pdf
1005987,"O25-23 AN ORDINANCE ADOPTING THE RATE OF TAX LEVIES FOR THE FISCAL YEAR COMMENCING JULY 1, 2025 AND ENDING JUNE 30, 2026.","June 17, 2025 06:30 PM","June 26, 2025 01:08 PM","AN ORDINANCE ADOPTING THE RATE OF TAX LEVIES FOR THE FISCAL YEAR COMMENCING JULY 1, 2025 AND ENDING JUNE 30, 2026.",1291709.pdf
1005991,O25-24 AN ORDINANCE ADOPTING THE FINAL 2025-2026 FISCAL YEAR BUDGETS FOR MURRAY CITY INCLUDING THE LIBRARY FUND BUDGET,"June 17, 2025 06:30 PM","June 26, 2025 01:10 PM",AN ORDINANCE ADOPTING THE FINAL 2025-2026 FISCAL YEAR BUDGETS FOR MURRAY CITY INCLUDING THE LIBRARY FUND BUDGET,1291711.pdf
1007791,O25-25 Amending Ch 2.68 MCCD Review Committee to Form Based Code Architectural Review Committee,"July 1, 2025 06:30 PM","July 03, 2025 04:29 PM",AN ORDINANCE AMENDING CHAPTER 2.68 OF THE MURRAY CITY MUNICIPAL CODE CHANGING THE NAME OF THE MCCD REVIEW COMMITTEE TO THE FORM BASED CODE ARCHITECTURAL REVIEW COMMITTEE AND MAKING MINOR ADJUSTMENTS TO THE REVIEW COMMITTEE'S DUTIES.,1294737.pdf
1015287,O25-26 Adopting the Transfer of Monies from Enterprise Funds to other City Funds,"August 5, 2025 06:30 PM","August 12, 2025 04:40 PM",O25-26 Adopting the Transfer of Monies from Enterprise Funds to other City Funds,1308275.pdf
