date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2020-01-02,2020,"January 2, 2020",PlanningCommission,1,to approve the Findings of Fact for The Spa Lounge,Land-Use/Zoning,"A voice vote was made, motion passed 4-0",Phil Markham,,,,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,2,"to approve Preliminary and Final Subdivision for Fireclay Phase 3 Subdivision subject to the following conditions: 1. The project shall meet the following Murray City Engineering requirements: a) Meet City subdivision requirements. b) Provide 4250 South and Fireclay Avenue right-of-way dedications. c) Provide standard public utility easement’s (PUE) on lots (5’ side yard, 10’ front and rear)",Land-Use/Zoning,Motion passed 4-0,Lisa Milkavich,Phil Markham,Lisa Milkavich,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,2,"to approve Preliminary and Final Subdivision for Fireclay Phase 3 Subdivision subject to the following conditions: 1. The project shall meet the following Murray City Engineering requirements: a) Meet City subdivision requirements. b) Provide 4250 South and Fireclay Avenue right-of-way dedications. c) Provide standard public utility easement’s (PUE) on lots (5’ side yard, 10’ front and rear)",Land-Use/Zoning,Motion passed 4-0,Lisa Milkavich,Phil Markham,Sue Wilson,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,2,"to approve Preliminary and Final Subdivision for Fireclay Phase 3 Subdivision subject to the following conditions: 1. The project shall meet the following Murray City Engineering requirements: a) Meet City subdivision requirements. b) Provide 4250 South and Fireclay Avenue right-of-way dedications. c) Provide standard public utility easement’s (PUE) on lots (5’ side yard, 10’ front and rear)",Land-Use/Zoning,Motion passed 4-0,Lisa Milkavich,Phil Markham,Phil Markham,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,2,"to approve Preliminary and Final Subdivision for Fireclay Phase 3 Subdivision subject to the following conditions: 1. The project shall meet the following Murray City Engineering requirements: a) Meet City subdivision requirements. b) Provide 4250 South and Fireclay Avenue right-of-way dedications. c) Provide standard public utility easement’s (PUE) on lots (5’ side yard, 10’ front and rear)",Land-Use/Zoning,Motion passed 4-0,Lisa Milkavich,Phil Markham,Ned Hacker,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,3,to forward a recommendation of approval to the City Council for the requested amendment to the Zoning Map from R-1-8 (Residential Single Family) to C-D (Commercial Development) for the property located at 61 East 6100 South,Land-Use/Zoning,Motion passed 4-0,Phil Markham,,Lisa Milkavich,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,3,to forward a recommendation of approval to the City Council for the requested amendment to the Zoning Map from R-1-8 (Residential Single Family) to C-D (Commercial Development) for the property located at 61 East 6100 South,Land-Use/Zoning,Motion passed 4-0,Phil Markham,,Sue Wilson,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,3,to forward a recommendation of approval to the City Council for the requested amendment to the Zoning Map from R-1-8 (Residential Single Family) to C-D (Commercial Development) for the property located at 61 East 6100 South,Land-Use/Zoning,Motion passed 4-0,Phil Markham,,Phil Markham,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,3,to forward a recommendation of approval to the City Council for the requested amendment to the Zoning Map from R-1-8 (Residential Single Family) to C-D (Commercial Development) for the property located at 61 East 6100 South,Land-Use/Zoning,Motion passed 4-0,Phil Markham,,Ned Hacker,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,4,to grant a one-year extension approval or the Jefferson Court Subdivision subject to the original conditions of approval: 1. The applicant shall meet all requirements of the Murray City Engineer including the following: o The applicant shall meet City Subdivision and Flag Lot standards. o The applicant shall provide road and sidewalk dedications,Land-Use/Zoning,Motion passed 4-0,Sue Wilson,Lisa Milkavich,Lisa Milkavich,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,4,to grant a one-year extension approval or the Jefferson Court Subdivision subject to the original conditions of approval: 1. The applicant shall meet all requirements of the Murray City Engineer including the following: o The applicant shall meet City Subdivision and Flag Lot standards. o The applicant shall provide road and sidewalk dedications,Land-Use/Zoning,Motion passed 4-0,Sue Wilson,Lisa Milkavich,Sue Wilson,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,4,to grant a one-year extension approval or the Jefferson Court Subdivision subject to the original conditions of approval: 1. The applicant shall meet all requirements of the Murray City Engineer including the following: o The applicant shall meet City Subdivision and Flag Lot standards. o The applicant shall provide road and sidewalk dedications,Land-Use/Zoning,Motion passed 4-0,Sue Wilson,Lisa Milkavich,Phil Markham,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,4,to grant a one-year extension approval or the Jefferson Court Subdivision subject to the original conditions of approval: 1. The applicant shall meet all requirements of the Murray City Engineer including the following: o The applicant shall meet City Subdivision and Flag Lot standards. o The applicant shall provide road and sidewalk dedications,Land-Use/Zoning,Motion passed 4-0,Sue Wilson,Lisa Milkavich,Ned Hacker,Aye,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-02,2020,"January 2, 2020",PlanningCommission,5,to adjourn,Procedural/Administrative,"A voice vote was made, motion passed 4-0",Phil Markham,Sue Wilson,,,minutes/2020/2019-12-30/2020-01-02_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,1,"to approve the Minutes from the December 19, 2019 Planning Commission Meeting",Procedural/Administrative,"A voice vote was made, motion passed 6-0",Travis Nay,Phil Markham,,,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,2,"to approve the Conditional Use Permit to allow the construction and/or operation of an Accessory Dwelling Unit at 6271 South Sunset Links Drive, subject to the following conditions: The project shall comply with all applicable building and fire codes standards. Interconnected smoke detectors and CO sensors shall be provided throughout the house. The property owner shall obtain a building permit for any proposed remodeling or construction on the site",Land-Use/Zoning,Motion passed 6-0,Lisa Milkavich,Sue Wilson,Lisa Milkavich,Aye,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,2,"to approve the Conditional Use Permit to allow the construction and/or operation of an Accessory Dwelling Unit at 6271 South Sunset Links Drive, subject to the following conditions: The project shall comply with all applicable building and fire codes standards. Interconnected smoke detectors and CO sensors shall be provided throughout the house. The property owner shall obtain a building permit for any proposed remodeling or construction on the site",Land-Use/Zoning,Motion passed 6-0,Lisa Milkavich,Sue Wilson,Sue Wilson,Aye,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,2,"to approve the Conditional Use Permit to allow the construction and/or operation of an Accessory Dwelling Unit at 6271 South Sunset Links Drive, subject to the following conditions: The project shall comply with all applicable building and fire codes standards. Interconnected smoke detectors and CO sensors shall be provided throughout the house. The property owner shall obtain a building permit for any proposed remodeling or construction on the site",Land-Use/Zoning,Motion passed 6-0,Lisa Milkavich,Sue Wilson,Phil Markham,Aye,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,2,"to approve the Conditional Use Permit to allow the construction and/or operation of an Accessory Dwelling Unit at 6271 South Sunset Links Drive, subject to the following conditions: The project shall comply with all applicable building and fire codes standards. Interconnected smoke detectors and CO sensors shall be provided throughout the house. The property owner shall obtain a building permit for any proposed remodeling or construction on the site",Land-Use/Zoning,Motion passed 6-0,Lisa Milkavich,Sue Wilson,Maren Patterson,Aye,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,2,"to approve the Conditional Use Permit to allow the construction and/or operation of an Accessory Dwelling Unit at 6271 South Sunset Links Drive, subject to the following conditions: The project shall comply with all applicable building and fire codes standards. Interconnected smoke detectors and CO sensors shall be provided throughout the house. The property owner shall obtain a building permit for any proposed remodeling or construction on the site",Land-Use/Zoning,Motion passed 6-0,Lisa Milkavich,Sue Wilson,Travis Nay,Aye,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
2020-01-16,2020,"January 16, 2020",PlanningCommission,2,"to approve the Conditional Use Permit to allow the construction and/or operation of an Accessory Dwelling Unit at 6271 South Sunset Links Drive, subject to the following conditions: The project shall comply with all applicable building and fire codes standards. Interconnected smoke detectors and CO sensors shall be provided throughout the house. The property owner shall obtain a building permit for any proposed remodeling or construction on the site",Land-Use/Zoning,Motion passed 6-0,Lisa Milkavich,Sue Wilson,Ned Hacker,Aye,minutes/2020/2020-01-13/2020-01-16_planning-commission-meeting.md
