date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,1,to approve the meeting minutes,Procedural/Administrative,Motion passed 5-0,Diane Turner,Pamela Cotter,Diane Turner,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,1,to approve the meeting minutes,Procedural/Administrative,Motion passed 5-0,Diane Turner,Pamela Cotter,Garry Hrechkosy,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,1,to approve the meeting minutes,Procedural/Administrative,Motion passed 5-0,Diane Turner,Pamela Cotter,Kat Martinez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,1,to approve the meeting minutes,Procedural/Administrative,Motion passed 5-0,Diane Turner,Pamela Cotter,Pamela Cotter,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,1,to approve the meeting minutes,Procedural/Administrative,Motion passed 5-0,Diane Turner,Pamela Cotter,Rosalba Dominguez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,2,to adopt the Resolution,Resolution,Motion passed 5-0,Kat Martinez,,Diane Turner,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,2,to adopt the Resolution,Resolution,Motion passed 5-0,Kat Martinez,,Garry Hrechkosy,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,2,to adopt the Resolution,Resolution,Motion passed 5-0,Kat Martinez,,Kat Martinez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,2,to adopt the Resolution,Resolution,Motion passed 5-0,Kat Martinez,,Pamela Cotter,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,2,to adopt the Resolution,Resolution,Motion passed 5-0,Kat Martinez,,Rosalba Dominguez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,3,to approve the confirmation of the Mayor’s appointment,Appointment,Motion passed 5-0,Garry Hrechkosy,Kat Martinez,Diane Turner,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,3,to approve the confirmation of the Mayor’s appointment,Appointment,Motion passed 5-0,Garry Hrechkosy,Kat Martinez,Garry Hrechkosy,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,3,to approve the confirmation of the Mayor’s appointment,Appointment,Motion passed 5-0,Garry Hrechkosy,Kat Martinez,Kat Martinez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,3,to approve the confirmation of the Mayor’s appointment,Appointment,Motion passed 5-0,Garry Hrechkosy,Kat Martinez,Pamela Cotter,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,3,to approve the confirmation of the Mayor’s appointment,Appointment,Motion passed 5-0,Garry Hrechkosy,Kat Martinez,Rosalba Dominguez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,4,to adopt the ordinance,Ordinance,Motion passed 5-0,Pamela Cotter,,Diane Turner,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,4,to adopt the ordinance,Ordinance,Motion passed 5-0,Pamela Cotter,,Garry Hrechkosy,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,4,to adopt the ordinance,Ordinance,Motion passed 5-0,Pamela Cotter,,Kat Martinez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,4,to adopt the ordinance,Ordinance,Motion passed 5-0,Pamela Cotter,,Pamela Cotter,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,4,to adopt the ordinance,Ordinance,Motion passed 5-0,Pamela Cotter,,Rosalba Dominguez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,5,to adopt the resolution,Resolution,Motion passed 5-0,Garry Hrechkosy,Diane Turner,Diane Turner,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,5,to adopt the resolution,Resolution,Motion passed 5-0,Garry Hrechkosy,Diane Turner,Garry Hrechkosy,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,5,to adopt the resolution,Resolution,Motion passed 5-0,Garry Hrechkosy,Diane Turner,Kat Martinez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,5,to adopt the resolution,Resolution,Motion passed 5-0,Garry Hrechkosy,Diane Turner,Pamela Cotter,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
2022-04-19,2022,"April 19, 2022 City Council Meeting Minutes",Council,5,to adopt the resolution,Resolution,Motion passed 5-0,Garry Hrechkosy,Diane Turner,Rosalba Dominguez,Aye,minutes/2022/2022-04-18/2022-04-19_city-council-meeting.md
