vote_id,motion_id,person_id,vote_value
1,11,18,Aye
2,11,16,Aye
3,11,20,Aye
4,11,12,Aye
5,11,15,Nay
6,22,20,Aye
7,22,15,Aye
8,22,12,Nay
9,22,18,Nay
10,22,16,Nay
11,28,16,Aye
12,28,20,Aye
13,28,18,Aye
14,28,12,Aye
15,28,15,Nay
16,29,16,Aye
17,29,20,Aye
18,29,18,Aye
19,29,12,Aye
20,29,15,Nay
21,30,15,Aye
22,30,16,Aye
23,30,20,Aye
24,30,18,Aye
25,30,12,Nay
26,34,12,Aye
27,34,18,Aye
28,34,20,Aye
29,34,16,Aye
30,34,15,Nay
31,35,12,Aye
32,35,18,Aye
33,35,20,Aye
34,35,16,Aye
35,35,15,Nay
36,39,12,Aye
37,39,18,Aye
38,39,16,Aye
39,39,20,Aye
40,39,15,Nay
41,43,12,Aye
42,43,20,Aye
43,43,16,Aye
44,43,15,Aye
45,43,18,Nay
46,49,16,Aye
47,49,12,Aye
48,49,18,Aye
49,49,20,Aye
50,49,15,Nay
51,50,12,Aye
52,50,18,Aye
53,50,20,Aye
54,50,15,Aye
55,50,16,Nay
56,90,16,Aye
57,90,12,Aye
58,90,6,Aye
59,90,15,Nay
60,90,18,Nay
61,177,18,Aye
62,177,20,Aye
63,177,16,Aye
64,177,12,Aye
65,177,15,Nay
66,185,15,Aye
67,185,16,Aye
68,185,20,Aye
69,185,12,Aye
70,185,18,Nay
71,192,12,Aye
72,192,18,Aye
73,192,16,Aye
74,192,20,Aye
75,192,15,Nay
76,198,15,Aye
77,198,12,Aye
78,198,6,Aye
79,198,16,Nay
80,198,18,Nay
81,220,16,Aye
82,220,20,Aye
83,220,12,Aye
84,249,16,Aye
85,249,18,Aye
86,249,20,Aye
87,249,12,Aye
88,249,15,Nay
89,256,16,Aye
90,256,20,Aye
91,256,18,Aye
92,256,12,Aye
93,256,15,Nay
94,266,15,Nay
95,413,16,Aye
96,413,8,Aye
97,413,20,Aye
98,413,9,Aye
99,413,18,Nay
100,609,16,Aye
101,609,8,Aye
102,609,20,Aye
103,684,8,Aye
104,684,9,Aye
105,684,23,Aye
106,684,19,Aye
107,684,20,Absent
108,690,8,Aye
109,690,9,Aye
110,690,20,Aye
111,690,23,Aye
112,690,19,Aye
113,700,9,Aye
114,700,8,Aye
115,700,20,Aye
116,700,19,Aye
117,700,23,Absent
118,701,9,Aye
119,701,8,Aye
120,701,20,Aye
121,701,19,Aye
122,701,23,Absent
123,710,9,Aye
124,710,8,Aye
125,710,19,Aye
126,710,23,Aye
127,710,20,Absent
128,720,9,Aye
129,720,20,Aye
130,720,8,Aye
131,720,23,Aye
132,720,19,Aye
133,737,8,Aye
134,737,9,Aye
135,737,19,Aye
136,737,23,Absent
137,737,20,Absent
138,771,9,Aye
139,771,20,Aye
