meeting_id,body_id,meeting_date,title,source_file
1,1,2020-01-07,City Council Meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md
2,1,2020-01-07,City Council Meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md
3,1,2020-01-21,City Council Meeting,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md
4,1,2020-01-28,City Council Meeting,meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting-2.md
5,1,2020-02-04,City Council Meeting,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting-2.md
6,1,2020-02-11,City Council Special Meeting,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-special-meeting.md
7,1,2020-02-18,City Council Meeting,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md
8,1,2020-02-25,City Council Meeting,meeting_minutes/minutes/2020/2020-02-24/2020-02-25_city-council-meeting-2.md
9,1,2020-03-10,City Council Special Meeting,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council-special-meeting.md
10,1,2020-03-31,City Council Special Meeting,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-special-meeting.md
11,1,2020-04-07,City Council Meeting,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting-2.md
12,1,2020-04-14,City Council Special Meeting,meeting_minutes/minutes/2020/2020-04-13/2020-04-14_city-council-special-meeting.md
13,1,2020-04-21,City Council Meeting,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting-2.md
14,1,2020-04-28,City Council Meeting,meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md
15,1,2020-05-05,City Council Meeting,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council-meeting-2.md
16,1,2020-05-12,City Council Meeting,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md
17,2,2020-05-12,Municipal Building Authority Special Meeting,pmn_backfill/minutes/2020-05-12_municipal-building-authority-special-meeting.md
18,1,2020-05-19,City Council Meeting,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council-meeting.md
19,1,2020-05-26,City Council Meeting,meeting_minutes/minutes/2020/2020-05-25/2020-05-26_city-council-meeting-2.md
20,1,2020-06-02,City Council Meeting,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_city-council-meeting-2.md
21,1,2020-06-09,City Council Special Meeting,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-special-meeting.md
22,2,2020-06-09,Municipal Building Authority Special Meeting,pmn_backfill/minutes/2020-06-09_municipal-building-authority-special-meeting.md
23,1,2020-06-16,City Council Meeting,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council-meeting-2.md
24,1,2020-06-23,City Council Meeting,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting-2.md
25,1,2020-07-07,City Council Meeting,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting-2.md
26,1,2020-07-14,City Council Special Meeting,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-special-meeting.md
27,1,2020-07-21,City Council Meeting,meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council-meeting.md
28,1,2020-08-04,City Council Meeting,meeting_minutes/minutes/2020/2020-08-03/2020-08-04_city-council-meeting-2.md
29,1,2020-08-11,City Council Special Meeting,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-special-meeting.md
30,1,2020-08-18,City Council Meeting,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council-meeting.md
31,1,2020-08-25,City Council Meeting,meeting_minutes/minutes/2020/2020-08-24/2020-08-25_city-council-meeting.md
32,1,2020-09-01,City Council Meeting,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council-meeting-2.md
33,1,2020-10-06,City Council Meeting,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council-meeting.md
34,1,2020-10-13,City Council Special Meeting,meeting_minutes/minutes/2020/2020-10-12/2020-10-13_city-council-special-meeting.md
35,1,2020-10-20,City Council Meeting,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md
36,1,2020-11-10,City Council Meeting,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md
37,1,2020-11-17,City Council Meeting,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md
38,1,2020-12-01,City Council Meeting,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_city-council-meeting-2.md
39,1,2020-12-08,City Council Special Meeting,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-special-meeting.md
40,1,2020-12-15,City Council Meeting,meeting_minutes/minutes/2020/2020-12-14/2020-12-15_city-council-meeting-2.md
41,1,2021-01-05,City Council Meeting,meeting_minutes/minutes/2021/2021-01-04/2021-01-05_city-council-meeting.md
42,1,2021-01-12,City Council Special Meeting,meeting_minutes/minutes/2021/2021-01-11/2021-01-12_city-council-special-meeting.md
43,1,2021-01-19,City Council Meeting,meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council-meeting-2.md
44,1,2021-01-26,City Council Meeting,meeting_minutes/minutes/2021/2021-01-25/2021-01-26_city-council-meeting.md
45,1,2021-02-02,City Council Meeting,meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council-meeting-2.md
46,1,2021-02-09,City Council Special Meeting,meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-special-meeting.md
47,1,2021-02-23,City Council Meeting,meeting_minutes/minutes/2021/2021-02-22/2021-02-23_city-council-meeting.md
48,4,2021-03-02,City Council Joint Work Session,meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-joint-work-session.md
