source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,1,2020-01-08,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,unanimous Pass,crosswalk,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,2,2020-01-08,PlanningCommission,Procedural/Administrative,Public-Hearing,,procedural,pass,,,,unanimous-declared,unanimous Pass,rule:ph-openclose,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,3,2020-01-08,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,4,2020-01-08,PlanningCommission,Procedural/Administrative,Public-Hearing,,procedural,pass,,,,unanimous-declared,unanimous Pass,rule:ph-openclose,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,5,2020-01-08,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,6,2020-01-08,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,final-action,pass,6,1,,roll-call,6:1 Approved (Final Action),crosswalk,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,7,2020-01-08,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,8,2020-01-08,PlanningCommission,Other,Land-Use,Other-Land-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-generic,medium
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,9,2020-01-08,PlanningCommission,Procedural/Administrative,Public-Hearing,,procedural,pass,,,,unanimous-declared,unanimous Pass,rule:ph-openclose,high
planning_commission/minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,10,2020-01-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
