city,district_id,plan_id,effective_start,effective_end,geometry_ref,adopted_by,source_url,confidence,note
ogden,District 1,plan_2022,2022-03-15,,geo/council_districts.geojson,Ordinance 2022-9 (Joint Res. 2022-3),https://arcgis.ogdencity.com/arcgis/rest/services/Public/Ogden_Voting_Precincts/FeatureServer/0,high,"CURRENT post-2020-census boundaries. Ordinance 2022-9 (Joint Res. 2022-3) adopted 2022-03-15 (contested 6:1 roll call; Choberka dissenting), amending Ogden Municipal Code Sec 1-7-2; effective immediately upon posting. Follows the county's Dec-2021 precincts; the memo notes the adopted map 'most closely resembles the existing boundaries'. geometry_ref = 4 dissolved district polygons (Ogden City GIS MUNIWARD)."
ogden,District 1,plan_2012,2020-01-01,2022-03-15,,"prior map (pre-2022 redistricting cycle, Ogden Municipal Code Sec 1-7-2)",,low,"historical boundaries not acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. Only the current (plan_2022) MUNIWARD layer is on disk, and no pre-2022 Ogden precinct SOVC is available, so the old geometry is not reconstructable from data on disk. effective_start = data floor. Acquisition gap, not a guess."
ogden,District 2,plan_2022,2022-03-15,,geo/council_districts.geojson,Ordinance 2022-9 (Joint Res. 2022-3),https://arcgis.ogdencity.com/arcgis/rest/services/Public/Ogden_Voting_Precincts/FeatureServer/0,high,"CURRENT post-2020-census boundaries. Ordinance 2022-9 (Joint Res. 2022-3) adopted 2022-03-15 (contested 6:1 roll call; Choberka dissenting), amending Ogden Municipal Code Sec 1-7-2; effective immediately upon posting. Follows the county's Dec-2021 precincts; the memo notes the adopted map 'most closely resembles the existing boundaries'. geometry_ref = 4 dissolved district polygons (Ogden City GIS MUNIWARD)."
ogden,District 2,plan_2012,2020-01-01,2022-03-15,,"prior map (pre-2022 redistricting cycle, Ogden Municipal Code Sec 1-7-2)",,low,"historical boundaries not acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. Only the current (plan_2022) MUNIWARD layer is on disk, and no pre-2022 Ogden precinct SOVC is available, so the old geometry is not reconstructable from data on disk. effective_start = data floor. Acquisition gap, not a guess."
ogden,District 3,plan_2022,2022-03-15,,geo/council_districts.geojson,Ordinance 2022-9 (Joint Res. 2022-3),https://arcgis.ogdencity.com/arcgis/rest/services/Public/Ogden_Voting_Precincts/FeatureServer/0,high,"CURRENT post-2020-census boundaries. Ordinance 2022-9 (Joint Res. 2022-3) adopted 2022-03-15 (contested 6:1 roll call; Choberka dissenting), amending Ogden Municipal Code Sec 1-7-2; effective immediately upon posting. Follows the county's Dec-2021 precincts; the memo notes the adopted map 'most closely resembles the existing boundaries'. geometry_ref = 4 dissolved district polygons (Ogden City GIS MUNIWARD)."
ogden,District 3,plan_2012,2020-01-01,2022-03-15,,"prior map (pre-2022 redistricting cycle, Ogden Municipal Code Sec 1-7-2)",,low,"historical boundaries not acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. Only the current (plan_2022) MUNIWARD layer is on disk, and no pre-2022 Ogden precinct SOVC is available, so the old geometry is not reconstructable from data on disk. effective_start = data floor. Acquisition gap, not a guess."
ogden,District 4,plan_2022,2022-03-15,,geo/council_districts.geojson,Ordinance 2022-9 (Joint Res. 2022-3),https://arcgis.ogdencity.com/arcgis/rest/services/Public/Ogden_Voting_Precincts/FeatureServer/0,high,"CURRENT post-2020-census boundaries. Ordinance 2022-9 (Joint Res. 2022-3) adopted 2022-03-15 (contested 6:1 roll call; Choberka dissenting), amending Ogden Municipal Code Sec 1-7-2; effective immediately upon posting. Follows the county's Dec-2021 precincts; the memo notes the adopted map 'most closely resembles the existing boundaries'. geometry_ref = 4 dissolved district polygons (Ogden City GIS MUNIWARD)."
ogden,District 4,plan_2012,2020-01-01,2022-03-15,,"prior map (pre-2022 redistricting cycle, Ogden Municipal Code Sec 1-7-2)",,low,"historical boundaries not acquired — the pre-2022 district lines (in force for the 2019/2021 elections) are NOT in geo/. Only the current (plan_2022) MUNIWARD layer is on disk, and no pre-2022 Ogden precinct SOVC is available, so the old geometry is not reconstructable from data on disk. effective_start = data floor. Acquisition gap, not a guess."
ogden,At-Large,citywide,2020-01-01,,geo/council_districts.geojson,Ogden Municipal Code (at-large seats / mayor — whole city),https://arcgis.ogdencity.com/arcgis/rest/services/Public/Ogden_Voting_Precincts/FeatureServer/0,high,"the 3 At-Large council seats (Seats A/B/C): represents the ENTIRE city on every date, unchanged by the 2022 redistricting. geometry_ref = union of all precinct polygons (city extent)."
ogden,Citywide,citywide,2020-01-01,,geo/council_districts.geojson,Ogden Municipal Code (at-large seats / mayor — whole city),https://arcgis.ogdencity.com/arcgis/rest/services/Public/Ogden_Voting_Precincts/FeatureServer/0,high,"the separately-elected Mayor: represents the ENTIRE city on every date, unchanged by the 2022 redistricting. geometry_ref = union of all precinct polygons (city extent)."
