date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,date_precision,sha256,source_page,matched_election_candidate,join_confidence
2023-01-10,Dave Young,Mayor,2021,summary,Annual 2023,"Dave Young — Orem City campaign financial statement (Annual report Annual 2023, 2021 cycle)",https://orem.gov/wp-content/uploads/2025/01/Mayor-Young-2023-Financial-Disclosure-2.pdf,2026-07-05,scanned,ocr:tesseract,raw/202501_Mayor-Young-2023-Financial-Disclosure-2.pdf,annual_deadline,51497170ad42f37ce955cea6e6eac7568bf0771963f7c054d9e3f73f3e4dc45f,orem.gov unlinked (Wayback CDX),DAVID A. YOUNG,medium
2023-01-10,David M. Spencer,Council At-Large,2021,summary,Annual 2023,"David M. Spencer — Orem City campaign financial statement (Annual report Annual 2023, 2021 cycle)",https://orem.gov/wp-content/uploads/2025/01/Dave-Spencer-2023-disclosure.pdf,2026-07-05,scanned,ocr:tesseract,raw/202501_Dave-Spencer-2023-disclosure.pdf,annual_deadline,e65e8c004b4ffd801d73af88979a3770f7c2b0d28fc367355585410766abc35f,orem.gov unlinked (Wayback CDX),DAVID M. SPENCER,exact
2024-01-10,LaNae Millett,Council At-Large,2021,summary,Annual 2024,"LaNae Millett — Orem City campaign financial statement (Annual report Annual 2024, 2021 cycle)",https://orem.gov/wp-content/uploads/2025/01/LaNae-Millett.pdf,2026-07-05,scanned,ocr:tesseract,raw/202501_LaNae-Millett.pdf,annual_deadline,1ad8d37bf5a74424f2cc889c8c2bf92186e12b66b3609a08097f98b925a28de4,orem.gov/elections,LANAE MILLETT,exact
2023-01-10,Tom Macdonald,Council At-Large,2021,summary,Annual 2023,"Tom Macdonald — Orem City campaign financial statement (Annual report Annual 2023, 2021 cycle)",https://orem.gov/wp-content/uploads/2025/01/2023-Tom-Macdonald-disclosure.pdf,2026-07-05,scanned,ocr:tesseract,raw/202501_2023-Tom-Macdonald-disclosure.pdf,annual_deadline,cd5a5dd87f3f702d6da7f24395bb34bad2bf26910e7010f71a678a48bb11849d,orem.gov unlinked (Wayback CDX),TOM MACDONALD,exact
2025-01-10,Tom Macdonald,Council At-Large,2021,summary,Annual 2025,"Tom Macdonald — Orem City campaign financial statement (Annual report Annual 2025, 2021 cycle)",https://orem.gov/wp-content/uploads/2025/06/Macdonald-2025-financial.pdf,2026-07-05,scanned,ocr:tesseract,raw/202506_Macdonald-2025-financial.pdf,annual_deadline,7529e8d8ba305573efd347b084bb17d1541a9acf32e63a432919f5d1148e6814,orem.gov unlinked (Wayback CDX),TOM MACDONALD,exact
2023-08-29,Archie Williams,Council At-Large,2023,interim,Primary,"Archie Williams — Orem City campaign financial statement (Primary, 2023 cycle)",https://orem.gov/wp-content/uploads/2025/01/8.29.23-Archie-Williams.pdf,2026-07-05,text,pdftotext -layout,raw/202501_8.29.23-Archie-Williams.pdf,day,ea9722f2628de0dffb2815b251bb9bbbab0117633f5f686fb4a3498ad78e14fa,orem.gov/elections,ARCHIE A. WILLIAMS III,exact
2023-11-14,Archie Williams,Council At-Large,2023,summary,Final,"Archie Williams — Orem City campaign financial statement (Final, 2023 cycle)",https://orem.gov/wp-content/uploads/2025/01/Archie-2023-final-disclosure.pdf,2026-07-05,text,pdftotext -layout,raw/202501_Archie-2023-final-disclosure.pdf,cycle_stage,0308926d666279598ee02c1e947c7b9a17b1479ecf8dd84ed1d995fd36046b87,orem.gov/elections,ARCHIE A. WILLIAMS III,exact
2023-08-29,Chris Killpack,Council At-Large,2023,interim,Primary,"Chris Killpack — Orem City campaign financial statement (Primary, 2023 cycle)",https://orem.gov/wp-content/uploads/2025/03/8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,2026-07-05,text,pdftotext -layout,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,day,d314ba55a5de1429d547f7fcbe74575cca48781820a7edfc501098e185b21740,orem.gov/elections,CHRIS KILLPACK,exact
2023-10-24,Chris Killpack,Council At-Large,2023,interim,General,"Chris Killpack — Orem City campaign financial statement (General, 2023 cycle)",https://orem.gov/wp-content/uploads/2025/03/10-24-2023-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,2026-07-05,text,pdftotext -layout,raw/202503_10-24-2023-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,day,eb79cd8c0a73f6e45aa2659499cacbe8748acfbb336b5e0cbd5242558867b131,orem.gov/elections,CHRIS KILLPACK,exact
2023-11-14,Chris Killpack,Council At-Large,2023,summary,Final,"Chris Killpack — Orem City campaign financial statement (Final, 2023 cycle)",https://orem.gov/wp-content/uploads/2025/01/11-14-23-Chris-K-Digital-Financial-Disclosure.pdf,2026-07-05,text,pdftotext -layout,raw/202501_11-14-23-Chris-K-Digital-Financial-Disclosure.pdf,day,75ee606067a5b93ae2fbab691ab02349cf3f83ebf71966766444f578daffe7a9,orem.gov/elections,CHRIS KILLPACK,exact
