year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2019,municipal general,Council,At-Large,Orem City Council,TERRY D PETERSON,9858,24.33,1,Y
2019,municipal general,Council,At-Large,Orem City Council,JEFFREY K LAMBSON,7995,19.73,2,Y
2019,municipal general,Council,At-Large,Orem City Council,DEBBY LAURET,6740,16.64,3,Y
2019,municipal general,Council,At-Large,Orem City Council,SAM LENTZ,6728,16.61,4,N
2019,municipal general,Council,At-Large,Orem City Council,SPENCER RANDS,5547,13.69,5,N
2019,municipal general,Council,At-Large,Orem City Council,NICHELLE JENSEN,3644,8.99,6,N
2019,municipal primary,Council,At-Large,Orem City Council,TERRY D PETERSON,6176,21.43,1,Y
2019,municipal primary,Council,At-Large,Orem City Council,DEBBY LAURET,5005,17.37,2,Y
2019,municipal primary,Council,At-Large,Orem City Council,SAM LENTZ,3924,13.62,3,Y
2019,municipal primary,Council,At-Large,Orem City Council,JEFFREY K LAMBSON,3909,13.56,4,Y
2019,municipal primary,Council,At-Large,Orem City Council,SPENCER RANDS,2557,8.87,5,Y
2019,municipal primary,Council,At-Large,Orem City Council,NICHELLE JENSEN,2086,7.24,6,Y
2019,municipal primary,Council,At-Large,Orem City Council,DAVID G PRZYBYLA,1370,4.75,7,N
2019,municipal primary,Council,At-Large,Orem City Council,MICKEY W COCHRAN,1369,4.75,8,N
2019,municipal primary,Council,At-Large,Orem City Council,DAVID HALLIDAY,1159,4.02,9,N
2019,municipal primary,Council,At-Large,Orem City Council,TOMMY WILLIAMS,697,2.42,10,N
2019,municipal primary,Council,At-Large,Orem City Council,MARTIN WRIGHT,567,1.97,11,N
2021,municipal general,Mayor,,Orem Mayor,DAVID A. YOUNG,9647,59.06,1,Y
2021,municipal general,Mayor,,Orem Mayor,JIM EVANS,6688,40.94,2,N
2021,municipal general,Council,At-Large,Orem City Council,LANAE MILLETT,11482,28.15,1,Y
2021,municipal general,Council,At-Large,Orem City Council,DAVID M. SPENCER,10444,25.6,2,Y
2021,municipal general,Council,At-Large,Orem City Council,TOM MACDONALD,7672,18.81,3,Y
2021,municipal general,Council,At-Large,Orem City Council,QUINN MECHAM,5908,14.48,4,N
2021,municipal general,Council,At-Large,Orem City Council,SHAUNTE RUIZ ZUNDEL,5287,12.96,5,N
2021,municipal primary,Mayor,,Orem Mayor,JIM EVANS,5215,40.29,1,Y
2021,municipal primary,Mayor,,Orem Mayor,DAVID A. YOUNG,4122,31.84,2,Y
2021,municipal primary,Mayor,,Orem Mayor,HAYSAM Z. SAKAR,3466,26.77,3,N
2021,municipal primary,Mayor,,Orem Mayor,ARCHIE A. WILLIAMS III,142,1.1,4,N
2021,municipal primary,Council,At-Large,Orem City Council,LANAE MILLETT,7352,20.5,1,Y
2021,municipal primary,Council,At-Large,Orem City Council,DAVID M. SPENCER,6499,18.12,2,Y
2021,municipal primary,Council,At-Large,Orem City Council,TOM MACDONALD,6190,17.26,3,Y
2021,municipal primary,Council,At-Large,Orem City Council,QUINN MECHAM,3907,10.89,4,Y
2021,municipal primary,Council,At-Large,Orem City Council,SHAUNTE RUIZ ZUNDEL,3309,9.23,5,Y
2021,municipal primary,Council,At-Large,Orem City Council,NICHELLE JENSEN,3142,8.76,6,Y
2021,municipal primary,Council,At-Large,Orem City Council,MIKE CARPENTER,1969,5.49,7,N
2021,municipal primary,Council,At-Large,Orem City Council,TODD LINSLEY,1192,3.32,8,N
2021,municipal primary,Council,At-Large,Orem City Council,MICKEY W. COCHRAN,1179,3.29,9,N
2021,municipal primary,Council,At-Large,Orem City Council,"JON ""JON J"" JENSEN",1125,3.14,10,N
2023,municipal general,Council,At-Large,Orem City Council,JEFFREY K. LAMBSON,9098,19.21,1,Y
2023,municipal general,Council,At-Large,Orem City Council,JENN GALE,8606,18.17,2,Y
2023,municipal general,Council,At-Large,Orem City Council,CHRIS KILLPACK,8457,17.85,3,Y
2023,municipal general,Council,At-Large,Orem City Council,CRYSTAL MUHLESTEIN,7994,16.87,4,N
2023,municipal general,Council,At-Large,Orem City Council,MATT MCKELL,7334,15.48,5,N
2023,municipal general,Council,At-Large,Orem City Council,SPENCER RANDS,5883,12.42,6,N
2023,municipal primary,Council,At-Large,Orem City Council,JEFFREY K. LAMBSON,7056,19.15,1,Y
2023,municipal primary,Council,At-Large,Orem City Council,JENN GALE,6489,17.61,2,Y
2023,municipal primary,Council,At-Large,Orem City Council,CHRIS KILLPACK,6323,17.16,3,Y
2023,municipal primary,Council,At-Large,Orem City Council,CRYSTAL MUHLESTEIN,4489,12.18,4,Y
2023,municipal primary,Council,At-Large,Orem City Council,MATT MCKELL,4138,11.23,5,Y
2023,municipal primary,Council,At-Large,Orem City Council,SPENCER RANDS,3573,9.7,6,Y
2023,municipal primary,Council,At-Large,Orem City Council,MIKE CARPENTER,1701,4.62,7,N
2023,municipal primary,Council,At-Large,Orem City Council,HEATHER M. FRY,1150,3.12,8,N
2023,municipal primary,Council,At-Large,Orem City Council,GREG DUERDEN,956,2.59,9,N
2023,municipal primary,Council,At-Large,Orem City Council,DAVID EDWARD GARBER,573,1.56,10,N
2023,municipal primary,Council,At-Large,Orem City Council,WADE A. SEWELL,250,0.68,11,N
2023,municipal primary,Council,At-Large,Orem City Council,ARCHIE A. WILLIAMS III,147,0.4,12,N
2025,municipal general,Mayor,,Orem Mayor,KAREN MCCANDLESS,9574,51.39,1,Y
2025,municipal general,Mayor,,Orem Mayor,DAVE YOUNG,9056,48.61,2,N
2025,municipal general,Council,At-Large,Orem City Council,QUINN MECHAM,9474,17.6,1,Y
2025,municipal general,Council,At-Large,Orem City Council,CRYSTAL MUHLESTEIN,9102,16.91,2,Y
2025,municipal general,Council,At-Large,Orem City Council,LANAE MILLETT,9077,16.86,3,Y
2025,municipal general,Council,At-Large,Orem City Council,DAVID M. SPENCER,8789,16.33,4,N
2025,municipal general,Council,At-Large,Orem City Council,DOYLE MORTIMER,8628,16.03,5,N
2025,municipal general,Council,At-Large,Orem City Council,ANGELA MOULTON,8557,15.9,6,N
2025,municipal general,Council,At-Large,Orem City Council,WRITE-IN,195,0.36,7,N
2025,municipal primary,Council,At-Large,Orem City Council,QUINN MECHAM,6325,17.07,1,Y
2025,municipal primary,Council,At-Large,Orem City Council,ANGELA MOULTON,5698,15.38,2,Y
2025,municipal primary,Council,At-Large,Orem City Council,DOYLE MORTIMER,5694,15.37,3,Y
2025,municipal primary,Council,At-Large,Orem City Council,LANAE MILLETT,5673,15.31,4,Y
2025,municipal primary,Council,At-Large,Orem City Council,CRYSTAL MUHLESTEIN,5265,14.21,5,Y
2025,municipal primary,Council,At-Large,Orem City Council,DAVID M. SPENCER,5002,13.5,6,Y
2025,municipal primary,Council,At-Large,Orem City Council,STEVEN WHITE,1706,4.6,7,N
2025,municipal primary,Council,At-Large,Orem City Council,TRUMAN VAN COTT,1171,3.16,8,N
2025,municipal primary,Council,At-Large,Orem City Council,TOMMY WILLIAMS,297,0.8,9,N
2025,municipal primary,Council,At-Large,Orem City Council,ARCHIE WILLIAMS,227,0.61,10,N
