date,year,title,slug,path,source,source_url,format
2020-01-15,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-01-13/2020-01-15_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1Epw2De66Nu7VuHhgxeAtn_C1gqZUe2T9,text
2020-02-05,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-02-03/2020-02-05_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1IiLH44_Gx8E5-gPc2xDRYaNuq1HZ3Q6S,text
2020-02-19,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-02-17/2020-02-19_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1rsn52O3AwMpnoRqzDhRjFxWRmC4o16jm,text
2020-03-04,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-03-02/2020-03-04_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1Q7WYm8jywr8Lxx1ENM_eccUkahzw_f5a,text
2020-03-18,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-03-16/2020-03-18_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1gqXI1ciGFU2V2lDR2HTFM9tEnvq7Zg8l,text
2020-04-01,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-03-30/2020-04-01_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1Ez0szErcdzIpqafujfSLwQjRwKQVlGEh,text
2020-04-15,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-04-13/2020-04-15_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1lWmgeXgor6yI3iQ3rINEhEi5P1E5C-rO,text
2020-05-06,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-05-04/2020-05-06_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1IGac5hBqR6nOp0ODlXMqnrqBsm4oOT--,text
2020-05-20,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-05-18/2020-05-20_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1V6A14eKG1rA84ddWdCZQBagW1tc6tFYO,text
2020-06-03,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-06-01/2020-06-03_planning-commission-meeting.md,googledrive,https://drive.google.com/uc?export=download&id=1Oq6QutlNnHNOAGKVok2OUO9BZFKh7KOX,text
