member,first_year,last_year,years_active,vote_motions,aye,nay,abstain,in_recorded_votes,council_appointment_date
Amber Pope,2022,2022,2022,38,38,0,0,true,2022-01-25
Barry Roberts,2020,2022,2020;2021;2022,218,213,5,0,true,
Britton Runolfson,2024,2026,2024;2025;2026,51,49,2,0,true,
Camille Jensen,2020,2021,2020;2021,136,136,0,0,true,
Carl Cook,2020,2021,2020;2021,157,155,2,0,true,
Darren Hawkins,2026,2026,2026,17,16,1,0,true,
Gerald Crismon,2022,2026,2022;2023;2024;2025;2026,232,225,5,2,true,2022-05-10
Haysam Sakar,2020,2026,2020;2021;2022;2023;2024;2025;2026,326,317,7,2,true,
Helena Kleinlein,2023,2024,2023;2024,122,119,3,0,true,
James Hawkes,2022,2026,2022;2023;2024;2025;2026,201,199,2,0,true,
Jeff Reeves,2026,2026,2026,19,17,2,0,true,
Jim Condie,2021,2022,2021;2022,49,49,0,0,true,
Karl Radmall,2026,2026,2026,19,16,3,0,true,
Madeline Komen,2022,2026,2022;2023;2024;2025;2026,282,279,2,1,true,2022-01-25
Marisa Bentley,2021,2022,2021;2022,96,95,1,0,true,
Micah Ladle,2026,2026,2026,19,19,0,0,true,
Mickey Cochran,2020,2022,2020;2021;2022,202,201,1,0,true,
Mike Carpenter,2023,2026,2023;2024;2025;2026,176,166,8,2,true,
Mike Staker,2020,2020,2020,91,91,0,0,true,
Murray Low,2022,2024,2022;2023;2024,184,180,3,1,true,2022-01-25
Rod Erickson,2024,2026,2024;2025;2026,53,52,1,0,true,
Ross Spencer,2020,2022,2020;2021;2022,177,172,5,0,true,
Shauna Mecham,2021,2022,2021;2022,62,57,5,0,true,
Susan Madsen,2026,2026,2026,19,19,0,0,true,
Tina Okolowitz,2022,2022,2022,51,51,0,0,true,
