date,body,title,video_id,video_url,playlist,minutes_match
2016-01-12,Council,"City Council Meeting - Jan. 12, 2016",JVT6y71F34w,https://www.youtube.com/watch?v=JVT6y71F34w,Orem City Council,no
2016-01-26,Council,"City Council Meeting - January 26, 2016",jW8B6-xCrN8,https://www.youtube.com/watch?v=jW8B6-xCrN8,Orem City Council,no
2016-02-09,Council,"City Council Meeting - February 9, 2016",2DSDHH4_klc,https://www.youtube.com/watch?v=2DSDHH4_klc,Orem City Council,no
2016-02-23,Council,"City Council Meeting - February 23, 2016",Z0hoNvDMgDA,https://www.youtube.com/watch?v=Z0hoNvDMgDA,Orem City Council,no
2016-03-08,Council,"City Council Meeting - March 8, 2016",DbvYhHLby3E,https://www.youtube.com/watch?v=DbvYhHLby3E,Orem City Council,no
2016-03-29,Council,"City Council Meeting - March 29, 2016",UCuHh4DXTNM,https://www.youtube.com/watch?v=UCuHh4DXTNM,Orem City Council,no
2016-04-12,Council,"City Council Meeting - April 12, 2016",v02L4ImdKK8,https://www.youtube.com/watch?v=v02L4ImdKK8,Orem City Council,no
2016-04-26,Council,"City Council Meeting - April 26, 2016",IJdMeziOP6g,https://www.youtube.com/watch?v=IJdMeziOP6g,Orem City Council,no
2016-05-10,Council,"City Council Meeting - May 10, 2016",gDL9D_fTjtg,https://www.youtube.com/watch?v=gDL9D_fTjtg,Orem City Council,no
2016-06-14,Council,"City Council Meeting - June 14 , 2016",_zAY0vvXs_g,https://www.youtube.com/watch?v=_zAY0vvXs_g,Orem City Council,no
2016-06-21,Council,"City Council Meeting - June 21, 2016",khH4NgHK54g,https://www.youtube.com/watch?v=khH4NgHK54g,Orem City Council,no
2016-07-12,Council,"City Council Meeting - July 12, 2016",7Zo7lmef8AU,https://www.youtube.com/watch?v=7Zo7lmef8AU,Orem City Council,no
2016-08-09,Council,"City Council Meeting - August 9, 2016",bsBF2-47zd8,https://www.youtube.com/watch?v=bsBF2-47zd8,Orem City Council,no
2016-09-13,Council,"City  Council Meeting - Sept. 13th, 2016",V1Jq1WfzRks,https://www.youtube.com/watch?v=V1Jq1WfzRks,Orem City Council,no
2016-09-20,Council,"City  Council Meeting - Sept. 20th, 2016",wO7ri-HuzUY,https://www.youtube.com/watch?v=wO7ri-HuzUY,Orem City Council,no
2016-10-11,Council,"City Council Meeting - October 11th, 2016",vIqVCq5FF_4,https://www.youtube.com/watch?v=vIqVCq5FF_4,Orem City Council,no
2016-10-25,Council,"City Council Meeting - October 25,2016",XzrSiHxlP24,https://www.youtube.com/watch?v=XzrSiHxlP24,Orem City Council,no
2016-11-15,Council,"City Council Meeting - November 15, 2016",uVN1FEU6_D4,https://www.youtube.com/watch?v=uVN1FEU6_D4,Orem City Council,no
2016-12-13,Council,"City Council Meeting - December 13, 2016",AeHrXrvb_EY,https://www.youtube.com/watch?v=AeHrXrvb_EY,Orem City Council,no
2017-01-10,Council,"City Council Meeting - January 10, 2017",Uk-XfewxVqo,https://www.youtube.com/watch?v=Uk-XfewxVqo,Orem City Council,no
2017-01-24,Council,Orem CIty Council Meeting - Jan 24 2017,Hn0wktvWd3M,https://www.youtube.com/watch?v=Hn0wktvWd3M,Orem City Council,no
2017-02-07,Council,Orem CIty Council Meeting - Feb 7 2017,nl0jcsSqCi0,https://www.youtube.com/watch?v=nl0jcsSqCi0,Orem City Council,no
2017-02-28,Council,"Orem City Council Meeting - Feb. 28, 2017",sTBfpjIhWhc,https://www.youtube.com/watch?v=sTBfpjIhWhc,Orem City Council,no
2017-03-06,Council,"Orem City Council Meeting - March 6th, 2017",QZn75OLFX-k,https://www.youtube.com/watch?v=QZn75OLFX-k,Orem City Council,no
2017-03-28,Council,"City of Orem City Council Meeting - March 28th, 2017",SFakdagoffM,https://www.youtube.com/watch?v=SFakdagoffM,Orem City Council,no
2017-04-11,Council,"Orem City Council Meeting - April 11th, 2017",ooZMVoE1S94,https://www.youtube.com/watch?v=ooZMVoE1S94,Orem City Council,no
2017-04-25,Council,Orem City Council Meeting  - 4/25/2017,uNqLco4Zysw,https://www.youtube.com/watch?v=uNqLco4Zysw,Orem City Council,no
2017-05-09,Council,"Orem City Council Meeting - May 9, 2017",wx2jgPLEpzA,https://www.youtube.com/watch?v=wx2jgPLEpzA,Orem City Council,no
2017-05-23,Council,"Orem City Council Meeting - May 23, 2017",VUaqa_ohj7s,https://www.youtube.com/watch?v=VUaqa_ohj7s,Orem City Council,no
2017-06-13,Council,"Orem City Council Meeting - June 13, 2017",DI7khX4nrDk,https://www.youtube.com/watch?v=DI7khX4nrDk,Orem City Council,no
2017-06-27,Council,"Orem City Council Meeting - June 27, 2017",GinfEmkvAFE,https://www.youtube.com/watch?v=GinfEmkvAFE,Orem City Council,no
2017-07-11,Council,"Orem City Council Meeting - July 11, 2017",xg8tS4Ofky0,https://www.youtube.com/watch?v=xg8tS4Ofky0,Orem City Council,no
2017-08-08,Council,"Orem City Council Meeting - Aug 8, 2017",DCQLOc9gO2c,https://www.youtube.com/watch?v=DCQLOc9gO2c,Orem City Council,no
2017-09-12,Council,"Orem City Council Meeting - Sept 12, 2017",5VLWPOCGMnE,https://www.youtube.com/watch?v=5VLWPOCGMnE,Orem City Council,no
2017-10-10,Council,"Orem City Council Meeting -  Oct 10, 2017",N7Dxh8QDL1c,https://www.youtube.com/watch?v=N7Dxh8QDL1c,Orem City Council,no
2017-10-17,Council,"Orem City Council Meeting -  Oct 17, 2017",brcdSjy85a8,https://www.youtube.com/watch?v=brcdSjy85a8,Orem City Council,no
2020-02-05,Council,"Orem City Council/Alpine School District Joint Mtg - Feb. 05, 2020",chuH22VaX8I,https://www.youtube.com/watch?v=chuH22VaX8I,Orem City Council,no
2021-01-12,Council,"City Council Meeting - January 12th, 2021",XXNhOHh26Vg,https://www.youtube.com/watch?v=XXNhOHh26Vg,Orem City Council,no
2021-01-26,Council,City Council Meeting 1.26.2021,rOP-F7X5Gik,https://www.youtube.com/watch?v=rOP-F7X5Gik,Orem City Council,yes
2021-02-09,Council,City Council Work Session - Feb. 9th,GWTb47RY2lQ,https://www.youtube.com/watch?v=GWTb47RY2lQ,Orem City Council,yes
2021-02-23,Council,City Council Meeting - February 23,2bLrKDgi4yU,https://www.youtube.com/watch?v=2bLrKDgi4yU,Orem City Council,yes
2021-05-25,Council,"Orem City Council Meeting - May 25, 2021",DVO5D-PY1yA,https://www.youtube.com/watch?v=DVO5D-PY1yA,Orem City Council,no
2021-07-27,Council,"Special City Council Meeting - July 27, 2021",rgPJNFbocvM,https://www.youtube.com/watch?v=rgPJNFbocvM,Orem City Council,yes
2021-08-09,Council,"Special City Council Meeting - August 9, 2021",KZGNK5spu0g,https://www.youtube.com/watch?v=KZGNK5spu0g,Orem City Council,yes
2021-08-18,PlanningCommission,"Planning Commission - August 18, 2021",1uJ2doTgA4M,https://www.youtube.com/watch?v=1uJ2doTgA4M,Planning Commission,yes
2021-08-24,Council,"Orem City Council - August 24, 2021",n_s_KIm1Uiw,https://www.youtube.com/watch?v=n_s_KIm1Uiw,Orem City Council,yes
2021-09-01,PlanningCommission,"Planning Commission - September 1, 2021",wzfJeutCa0U,https://www.youtube.com/watch?v=wzfJeutCa0U,Planning Commission,yes
2021-09-14,Council,"Orem City Council Meeting - September 14, 2021",M5qWFvUL794,https://www.youtube.com/watch?v=M5qWFvUL794,Orem City Council,yes
2021-09-15,PlanningCommission,"Planning Commission - September 15, 2021",qwR3-8NiuNI,https://www.youtube.com/watch?v=qwR3-8NiuNI,Planning Commission,yes
2021-09-28,Council,"Orem City Council Meeting - September 28, 2021",cQZDIStVPy0,https://www.youtube.com/watch?v=cQZDIStVPy0,Orem City Council,yes
2021-10-20,PlanningCommission,"Planning Commission - October 20, 2021",EyzAuOndiag,https://www.youtube.com/watch?v=EyzAuOndiag,Planning Commission,yes
2021-10-26,Council,"Orem City Council - October 26, 2021",qDIy6Ly-03o,https://www.youtube.com/watch?v=qDIy6Ly-03o,Orem City Council,yes
2021-11-03,PlanningCommission,"Planning Commission - November 3, 2021",jb9NY2mfwKE,https://www.youtube.com/watch?v=jb9NY2mfwKE,Planning Commission,yes
2021-11-03,PlanningCommission,"Planning Commission - November 3, 2021",FMlK5ajLjl4,https://www.youtube.com/watch?v=FMlK5ajLjl4,Planning Commission,yes
2021-11-23,Council,"Orem City Council - November 23, 2021 (Regular Session)",JPz-6PqUNvs,https://www.youtube.com/watch?v=JPz-6PqUNvs,Orem City Council,yes
2021-11-23,Council,"Orem City Council - November 23, 2021",iqK1phw5oXA,https://www.youtube.com/watch?v=iqK1phw5oXA,Orem City Council,yes
2021-12-08,PlanningCommission,"Planning Commission - December 8, 2021",lsxhu8dJgxQ,https://www.youtube.com/watch?v=lsxhu8dJgxQ,Planning Commission,yes
2022-01-04,Council,"Orem City Council - January 4, 2022 (Work Session)",PiRHsiyuFGk,https://www.youtube.com/watch?v=PiRHsiyuFGk,Orem City Council,yes
2022-01-10,Council,Orem City Council Meeting - 1.10.22,YeYZcmpMYfE,https://www.youtube.com/watch?v=YeYZcmpMYfE,Orem City Council,no
2022-01-11,Council,"Orem City Council - January 11, 2022",Cjvo2kh7Z9g,https://www.youtube.com/watch?v=Cjvo2kh7Z9g,Orem City Council,yes
2022-01-19,PlanningCommission,"Planning Commission - January 19, 2022",6epWq6g33NM,https://www.youtube.com/watch?v=6epWq6g33NM,Planning Commission,yes
2022-01-25,Council,"Orem City Council - January 25, 2022",7O72WhBdh_8,https://www.youtube.com/watch?v=7O72WhBdh_8,Orem City Council,yes
2022-02-02,PlanningCommission,"Planning Commission - February 2, 2022",XULHFvMAJ80,https://www.youtube.com/watch?v=XULHFvMAJ80,Planning Commission,yes
2022-02-02,PlanningCommission,"Planning Commission - February 2, 2022",RMjnYMatmYs,https://www.youtube.com/watch?v=RMjnYMatmYs,Planning Commission,yes
2022-02-08,Council,"Orem City Council - February 8, 2022",vJcGMmubFtw,https://www.youtube.com/watch?v=vJcGMmubFtw,Orem City Council,yes
2022-02-08,PlanningCommission,"Planning Commission - February 8, 2022",e27JBxTMMtM,https://www.youtube.com/watch?v=e27JBxTMMtM,Planning Commission,no
2022-02-16,PlanningCommission,"Planning Commission - February 16, 2022",wd_2WaKsYig,https://www.youtube.com/watch?v=wd_2WaKsYig,Planning Commission,yes
2022-02-22,Council,"City Council Meeting - February 22, 2022",Vgp-dTFov3o,https://www.youtube.com/watch?v=Vgp-dTFov3o,Orem City Council,yes
2022-03-02,PlanningCommission,"Planning Commission - March 2, 2022",ayGTW5XeIOo,https://www.youtube.com/watch?v=ayGTW5XeIOo,Planning Commission,yes
2022-03-09,Council,"Orem City Council Meeting - March 9, 2022",n0FmbWzKLqo,https://www.youtube.com/watch?v=n0FmbWzKLqo,Orem City Council,yes
2022-03-22,Council,Orem City Council Meeting - 3.22.22,66AwAmv-Sz8,https://www.youtube.com/watch?v=66AwAmv-Sz8,Orem City Council,yes
2022-04-12,Council,Orem City Council Meeting - 4.12.22,QW6HvVk8_bQ,https://www.youtube.com/watch?v=QW6HvVk8_bQ,Orem City Council,yes
