date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,Brent Sumner,Nay,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,David Spencer,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,Debby Lauret,Nay,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,Jeff Lambson,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,Richard Brunst,Nay,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,Terry Peterson,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,1,"by Ordinance, to enact a temporary land use regulation (moratorium) not to exceed six months in duration, pursuant to Utah Code section 10-9a-504 prohibiting the erection, construction, reconstruction, or alteration of any building or structure, or any subdivision approval in the City Center District Zones, the Hub District Zones, the Canyon Crossing District Zones, the Arts District Zones, and the North Village District Zones. For the safety of our citizens, we need to have proper infrastructur",Land-Use/Zoning,4-3 Pass,David Spencer,Tom Macdonald,Tom Macdonald,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,Brent Sumner,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,David Spencer,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,Debby Lauret,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,Jeff Lambson,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,Richard Brunst,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,Terry Peterson,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
2021-08-09,2021,Special City Council Meeting,Council,2,adjourn,Procedural/Administrative,7-0 Pass,David Spencer,Jeff Lambson,Tom Macdonald,Aye,meeting_minutes/minutes/2021/2021-08-09/2021-08-09_special-city-council.md,minutes
