dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,1,2020-01-09,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,1
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,2,2020-01-09,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,2
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,3,2020-01-09,Council,Appointment,Appointment,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,3
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,4,2020-01-09,Council,Appointment,Appointment,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,4
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,5,2020-01-09,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,4-0 Pass,crosswalk,high,5
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,6,2020-01-09,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,6
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,7,2020-01-09,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,7
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,8,2020-01-09,Council,Other,Other,,final-action,pass,4,1,,roll-call,4-1 Pass,rule:no-signal,low,8
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,9,2020-01-09,Council,Contract/Purchase,Contract-Purchase,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,9
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,10,2020-01-09,Council,Contract/Purchase,Contract-Purchase,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high,10
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,11,2020-01-09,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,medium,11
meeting_minutes,minutes/2020/2020-01-06/2020-01-09_city-council-meeting.md,12,2020-01-09,Council,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,4,0,,roll-call,4-0 Pass,rule:lu-cup,high,12
