year,election_type,office,contest,candidate,votes,pct,rank,is_winner
2019,municipal primary,Council,Park City Council,Nann Worel,1090,27.11,1,Y
2019,municipal primary,Council,Park City Council,Becca Gerber,1047,26.04,2,Y
2019,municipal primary,Council,Park City Council,Max Doilney,620,15.42,3,Y
2019,municipal primary,Council,Park City Council,Ed Parigian,460,11.44,4,Y
2019,municipal primary,Council,Park City Council,Deanna Rhodes,420,10.45,5,Y
2019,municipal primary,Council,Park City Council,Daniel Lewis,193,4.8,6,Y
2019,municipal primary,Council,Park City Council,Chadwick H. Fairbanks III,191,4.75,7,N
2019,municipal general,Council,Park City Council,Nann Worel,1562,26.98,1,Y
2019,municipal general,Council,Park City Council,Becca Gerber,1542,26.64,2,Y
2019,municipal general,Council,Park City Council,Max Doilney,954,16.48,3,Y
2019,municipal general,Council,Park City Council,Ed Parigian,773,13.35,4,N
2019,municipal general,Council,Park City Council,Deanna Rhodes,724,12.51,5,N
2019,municipal general,Council,Park City Council,Daniel Lewis,234,4.04,6,N
2021,municipal primary,Mayor,Park City Mayor,Nann Worel,1393,55.76,1,Y
2021,municipal primary,Mayor,Park City Mayor,Andy Beerman,738,29.54,2,Y
2021,municipal primary,Mayor,Park City Mayor,David A. Dobkin,367,14.69,3,N
2021,municipal primary,Council,Park City Council,Tana Toly,1351,30.87,1,Y
2021,municipal primary,Council,Park City Council,Jeremy Rubell,1246,28.47,2,Y
2021,municipal primary,Council,Park City Council,Tim B. Henney,806,18.41,3,Y
2021,municipal primary,Council,Park City Council,Thomas C. Purcell,327,7.47,4,Y
2021,municipal primary,Council,Park City Council,John Greenfield,292,6.67,5,N
2021,municipal primary,Council,Park City Council,Daniel Lewis,156,3.56,6,N
2021,municipal primary,Council,Park City Council,Jamison Brandi,147,3.36,7,N
2021,municipal primary,Council,Park City Council,Michael J. Franchek,52,1.19,8,N
2021,municipal general,Mayor,Park City Mayor,Nann Worel,2048,60.86,1,Y
2021,municipal general,Mayor,Park City Mayor,Andy Beerman,1317,39.14,2,N
2021,municipal general,Council,Park City Council,Tana Toly,2208,38.22,1,Y
2021,municipal general,Council,Park City Council,Jeremy Rubell,2130,36.87,2,Y
2021,municipal general,Council,Park City Council,Tim B. Henney,1439,24.91,3,N
2023,municipal primary,Council,Park City Council,Ryan Dickey,1364,24.71,1,Y
2023,municipal primary,Council,Park City Council,Ed Parigian,844,15.29,2,Y
2023,municipal primary,Council,Park City Council,Matthew Nagie,828,15.0,3,Y
2023,municipal primary,Council,Park City Council,Bob Sertner,745,13.5,4,Y
2023,municipal primary,Council,Park City Council,John Greenfield,599,10.85,5,Y
2023,municipal primary,Council,Park City Council,Bill Ciraco,585,10.6,6,Y
2023,municipal primary,Council,Park City Council,Jody Whitesides,338,6.12,7,N
2023,municipal primary,Council,Park City Council,"David ""Pickleball Traffic"" Dobkin",216,3.91,8,N
2023,municipal general,Council,Park City Council,Ryan Dickey,1778,25.92,1,Y
2023,municipal general,Council,Park City Council,Ed Parigian,1311,19.11,2,Y
2023,municipal general,Council,Park City Council,Bill Ciraco,1158,16.88,3,Y
2023,municipal general,Council,Park City Council,Bob Sertner,1084,15.8,4,N
2023,municipal general,Council,Park City Council,Matthew Nagie,972,14.17,5,N
2023,municipal general,Council,Park City Council,John Greenfield,557,8.12,6,N
2025,municipal primary,Council,Park City Council,Tana Toly,1081,21.8,1,Y
2025,municipal primary,Council,Park City Council,Diego Zegarra,972,19.6,2,Y
2025,municipal primary,Council,Park City Council,Jeremy Rubell,648,13.07,3,Y
2025,municipal primary,Council,Park City Council,"John ""J.K."" Kenworthy",563,11.35,4,Y
2025,municipal primary,Council,Park City Council,Beth Armstrong,538,10.85,5,N
2025,municipal primary,Council,Park City Council,Danny Glasser,520,10.49,6,N
2025,municipal primary,Council,Park City Council,Molly Miller,432,8.71,7,N
2025,municipal primary,Council,Park City Council,Ian Hartley,205,4.13,8,N
2025,municipal general,Mayor,Park City Mayor,Ryan Dickey,1706,50.1,1,Y
2025,municipal general,Mayor,Park City Mayor,Jack Rubin,1699,49.9,2,N
2025,municipal general,Council,Park City Council,Tana Toly,2337,39.72,1,Y
2025,municipal general,Council,Park City Council,Diego Zegarra,2016,34.27,2,Y
2025,municipal general,Council,Park City Council,Jeremy Rubell,1530,26.01,3,N
