date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2022-12-15,2022,City Council,Council,1,Council Member Gerber moved to close the meeting to discuss security at 3:05 p.m,Procedural/Administrative,5-0 Pass,Becca Gerber,Max Doilney,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,1,Council Member Gerber moved to close the meeting to discuss security at 3:05 p.m,Procedural/Administrative,5-0 Pass,Becca Gerber,Max Doilney,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,1,Council Member Gerber moved to close the meeting to discuss security at 3:05 p.m,Procedural/Administrative,5-0 Pass,Becca Gerber,Max Doilney,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,1,Council Member Gerber moved to close the meeting to discuss security at 3:05 p.m,Procedural/Administrative,5-0 Pass,Becca Gerber,Max Doilney,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,1,Council Member Gerber moved to close the meeting to discuss security at 3:05 p.m,Procedural/Administrative,5-0 Pass,Becca Gerber,Max Doilney,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,2,Council Member Dickey moved to adjourn from Closed Meeting at 3:17 p.m,Procedural/Administrative,5-0 Pass,Ryan Dickey,Tana Toly,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,2,Council Member Dickey moved to adjourn from Closed Meeting at 3:17 p.m,Procedural/Administrative,5-0 Pass,Ryan Dickey,Tana Toly,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,2,Council Member Dickey moved to adjourn from Closed Meeting at 3:17 p.m,Procedural/Administrative,5-0 Pass,Ryan Dickey,Tana Toly,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,2,Council Member Dickey moved to adjourn from Closed Meeting at 3:17 p.m,Procedural/Administrative,5-0 Pass,Ryan Dickey,Tana Toly,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,2,Council Member Dickey moved to adjourn from Closed Meeting at 3:17 p.m,Procedural/Administrative,5-0 Pass,Ryan Dickey,Tana Toly,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
