referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,4,Council,411,PlanningCommission,subject,medium,,1.0,2020-01-21,2020-01-08,13,
2,8,Council,412,PlanningCommission,subject,medium,,0.813,2020-02-04,2020-01-22,13,
3,18,Council,14,RDA,subject,medium,,0.61,2020-06-16,2020-03-10,98,
4,22,Council,413,PlanningCommission,address+subject,high,164 s 400 w,0.852,2020-04-14,2020-03-25,20,
5,23,Council,413,PlanningCommission,address+subject,high,164 s 400 w,0.852,2020-04-14,2020-03-25,20,
6,30,Council,416,PlanningCommission,address+subject,high,852 n 500 w,0.599,2020-05-19,2020-05-13,6,
7,31,Council,32,RDA,subject,medium,,0.414,2020-05-19,2020-05-19,0,
8,33,Council,415,PlanningCommission,subject,medium,,1.0,2020-05-19,2020-04-22,27,
9,36,Council,418,PlanningCommission,address+subject,high,901 w 1560 s,0.934,2020-06-02,2020-05-27,6,
10,40,Council,415,PlanningCommission,subject,medium,,1.0,2020-06-16,2020-04-22,55,
11,41,Council,415,PlanningCommission,subject,medium,,1.0,2020-06-16,2020-04-22,55,
12,45,Council,418,PlanningCommission,address+subject,high,901 w 1560 s,0.655,2020-06-16,2020-05-27,20,
13,46,Council,418,PlanningCommission,address+subject,high,901 w 1560 s,0.655,2020-06-16,2020-05-27,20,
14,57,Council,422,PlanningCommission,address+subject,high,1164 s 1600 w,0.241,2020-08-18,2020-08-12,6,
15,60,Council,422,PlanningCommission,address+subject,high,1164 s 1600 w,0.626,2020-08-18,2020-08-12,6,
16,61,Council,425,PlanningCommission,address+subject,high,1487 w 990 s,0.648,2020-09-01,2020-08-26,6,
17,61,Council,426,PlanningCommission,address+subject,high,1487 w 990 s,0.528,2020-09-01,2020-08-26,6,
18,69,Council,67,RDA,subject,medium,,0.892,2020-10-06,2020-10-06,0,
19,70,Council,68,RDA,subject,medium,,0.885,2020-10-06,2020-10-06,0,
20,73,Council,429,PlanningCommission,address+subject,high,2022 w center,0.327,2020-10-06,2020-09-23,13,
21,76,Council,420,PlanningCommission,address+subject,high,189 s 500 w,0.368,2020-10-06,2020-08-12,55,
22,76,Council,421,PlanningCommission,address+subject,high,189 s 500 w,0.306,2020-10-06,2020-08-12,55,
23,76,Council,430,PlanningCommission,address+subject,high,189 s 500 w,0.368,2020-10-06,2020-09-23,13,
24,76,Council,431,PlanningCommission,address+subject,high,189 s 500 w,0.306,2020-10-06,2020-09-23,13,
25,76,Council,439,PlanningCommission,address+subject,high,189 s 500 w,0.285,2020-10-06,2020-10-28,-22,
26,78,Council,432,PlanningCommission,address+subject,high,1920 s 500 w,0.361,2020-11-10,2020-10-14,27,
27,78,Council,436,PlanningCommission,address+subject,high,1920 s 500 w,0.361,2020-11-10,2020-10-28,13,
28,79,Council,432,PlanningCommission,address+subject,high,1920 s 500 w,0.361,2020-11-10,2020-10-14,27,
29,79,Council,436,PlanningCommission,address+subject,high,1920 s 500 w,0.361,2020-11-10,2020-10-28,13,
30,81,Council,435,PlanningCommission,address+subject,high,1320 s 1080 e,0.702,2020-11-10,2020-10-14,27,
31,81,Council,437,PlanningCommission,address+subject,high,1320 s 1080 e,0.702,2020-11-10,2020-10-28,13,
32,82,Council,414,PlanningCommission,address+subject,high,50 e 3900 n,0.32,2020-11-10,2020-03-25,230,
33,82,Council,419,PlanningCommission,address+subject,high,50 e 3900 n,0.322,2020-11-10,2020-06-24,139,
34,82,Council,438,PlanningCommission,address+subject,high,50 e 3900 n,0.322,2020-11-10,2020-10-28,13,
35,83,Council,420,PlanningCommission,address+subject,high,189 s 500 w,0.271,2020-11-10,2020-08-12,90,
36,83,Council,421,PlanningCommission,address+subject,high,189 s 500 w,0.204,2020-11-10,2020-08-12,90,
37,83,Council,430,PlanningCommission,address+subject,high,189 s 500 w,0.271,2020-11-10,2020-09-23,48,
38,83,Council,431,PlanningCommission,address+subject,high,189 s 500 w,0.204,2020-11-10,2020-09-23,48,
39,83,Council,439,PlanningCommission,address+subject,high,189 s 500 w,0.316,2020-11-10,2020-10-28,13,
40,84,Council,420,PlanningCommission,address+subject,high,189 s 500 w,0.271,2020-11-10,2020-08-12,90,
41,84,Council,421,PlanningCommission,address+subject,high,189 s 500 w,0.204,2020-11-10,2020-08-12,90,
42,84,Council,430,PlanningCommission,address+subject,high,189 s 500 w,0.271,2020-11-10,2020-09-23,48,
43,84,Council,431,PlanningCommission,address+subject,high,189 s 500 w,0.204,2020-11-10,2020-09-23,48,
44,84,Council,439,PlanningCommission,address+subject,high,189 s 500 w,0.316,2020-11-10,2020-10-28,13,
45,87,Council,419,PlanningCommission,address,low,50 e 3900 n,0.171,2020-12-01,2020-06-24,160,
46,90,Council,428,PlanningCommission,address+subject,high,1920 w center,0.307,2020-12-01,2020-09-09,83,
47,90,Council,446,PlanningCommission,address+subject,high,1920 w center,0.626,2020-12-01,2020-11-18,13,
48,94,Council,441,PlanningCommission,address+subject,high,590 w 300 s,0.77,2020-12-01,2020-11-11,20,
49,95,Council,442,PlanningCommission,subject,medium,,0.741,2020-12-01,2020-11-11,20,
50,95,Council,444,PlanningCommission,subject,medium,,0.741,2020-12-01,2020-11-18,13,
51,96,Council,423,PlanningCommission,address+subject,high,1555 n canyon,0.839,2020-12-01,2020-08-26,97,
52,96,Council,424,PlanningCommission,address+subject,high,1555 n canyon,0.583,2020-12-01,2020-08-26,97,
53,97,Council,423,PlanningCommission,address+subject,high,1555 n canyon,0.218,2020-12-01,2020-08-26,97,
54,97,Council,424,PlanningCommission,address+subject,high,1555 n canyon,0.833,2020-12-01,2020-08-26,97,
55,104,Council,447,PlanningCommission,address+subject,high,950 w 1020 s,0.202,2021-01-19,2021-01-13,6,
56,104,Council,448,PlanningCommission,address+subject,high,950 w 1020 s,0.699,2021-01-19,2021-01-13,6,
57,109,Council,428,PlanningCommission,address+subject,high,1920 w center,0.57,2021-02-02,2020-09-09,146,
58,109,Council,446,PlanningCommission,address+subject,high,1920 w center,0.713,2021-02-02,2020-11-18,76,
59,110,Council,414,PlanningCommission,address+subject,high,50 e 3900 n,0.301,2021-02-02,2020-03-25,314,
60,110,Council,419,PlanningCommission,address+subject,high,50 e 3900 n,0.304,2021-02-02,2020-06-24,223,
61,110,Council,438,PlanningCommission,address+subject,high,50 e 3900 n,0.304,2021-02-02,2020-10-28,97,
62,111,Council,434,PlanningCommission,address,low,1724 s state,0.626,2021-02-16,2020-10-14,125,
63,113,Council,451,PlanningCommission,address+subject,high,1400 w 890 s,0.517,2021-02-16,2021-02-10,6,
64,115,Council,434,PlanningCommission,address,low,1724 s state,0.626,2021-02-16,2020-10-14,125,
65,117,Council,453,PlanningCommission,address+subject,high,619 n 500 w,0.79,2021-03-02,2021-02-24,6,
66,118,Council,434,PlanningCommission,address,low,1724 s state,0.626,2021-03-02,2020-10-14,139,
67,124,Council,454,PlanningCommission,address+subject,high,3450 w center,0.23,2021-04-20,2021-03-24,27,
68,125,Council,454,PlanningCommission,address+subject,high,3450 w center,0.23,2021-04-20,2021-03-24,27,
69,129,Council,458,PlanningCommission,address+subject,high,734 w 300 s,0.572,2021-05-04,2021-04-28,6,
70,129,Council,459,PlanningCommission,address+subject,high,734 w 300 s,0.725,2021-05-04,2021-04-28,6,
71,130,Council,455,PlanningCommission,subject,medium,,0.732,2021-05-04,2021-04-28,6,
72,133,Council,452,PlanningCommission,address+subject,high,500 w lakeview,0.452,2021-05-18,2021-02-10,97,
73,133,Council,461,PlanningCommission,address+subject,high,500 w lakeview,0.452,2021-05-18,2021-04-28,20,
74,134,Council,452,PlanningCommission,address+subject,high,500 w lakeview,0.452,2021-05-18,2021-02-10,97,
75,134,Council,461,PlanningCommission,address+subject,high,500 w lakeview,0.452,2021-05-18,2021-04-28,20,
76,135,Council,455,PlanningCommission,subject,medium,,0.732,2021-05-18,2021-04-28,20,
77,136,Council,463,PlanningCommission,address+subject,high,790 w 500 s,0.532,2021-06-01,2021-05-26,6,
78,137,Council,463,PlanningCommission,address+subject,high,790 w 500 s,0.532,2021-06-01,2021-05-26,6,
79,141,Council,464,PlanningCommission,address+subject,high,5600 n university,0.567,2021-06-15,2021-06-09,6,
80,141,Council,465,PlanningCommission,address+subject,high,5600 n university,0.762,2021-06-15,2021-06-09,6,
81,142,Council,464,PlanningCommission,address+subject,high,5600 n university,0.567,2021-06-15,2021-06-09,6,
82,142,Council,465,PlanningCommission,address+subject,high,5600 n university,0.762,2021-06-15,2021-06-09,6,
83,143,Council,468,PlanningCommission,address+subject,high,200 n lakeshore,0.694,2021-06-15,2021-06-09,6,
84,144,Council,468,PlanningCommission,address+subject,high,200 n lakeshore,0.694,2021-07-06,2021-06-09,27,
85,145,Council,466,PlanningCommission,address+subject,high,690 e 500 s,0.73,2021-07-06,2021-06-09,27,
86,146,Council,466,PlanningCommission,address+subject,high,690 e 500 s,0.73,2021-07-06,2021-06-09,27,
87,147,Council,466,PlanningCommission,address+subject,high,690 e 500 s,0.73,2021-07-06,2021-06-09,27,
88,149,Council,471,PlanningCommission,subject,medium,,0.879,2021-08-03,2021-07-28,6,
89,150,Council,470,PlanningCommission,subject,medium,,0.921,2021-08-03,2021-07-28,6,
90,151,Council,468,PlanningCommission,address+subject,high,200 n lakeshore,0.694,2021-08-03,2021-06-09,55,
91,152,Council,438,PlanningCommission,address+subject,high,50 e 3900 n,0.284,2021-08-24,2020-10-28,300,
92,157,Council,476,PlanningCommission,address+subject,high,1400 w 890 s,0.775,2021-11-16,2021-11-10,6,
93,158,Council,476,PlanningCommission,address+subject,high,1400 w 890 s,0.775,2021-11-16,2021-11-10,6,
94,159,Council,476,PlanningCommission,address+subject,high,1400 w 890 s,0.775,2021-11-16,2021-11-10,6,
95,179,Council,484,PlanningCommission,address+subject,high,669 s 1600 w,0.269,2022-02-01,2022-01-26,6,
96,182,Council,462,PlanningCommission,subject,medium,,0.605,2022-02-15,2021-05-12,279,
97,182,Council,477,PlanningCommission,subject,medium,,0.605,2022-02-15,2021-11-10,97,
98,182,Council,485,PlanningCommission,subject,medium,,0.605,2022-02-15,2022-01-26,20,
99,190,Council,470,PlanningCommission,subject,medium,,0.792,2022-03-15,2021-07-28,230,
100,190,Council,481,PlanningCommission,subject,medium,,0.792,2022-03-15,2021-12-08,97,
101,190,Council,488,PlanningCommission,subject,medium,,0.792,2022-03-15,2022-03-09,6,
102,197,Council,198,RDA,subject,medium,,1.0,2022-05-03,2022-05-03,0,
103,206,Council,208,RDA,subject,medium,,0.771,2022-06-21,2022-06-21,0,
104,213,Council,486,PlanningCommission,address+subject,high,3701 w center,0.685,2022-07-26,2022-03-09,139,
105,213,Council,492,PlanningCommission,address+subject,high,3701 w center,0.685,2022-07-26,2022-07-13,13,
106,217,Council,490,PlanningCommission,subject,medium,,0.732,2022-08-09,2022-07-13,27,
107,218,Council,491,PlanningCommission,subject,medium,,1.0,2022-08-09,2022-07-13,27,
108,222,Council,230,RDA,subject,medium,,0.57,2022-10-04,2022-10-04,0,
109,223,Council,494,PlanningCommission,address+subject,high,5544 river run,0.954,2022-10-04,2022-09-14,20,
110,224,Council,493,PlanningCommission,address+subject,high,5515 n edgewood,0.95,2022-10-04,2022-09-14,20,
111,226,Council,495,PlanningCommission,subject,medium,,1.0,2022-10-04,2022-09-28,6,
112,239,Council,498,PlanningCommission,address+subject,high,515 s 700 e,0.802,2022-11-15,2022-11-09,6,
113,240,Council,499,PlanningCommission,subject,medium,,1.0,2022-11-15,2022-11-09,6,
114,242,Council,478,PlanningCommission,subject,medium,,0.618,2022-12-13,2021-11-10,398,
115,242,Council,482,PlanningCommission,subject,medium,,0.618,2022-12-13,2021-12-08,370,
116,242,Council,502,PlanningCommission,subject,medium,,0.686,2022-12-13,2022-12-07,6,
117,243,Council,478,PlanningCommission,subject,medium,,0.618,2022-12-13,2021-11-10,398,
