ordinance_no,adoption_date,reason,source_url,title
2025-8,2025-01-28,adopted_meeting_extracted_but_no_matching_motion,https://www.utah.gov/pmn/sitemap/notice/970241.html,AN ORDINANCE UPDATING AND CLARIFYING STANDARDS RELATED TO NOISE. (25-009)
2025-10,2025-01-28,adopted_meeting_extracted_but_no_matching_motion,https://www.utah.gov/pmn/sitemap/notice/970241.html,AN ORDINANCE AMENDING PROVO CITY CODES REGARDING BUILDING HEIGHT AND UNIT SIZE REGULATIONS IN THE GENERAL DOWNTOWN (DT1) ZONE. CITYWIDE APPLICATION. (PLOTA20240308)
2025-40,2025-07-08,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1008713.html,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING NUISANCE ABATEMENT AND CHRONIC NUISANCES. (25-068)
2025-41,2025-07-08,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1008713.html,AN ORDINANCE AMENDING THE GENERAL PLAN APPENDIX B TO INCLUDE NEW MODERATE INCOME HOUSING STRATEGIES. (PLGPA20250197)
2025-42,2025-07-08,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1008713.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 1200 NORTH INDEPENDENCE AVENUE, FROM THE MANUFACTURING PARK (MP) ZONE TO THE LOW DENSITY RESIDENTIAL (LDR) ZONE. GRANDVIEW SOUTH NEIGHBORHOOD. (PLRZ20250072)"
2025-47,2025-09-09,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1021917.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 2525 WEST 620 NORTH, FROM THE R1.8 (ONE FAMILY RESIDENTIAL) ZONE TO THE A1.1 (AGRICULTURAL) ZONE. LAKEVIEW SOUTH NEIGHBORHOOD. (PLRZ20250348)"
2025-48,2025-09-09,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1021917.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 1050 WEST 100 NORTH FROM THE ONE-FAMILY RESIDENTIAL (R1.6) ZONE TO THE VERY LOW DENSITY RESIDENTIAL (VLDR) ZONE. DIXON NEIGHBORHOOD. (PLRZ20250332)"
2025-49,2025-09-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1025613.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 920 SOUTH 1020 WEST FROM THE ONE-FAMILY RESIDENTIAL (R1.8) AND RESIDENTIAL AGRICULTURAL (RA) ZONES TO THE ONE-FAMILY RESIDENTIAL (R1.7) ZONE. SUNSET NEIGHBORHOOD. (PLRZ20250388)"
2025-50,2025-09-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1025613.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 3200 W BULLDOG LANE, FROM THE OPEN SPACE, PRESERVATION AND RECREATION (OSPR) AND ONE-FAMILY RESIDENTIAL (R1.20) ZONES TO THE ONE-FAMILY RESIDENTIAL WITH PERFORMANCE DEVELOPMENT OVERLAY (R1.6(PD)) ZONE. LAKEVIEW NORTH NEIGHBORHOOD. (PLRZ20250397"
2025-51,2025-09-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1025613.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 2858 WEST CENTER STREET, FROM THE AGRICULTURAL (A1.1) ZONE TO THE ONE-FAMILY RESIDENTIAL (R1.7) ZONE. FORT UTAH NEIGHBORHOOD. (PLRZ20250384)"
2025-52,2025-09-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1025613.html,AN ORDINANCE AMENDING PROVO CITY CODE TITLE 14 TO REMOVE DATA CENTERS AS PERMITTED OR CONDITIONAL USES. (PLOTA20250458)
2025-53,2025-09-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1025613.html,AN ORDINANCE ENACTING PROVO CITY CODE CHAPTER 14.34A TO CREATE A DATA CENTER OVERLAY ZONE. (PLOTA20250182)
2025-54,2025-10-07,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1030253.html,AN ORDINANCE AMENDING THE GENERAL PLAN TO ADOPT THE FRONTRUNNER AND 400 SOUTH STATION AREAS PLAN. (PLGPA20250216)
2025-55,2025-10-07,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1030253.html,AN ORDINANCE AMENDING THE GENERAL PLAN TO ADOPT THE UNIVERSITY AVENUE STATION AREAS PLAN. (PLGPA20250208)
2025-56,2025-10-07,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1030253.html,AN ORDINANCE AMENDING THE GENERAL PLAN TO ADOPT THE JOAQUIN STATION AREA PLAN. (PLGPA20250215)
2025-57,2025-10-07,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1030253.html,AN ORDINANCE AMENDING THE GENERAL PLAN TO ADOPT THE 2230 NORTH STATION AREA PLAN. (PLGPA20250206)
2025-67,2025-12-16,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1046759.html,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING THE NEIGHBORHOOD DISTRICT PROGRAM MAP. (25-093)
2025-68,2025-12-16,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1046759.html,"AN ORDINANCE AMENDING PROVO CITY CODE CHAPTER 5.09 (RECREATION, ARTS, AND PARKS TAX) PROVIDING FOR THE IMPOSITION, COLLECTION, AND DISTRIBUTION OF A LOCAL SALES AND USE TAX TO FUND RECREATION, ARTS, AND PARKS. (25-076)"
2025-69,2025-12-16,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1046759.html,AN ORDINANCE AMENDING THE AUTHORITY TO SETTLE CLAIMS UNDER PROVO CODE SECTION 3.10.050. (25-111)
2025-70,2025-12-16,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1046759.html,AN ORDINANCE AMENDING THE PROVO CITY CODE CHAPTER 9.51.010 (25-101)
2025-71,2025-12-16,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1046759.html,AN ORDINANCE AMENDING PROVO CITY CODE § 4.04.100 TO ALLOW PENSION-ELIGIBLE EMPLOYEES TO RECEIVE MATCHING 401(K) CONTRIBUTIONS FROM THE CITY (25-109)
2025-72,2025-12-16,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1046759.html,AN ORDINANCE AMENDING THE CONSOLIDATED FEE SCHEDULE TO UPDATE FEES RELATED TO BUSINESS LICENSES. (25-072)
2026-6,2026-02-10,adopted_meeting_extracted_but_no_matching_motion,https://www.utah.gov/pmn/sitemap/notice/1060861.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 1560 SOUTH 1100 WEST, FROM THE AGRICULTURAL (A1.5) AND RESIDENTIAL AGRICULTURAL (RA) ZONES TO THE NEIGHBORHOOD SHOPPING CENTER (SC1) AND VERY LOW DENSITY (VLDR) ZONES. LAKEWOOD NEIGHBORHOOD. (PLRZ20250028)"
2026-14,2026-05-26,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1087119.html,AN ORDINANCE AMENDING PROVO CITY CODE TO ADD A CARETAKER DWELLING AS A PERMITTED ACCESSORY USE IN THE GENERAL COMMERCIAL ZONE. (PLOTA20260119)
2026-15,2026-05-26,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1087119.html,AN ORDINANCE PROHIBITING VIRTUAL CURRENCY KIOSKS WITHIN PROVO CITY. (26-027)
