source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/roa/2020-01-08_pc-roa.md,1,2020-01-08,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2020-01-08_pc-roa.md,2,2020-01-08,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2020-01-08_pc-roa.md,3,2020-01-08,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2020-01-08_pc-roa.md,4,2020-01-08,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2020-01-22_pc-roa.md,1,2020-01-22,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
pmn_backfill/roa/2020-01-22_pc-roa.md,2,2020-01-22,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,6,2,,roll-call,Positive recommendation 6:2,crosswalk,high
pmn_backfill/roa/2020-02-12_pc-roa.md,1,2020-02-12,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,1,,roll-call,6:1 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2020-02-26_pc-roa.md,1,2020-02-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2020-02-26_pc-roa.md,2,2020-02-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2020-02-26_pc-roa.md,3,2020-02-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,4,1,,roll-call,Positive recommendation 4:1,crosswalk,high
pmn_backfill/roa/2020-02-26_pc-roa.md,4,2020-02-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
