date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Becky Bogdin,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Craig Christensen,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Gary Garrett,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,George Handley,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Katrice MacKay,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Rachel Whipple,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,1,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Travis Hoban,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,2,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Becky Bogdin,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,2,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Craig Christensen,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
2025-11-18,2025,Board of Canvassers,Council,2,"A resolution of the Provo Municipal Council and Provo Mayor, sitting as the Board of Canvassers, accepting the election returns and declaring and certifying the results of the Municipal General Election held in Provo, UT on November 4, 2025 (25-085) (10:18)",Resolution,8:0 Pass,Rachel Whipple,Becky Bogdin,Gary Garrett,Aye,meeting_minutes/minutes/2025/2025-11-17/2025-11-18_board-of-canvassers.md
