application_id,app_key,body_id,name,rep_title
1,Council|s|pmn_backfill/text/council_2020-01-21.txt|3,1,,"the City Council Adopt Ordinance No. 20-01 - Amending Section 18.150.110 (1) and 18.150.110(2) allowing temporary promotional signs and LED signs residential zones for non-residential uses and amending existing standards for size, as described in Exhibit “A”. Council Member McCay"
2,Council|s|pmn_backfill/text/council_2020-01-21.txt|5,1,,the City Council Adopt Ordinance No. 20-03 - Rezoning Property Located at 2435 West 12600 South from RR-22 (Residential Half Acre Lots) to CPO (Commercial Professional Office). Council Member Stewart
3,Council|s|pmn_backfill/text/council_2020-01-21.txt|8,1,,"the Riverton City Council adopt Ordinance No. 20-04 - Amending Title 13, Chapter 10 of Riverton City Code to restrict the use of secondary water systems between the hours of 10:00 am and 6:00 pm with the approval of the City Council under subsection (1). Council Member Stewart"
4,Council|s|pmn_backfill/text/council_2020-02-04.txt|3,1,,"Adopt Ordinance No. 20-02 – Amending the Land Use Code Sections 18.190 and 18.135, Addressing Seasonal and Temporary Commercial Uses. Council Member Stewart"
5,Council|s|minutes/2020/2020-02-17/2020-02-18_city-council.md|3,1,,"remand Application PLZ-19-4015, the proposed rezoning of properties located near 11845 South Redwood Road as shown on the attached zoning map from RR-22, C-N and C-PO to RM-6 SD, to the Planning Commission for further consideration in a public hearing. Council Member Wells"
6,Council|s|minutes/2020/2020-02-17/2020-02-18_city-council.md|5,1,,DEFER Resolution 20-15 amending Section 2.4 and 4.1 of the City Council Rules of Order and Procedure to the next City Council Meeting. Council Member McDougal
7,Council|s|minutes/2020/2020-03-16/2020-03-17_city-council.md|5,1,,"approve Ordinance No. 20-07 – Rezone of Properties within the Main City Park located near 15000 West 12800 South, from Public Utility to Parks/ Open Space, proposed by Riverton City. Council Member Buroker"
8,Council|s|minutes/2020/2020-04-06/2020-04-07_city-council.md|4,1,,"adopt Resolution No. 20-27 - Accepting up to 2.35 acres of property to be dedicated to Riverton City as part of the proposed “River Springs Estates” Subdivision, as shown in Exhibit “A”, Subject to Final Plat Approval by the Riverton City Planning Commission. Council Member McCay"
9,Council|s|minutes/2020/2020-04-20/2020-04-21_city-council.md|3,1,,"adopt Ordinance No. 20-10 - Rezoning properties located near 4185 West 12600 South from Planned Commercial Center (PCC) to Commercial Regional (C-R), as shown on the attached Exhibit “A”. Council Member Stewart"
10,Council|s|minutes/2020/2020-05-18/2020-05-19_city-council.md|7,1,,"adopt Ordinance No. 20-13 - Rezoning approximately 12.8 acres located at 11845 South Redwood Road from C-N, RR- 22, and R-3 to RM-6-SD, with SD designations as described in Exhibit “A” and to direct staff to identify and implement solutions up to and including (Amendment proposed by Council Member Stewart) the closure of Melba Lane on either the east or west end upon completion of Laurel Chase. This closure should be reviewed after one year. I also move that Riverton explore options with UDOT to extend the medium south on redwood road making Melba Lane a right in right out if the closure of Me"
11,Council|s|minutes/2020/2020-06-01/2020-06-02_city-council.md|3,1,,approve Resolution No. 20-40 – Authorizing the City to approve and ratify Change Order #1 with Black Forest Paving to complete the overlay of 3600 West from 13050 S to 12600 S. Council Member Buroker
12,Council|s|minutes/2020/2020-08-17/2020-08-18_city-council.md|3,1,,"the City Council adopt Ordinance No. 20-14 -Amending the Riverton City General Plan Land Use Map, as described in Exhibit “A”, with the following amendment: The Community Commercial designation on 13400 South between Autumn Rose Drive and Morning Cloak Way be adjusted to apply only to those lots with frontage on 13400 South, as shown in “Option 1. Council Member McDougal"
13,Council|s|minutes/2020/2020-08-31/2020-09-01_city-council.md|3,1,,adopt Ordinance No. 20-15 - Amending Section 18.145.100 of the Zoning Ordinance as shown on the attached Exhibit “A”. Council Member McDougal
14,Council|s|minutes/2020/2020-08-31/2020-09-01_city-council.md|4,1,,"adopt Ordinance No. 20-16 - Amending Chapter 18.150.110, regarding Secondary Monument Signs, as described in Exhibit “A”. Council Member McCay"
15,Council|heritage farms phase 5 subdivision,1,Heritage Farms Phase 5 Subdivision,"adopt Ordinance No. 20-19 - Vacating a portion of undeveloped public right-of-way within the Heritage Farms Phase 5 Subdivision, as shown on Exhibit “A”. Councilmember Buroker"
