role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,1,2026-01-20,2026-06-02,57
2,2,1,2023-01-03,2026-06-02,370
3,3,2,2020-01-23,2022-01-13,52
4,4,2,2024-08-08,2025-10-09,7
5,5,1,2020-01-07,2023-12-06,449
6,6,2,2024-06-13,2026-05-14,29
7,7,2,2022-02-10,2026-05-14,43
8,8,2,2020-01-23,2021-01-14,24
9,9,2,2020-01-23,2020-12-10,20
10,10,2,2022-02-10,2026-05-14,64
11,11,2,2020-01-23,2026-02-12,90
12,12,2,2020-02-13,2022-01-13,55
13,13,2,2026-02-12,2026-05-14,3
14,14,2,2022-02-10,2024-04-11,28
15,15,2,2021-03-25,2023-03-09,41
16,16,2,2020-01-23,2021-01-28,28
17,17,2,2023-04-13,2026-05-14,45
18,18,2,2021-03-25,2022-01-13,33
19,19,1,2026-01-20,2026-06-02,57
20,20,1,2020-01-07,2022-12-13,344
21,21,2,2021-03-25,2026-05-14,82
22,22,1,2024-01-02,2026-06-02,285
23,23,1,2020-01-07,2025-12-16,695
24,24,1,2020-01-07,2025-12-16,665
25,25,1,2025-12-16,2025-12-16,1
26,26,1,2020-01-07,2026-06-02,719
27,27,2,2020-01-23,2025-12-11,109
