date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,bytes,clip_id,delivery,stored,doc_class,fetch_status,sha256,text_path,text_chars
2020-01-07,Council agenda outline,Council,,agenda,https://rivertoncity.granicus.com/AgendaViewer.php?view_id=1&clip_id=325,2026-07-13,html,html tag-strip,raw/2020-01-07/Council_clip325_agenda.html,20788,clip325,generated_agenda_html,yes,,,,,
2020-01-07,MetaViewer.php,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20717,2026-07-13,na,none (oversize >4MB; not stored),,8097565,clip325,metaviewer,no,,,,,
2020-01-07,Council full agenda packet (bundled),Council,,full_packet,https://d3n9y02raazwpg.cloudfront.net/rivertoncity/ac05fae7-da31-48ba-8c0c-85f15c8efc46-9b46131e-1185-4c16-bb56-d4afea875bc3-1578580842.pdf,2026-07-13,na,none (not stored; index-only),,,clip325,cloudfront_bundle,no,,,,,
2020-01-07,meta20703,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20703,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att10_meta20703.pdf,698890,clip325,metaviewer,yes,,,,,
2020-01-07,meta20705,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20705,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att11_meta20705.pdf,824577,clip325,metaviewer,yes,,,,,
2020-01-07,meta20707,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20707,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att12_meta20707.pdf,81671,clip325,metaviewer,yes,,,,,
2020-01-07,meta20709,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20709,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att13_meta20709.pdf,436887,clip325,metaviewer,yes,,,,,
2020-01-07,meta20712,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20712,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att14_meta20712.pdf,296727,clip325,metaviewer,yes,,,,,
2020-01-07,meta20714,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20714,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att15_meta20714.pdf,290044,clip325,metaviewer,yes,,,,,
2020-01-07,meta20681,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20681,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att1_meta20681.pdf,129026,clip325,metaviewer,yes,,,,,
2020-01-07,meta20686,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20686,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att2_meta20686.pdf,318806,clip325,metaviewer,yes,,,,,
2020-01-07,meta20689,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20689,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att3_meta20689.pdf,232569,clip325,metaviewer,yes,,,,,
2020-01-07,meta20691,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20691,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att4_meta20691.pdf,232571,clip325,metaviewer,yes,,,,,
2020-01-07,meta20693,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20693,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att5_meta20693.pdf,231800,clip325,metaviewer,yes,,,,,
2020-01-07,meta20695,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20695,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att6_meta20695.pdf,231337,clip325,metaviewer,yes,,,,,
2020-01-07,meta20697,Council,,exhibit,https://rivertoncity.granicus.com/MetaViewer.php?view_id=1&clip_id=325&meta_id=20697,2026-07-13,text,pdftotext -layout,raw/2020-01-07/Council_clip325_att7_meta20697.pdf,231824,clip325,metaviewer,yes,,,,,
