date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,1,"to approve Application #PLZ 20-2001 Wilcken Upholstery, to be located at 12523 South Redwood Road subject to the following conditions: 1. The site, structures, and use shall remain in compliance with any and all Riverton City ordinances and standards, specifically the City Home Occupation Ordinance (18.190) and applicable Building and Fire Codes. 2. The applicant must obtain and maintain a Riverton City business license. 3. The shop area may utilize the space shown on the applicant’s site plan submitted with the home occupation application. Commissioner Rushton asked that the fourth condition ",Land-Use/Zoning,Passed unanimously,Ed James,,,,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,2,"to approve Application #PLZ 20-2002 My Storage Herriman, to be located at 5565 West 13400 South subject to the following conditions: 1. The applicant shall make a site plan application that meets City ordinance and is approved by the Planning Commission in a public hearing. 2. The “My Storage” site shall utilize shared access points and cross access with the other commercial properties at the southeast corner of 13400 South and 5600 West. 3. Setbacks shall follow the standard setbacks listed in 18.70.040 and shall not utilize a zero-lot-line or reduced set back. Commissioner James",Land-Use/Zoning,Passed unanimously,Dennis Hansen,Ed James,,,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,3,to recommend APPROVAL of Application PLZ-19- 4012 rezoning properties located near 4245 West 12600 South as shown on the attached Proposed Zoning Map from RM-14-SD with an Elderly Housing Overlay (EHOV) to RM-14-SD. Commissioner James,Land-Use/Zoning,Passed unanimously,Troy Rushton,Ed James,,,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,4,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N, and C-PO. Mr. Morton addressed the Commission but was off mic and inaudible. Commissioner Rushton remarked that the owner has a right to develop the parcel, and the neighbors recognize his right. There is an opportunity to develop the property with specific protection of the wetlands",Land-Use/Zoning,Died (no second),Ed James,,,,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,5,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N and C-PO based on conflict with the existing Master Plan and the character of the neighborhood. Commissioner James",Land-Use/Zoning,Passed 5-to-1,Troy Rushton,Ed James,Brian Russell,Aye,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,5,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N and C-PO based on conflict with the existing Master Plan and the character of the neighborhood. Commissioner James",Land-Use/Zoning,Passed 5-to-1,Troy Rushton,Ed James,Dennis Hansen,Aye,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,5,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N and C-PO based on conflict with the existing Master Plan and the character of the neighborhood. Commissioner James",Land-Use/Zoning,Passed 5-to-1,Troy Rushton,Ed James,Ed James,Aye,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,5,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N and C-PO based on conflict with the existing Master Plan and the character of the neighborhood. Commissioner James",Land-Use/Zoning,Passed 5-to-1,Troy Rushton,Ed James,Gary Cannon,Nay,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,5,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N and C-PO based on conflict with the existing Master Plan and the character of the neighborhood. Commissioner James",Land-Use/Zoning,Passed 5-to-1,Troy Rushton,Ed James,Kent Hartley,Aye,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,5,"to recommend DENIAL of Application PLZ-19-4015 rezoning properties located near 11845 South Redwood Road as shown on the attached Proposed Zoning Map and keeping the properties zoned RR-22, C-N and C-PO based on conflict with the existing Master Plan and the character of the neighborhood. Commissioner James",Land-Use/Zoning,Passed 5-to-1,Troy Rushton,Ed James,Troy Rushton,Aye,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,6,"continue the public hearing to the February 13, 2020, Planning Commission Meeting",Procedural/Administrative,Passed unanimously,Dennis Hansen,,,,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
2020-01-23,2020,Riverton Planning Commission Meeting,PlanningCommission,7,to nominate Gary Cannon to serve as Planning Commission Chair and Kent Hartley to serve as Vice-Chair. Commissioner Lefgren,Procedural/Administrative,Passed unanimously,Troy Rushton,Grant Lefgren,,,minutes/2020/2020-01-20/2020-01-23_planning-commission.md,minutes
