commissioner,first_seen,last_seen,meetings_present,vote_rows
Gary Cannon,2020-01-23,2026-06-11,99,90
Troy Rushton,2020-01-23,2025-12-11,97,109
Shelly Cluff,2021-02-11,2026-06-11,90,82
Evan Matheson,2022-02-10,2026-05-28,73,64
Darren Park,2022-02-10,2026-06-11,60,43
Monique Beck,2023-04-13,2026-06-11,49,45
Keith Breinholt,2021-02-11,2023-03-09,37,41
Brian Russell,2020-01-23,2022-01-27,35,52
Crystal Keele,2024-06-13,2026-06-11,33,29
Grant Lefgren,2020-01-23,2022-01-27,31,55
Jon Gilchrist,2022-02-10,2024-04-11,30,28
Kent Hartley,2020-01-23,2021-02-11,19,28
Natalia Brown,2021-02-11,2022-01-13,18,33
Ed James,2020-01-23,2020-12-10,17,20
Dennis Hansen,2020-01-23,2021-01-14,16,24
Chris Knudsen,2024-08-08,2025-10-09,8,7
Joe Marzo,2026-02-12,2026-06-11,8,3
