date,body_id,kind,reason,verified_date
2022-05-12,5473,other,notice body: Planning Commission meeting 2022-05-12 CANCELLED (next 2022-05-26) — no minutes,2026-07-17
2022-09-06,889,other,notice body: City Council meeting 2022-09-06 CANCELLED (next 2022-09-20) — no minutes,2026-07-17
2023-06-08,5473,other,notice body: Planning Commission meeting 2023-06-08 cancelled (next 2023-06-22) — no minutes,2026-07-17
2024-01-25,5473,other,notice body: Planning Commission meeting 2024-01-25 cancelled (lack of agenda items) — no minutes,2026-07-17
2024-03-14,5473,other,notice body: Planning Commission meeting 2024-03-14 cancelled (lack of agenda items) — no minutes,2026-07-17
2024-09-17,889,other,notice body: City Council meeting 2024-09-17 CANCELLED (next 2024-10-01) — no minutes,2026-07-17
2024-09-26,5473,other,notice body: Planning Commission meeting 2024-09-26 cancelled — no minutes,2026-07-17
2025-01-23,5473,other,notice body: Planning Commission meeting 2025-01-23 cancelled (next 2025-02-13) — no minutes,2026-07-17
2025-09-02,889,other,notice body: City Council meeting 2025-09-02 cancelled (next 2025-09-16) — no minutes,2026-07-17
2025-09-11,5473,other,notice body: Planning Commission meeting 2025-09-11 cancelled (next 2025-09-25) — no minutes,2026-07-17
2026-01-22,5473,other,notice body: Planning Commission meeting 2026-01-22 CANCELLED (next 2026-02-12) — no minutes,2026-07-17
2026-03-26,5473,other,notice body: Planning Commission meeting 2026-03-26 cancelled — no minutes,2026-07-17
