date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2025-02-18,2025,Riverton City Council Meeting,Council,1,adjourn the Work Session. Councilmember Pierucci,Procedural/Administrative,Passed unanimously,Tawnee McCay,Andy Pierucci,Andy Pierucci,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,1,adjourn the Work Session. Councilmember Pierucci,Procedural/Administrative,Passed unanimously,Tawnee McCay,Andy Pierucci,Spencer Haymond,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,1,adjourn the Work Session. Councilmember Pierucci,Procedural/Administrative,Passed unanimously,Tawnee McCay,Andy Pierucci,Tawnee McCay,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,1,adjourn the Work Session. Councilmember Pierucci,Procedural/Administrative,Passed unanimously,Tawnee McCay,Andy Pierucci,Tish Buroker,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,1,adjourn the Work Session. Councilmember Pierucci,Procedural/Administrative,Passed unanimously,Tawnee McCay,Andy Pierucci,Troy McDougal,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,2,approve the Consent Agenda. Councilmember Buroker,Procedural/Administrative,Passed unanimously,Tawnee McCay,Tish Buroker,Andy Pierucci,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,2,approve the Consent Agenda. Councilmember Buroker,Procedural/Administrative,Passed unanimously,Tawnee McCay,Tish Buroker,Spencer Haymond,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,2,approve the Consent Agenda. Councilmember Buroker,Procedural/Administrative,Passed unanimously,Tawnee McCay,Tish Buroker,Tawnee McCay,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,2,approve the Consent Agenda. Councilmember Buroker,Procedural/Administrative,Passed unanimously,Tawnee McCay,Tish Buroker,Tish Buroker,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,2,approve the Consent Agenda. Councilmember Buroker,Procedural/Administrative,Passed unanimously,Tawnee McCay,Tish Buroker,Troy McDougal,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,3,approve Resolution No. 25-09 – Approving Amendments to the 2024-2025 Fiscal Year Budget. Councilmember McDougal,Resolution,Passed unanimously,Andy Pierucci,Troy McDougal,Andy Pierucci,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,3,approve Resolution No. 25-09 – Approving Amendments to the 2024-2025 Fiscal Year Budget. Councilmember McDougal,Resolution,Passed unanimously,Andy Pierucci,Troy McDougal,Spencer Haymond,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,3,approve Resolution No. 25-09 – Approving Amendments to the 2024-2025 Fiscal Year Budget. Councilmember McDougal,Resolution,Passed unanimously,Andy Pierucci,Troy McDougal,Tawnee McCay,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,3,approve Resolution No. 25-09 – Approving Amendments to the 2024-2025 Fiscal Year Budget. Councilmember McDougal,Resolution,Passed unanimously,Andy Pierucci,Troy McDougal,Tish Buroker,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,3,approve Resolution No. 25-09 – Approving Amendments to the 2024-2025 Fiscal Year Budget. Councilmember McDougal,Resolution,Passed unanimously,Andy Pierucci,Troy McDougal,Troy McDougal,Aye,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
2025-02-18,2025,Riverton City Council Meeting,Council,4,adjourn the City Council meeting. Councilmember Pierucci,Procedural/Administrative,Passed unanimously,Troy McDougal,Andy Pierucci,,,minutes/2025/2025-02-17/2025-02-18_city-council.md,minutes
