date,body,md_path,source_url,minutes_status,note
2020-01-15,Housing Authority,agencies/housing_authority/minutes/2020/2020-01-15_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/02/04a-HACSL-Board-Minutes-20.01.15.pdf,Final,
2020-02-19,Housing Authority,agencies/housing_authority/minutes/2020/2020-02-19_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/08/04a-HACSL-Board-Minutes-20.02.19.pdf,Final,Annual meeting
2020-03-18,Housing Authority,agencies/housing_authority/minutes/2020/2020-03-18_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/08/04a-HACSL-Board-Minutes-20.03.18-v1.pdf,Final,
2020-04-15,Housing Authority,agencies/housing_authority/minutes/2020/2020-04-15_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/08/04a-HACSL-Board-Minutes-20.04.15.pdf,Final,
2020-05-20,Housing Authority,agencies/housing_authority/minutes/2020/2020-05-20_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/08/04a-HACSL-Board-Minutes-20.05.20.pdf,Final,
2020-06-17,Housing Authority,agencies/housing_authority/minutes/2020/2020-06-17_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/09/04a-Housing-Connect-Board-Minutes-20.06.17.pdf,Final,
2020-07-15,Housing Authority,agencies/housing_authority/minutes/2020/2020-07-15_housing_authority.md,https://housingconnect.org/wp-content/uploads/2020/09/04b-Housing-Connect-Board-Minutes-20.07.15.pdf,Final,
2020-08-19,Housing Authority,agencies/housing_authority/minutes/2020/2020-08-19_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-20.08.19.pdf,Final,
2020-09-16,Housing Authority,agencies/housing_authority/minutes/2020/2020-09-16_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-20.09.16.pdf,Final,
2020-10-21,Housing Authority,agencies/housing_authority/minutes/2020/2020-10-21_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-20.10.21-revised.pdf,Final,
2020-11-18,Housing Authority,agencies/housing_authority/minutes/2020/2020-11-18_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04b-Housing-Connect-Board-Minutes-20.11.18.pdf,Final,
2020-12-16,Housing Authority,agencies/housing_authority/minutes/2020/2020-12-16_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-20.12.16.pdf,Final,
2021-01-20,Housing Authority,agencies/housing_authority/minutes/2021/2021-01-20_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.01.20.pdf,Final,
2021-02-17,Housing Authority,agencies/housing_authority/minutes/2021/2021-02-17_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.02.17.pdf,Final,
2021-03-17,Housing Authority,agencies/housing_authority/minutes/2021/2021-03-17_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.03.17.pdf,Final,
2021-04-21,Housing Authority,agencies/housing_authority/minutes/2021/2021-04-21_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.04.21.pdf,Final,
2021-05-19,Housing Authority,agencies/housing_authority/minutes/2021/2021-05-19_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.05.19.pdf,Final,
2021-06-07,Housing Authority,agencies/housing_authority/minutes/2021/2021-06-07_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.06.07-amended.pdf,Final,Special meeting
2021-06-16,Housing Authority,agencies/housing_authority/minutes/2021/2021-06-16_housing_authority.md,https://housingconnect.org/wp-content/uploads/2021/09/04a-Housing-Connect-Board-Minutes-21.06.16.pdf,Final,
2021-07-21,Housing Authority,agencies/housing_authority/minutes/2021/2021-07-21_housing_authority.md,https://housingconnect.org/wp-content/uploads/2022/09/04a-Housing-Connect-Board-Minutes-21.07.21.pdf,Final,Special meeting
2021-08-18,Housing Authority,agencies/housing_authority/minutes/2021/2021-08-18_housing_authority.md,https://housingconnect.org/wp-content/uploads/2022/09/04a-Housing-Connect-Board-Minutes-21.08.18.pdf,Final,
