date,body,md_path,source_url,minutes_status,note
2020-02-11,Redevelopment Agency,agencies/minutes/2020/2020-02-11_redevelopment_agency_2937.md,https://slco.legistar1.com/slco/meetings/2020/2/2937_M_Redevelopment_Agency_20-02-11_Meeting_Minutes.pdf,Final,
2020-04-28,Redevelopment Agency,agencies/minutes/2020/2020-04-28_redevelopment_agency_2958.md,https://slco.legistar1.com/slco/meetings/2020/4/2958_M_Redevelopment_Agency_20-04-28_Meeting_Minutes.pdf,Final,
2020-06-02,Salt Lake County Municipal Building Authority,agencies/minutes/2020/2020-06-02_salt_lake_county_municipal_building_authority_2984.md,https://slco.legistar1.com/slco/meetings/2020/6/2984_M_Salt_Lake_County_Municipal_Building_Authority_20-06-02_Meeting_Minutes.pdf,Final,
2020-06-16,Redevelopment Agency,agencies/minutes/2020/2020-06-16_redevelopment_agency_2987.md,https://slco.legistar1.com/slco/meetings/2020/6/2987_M_Redevelopment_Agency_20-06-16_Meeting_Minutes.pdf,Final,
2020-06-16,Salt Lake County Municipal Building Authority,agencies/minutes/2020/2020-06-16_salt_lake_county_municipal_building_authority_2986.md,https://slco.legistar1.com/slco/meetings/2020/6/2986_M_Salt_Lake_County_Municipal_Building_Authority_20-06-16_Meeting_Minutes.pdf,Final,
2020-08-11,Redevelopment Agency,agencies/minutes/2020/2020-08-11_redevelopment_agency_3010.md,https://slco.legistar1.com/slco/meetings/2020/8/3010_M_Redevelopment_Agency_20-08-11_Meeting_Minutes.pdf,Final,
2020-10-13,Redevelopment Agency,agencies/minutes/2020/2020-10-13_redevelopment_agency_3030.md,https://slco.legistar1.com/slco/meetings/2020/10/3030_M_Redevelopment_Agency_20-10-13_Meeting_Minutes.pdf,Final,
2020-11-10,Redevelopment Agency,agencies/minutes/2020/2020-11-10_redevelopment_agency_3046.md,https://slco.legistar1.com/slco/meetings/2020/11/3046_M_Redevelopment_Agency_20-11-10_Meeting_Minutes.pdf,Final,
2020-12-01,Redevelopment Agency,agencies/minutes/2020/2020-12-01_redevelopment_agency_3055.md,https://slco.legistar1.com/slco/meetings/2020/12/3055_M_Redevelopment_Agency_20-12-01_Meeting_Minutes.pdf,Final,
2020-12-01,Salt Lake County Municipal Building Authority,agencies/minutes/2020/2020-12-01_salt_lake_county_municipal_building_authority_3056.md,https://slco.legistar1.com/slco/meetings/2020/12/3056_M_Salt_Lake_County_Municipal_Building_Authority_20-12-01_Meeting_Minutes.pdf,Final,
2021-03-16,Redevelopment Agency,agencies/minutes/2021/2021-03-16_redevelopment_agency_3087.md,https://slco.legistar1.com/slco/meetings/2021/3/3087_M_Redevelopment_Agency_21-03-16_Meeting_Minutes.pdf,Final,
2021-06-22,Redevelopment Agency,agencies/minutes/2021/2021-06-22_redevelopment_agency_3130.md,https://slco.legistar1.com/slco/meetings/2021/6/3130_M_Redevelopment_Agency_21-06-22_Meeting_Minutes.pdf,Final,
2021-06-22,Salt Lake County Municipal Building Authority,agencies/minutes/2021/2021-06-22_salt_lake_county_municipal_building_authority_3131.md,https://slco.legistar1.com/slco/meetings/2021/6/3131_M_Salt_Lake_County_Municipal_Building_Authority_21-06-22_Meeting_Minutes.pdf,Final,
2021-07-20,Salt Lake County Municipal Building Authority,agencies/minutes/2021/2021-07-20_salt_lake_county_municipal_building_authority_3138.md,https://slco.legistar1.com/slco/meetings/2021/7/3138_M_Salt_Lake_County_Municipal_Building_Authority_21-07-20_Meeting_Minutes.pdf,Final,
2021-08-31,Salt Lake County Municipal Building Authority,agencies/minutes/2021/2021-08-31_salt_lake_county_municipal_building_authority_3161.md,https://slco.legistar1.com/slco/meetings/2021/8/3161_M_Salt_Lake_County_Municipal_Building_Authority_21-08-31_Meeting_Minutes.pdf,Final,
2021-10-12,Redevelopment Agency,,,Draft,no minutes file published
2021-11-23,Redevelopment Agency,agencies/minutes/2021/2021-11-23_redevelopment_agency_3201.md,https://slco.legistar1.com/slco/meetings/2021/11/3201_M_Redevelopment_Agency_21-11-23_Meeting_Minutes.pdf,Final,
2021-12-07,Redevelopment Agency,agencies/minutes/2021/2021-12-07_redevelopment_agency_3205.md,https://slco.legistar1.com/slco/meetings/2021/12/3205_M_Redevelopment_Agency_21-12-07_Meeting_Minutes.pdf,Final,
2021-12-07,Salt Lake County Municipal Building Authority,agencies/minutes/2021/2021-12-07_salt_lake_county_municipal_building_authority_3204.md,https://slco.legistar1.com/slco/meetings/2021/12/3204_M_Salt_Lake_County_Municipal_Building_Authority_21-12-07_Meeting_Minutes.pdf,Final,
2022-06-14,Redevelopment Agency,agencies/minutes/2022/2022-06-14_redevelopment_agency_3283.md,https://slco.legistar1.com/slco/meetings/2022/6/3283_M_Redevelopment_Agency_22-06-14_Meeting_Minutes.pdf,Final,
2022-06-21,Redevelopment Agency,agencies/minutes/2022/2022-06-21_redevelopment_agency_3286.md,https://slco.legistar1.com/slco/meetings/2022/6/3286_M_Redevelopment_Agency_22-06-21_Meeting_Minutes.pdf,Final,
2022-06-21,Salt Lake County Municipal Building Authority,agencies/minutes/2022/2022-06-21_salt_lake_county_municipal_building_authority_3285.md,https://slco.legistar1.com/slco/meetings/2022/6/3285_M_Salt_Lake_County_Municipal_Building_Authority_22-06-21_Meeting_Minutes.pdf,Final,
2022-10-18,Redevelopment Agency,agencies/minutes/2022/2022-10-18_redevelopment_agency_3334.md,https://slco.legistar1.com/slco/meetings/2022/10/3334_M_Redevelopment_Agency_22-10-18_Meeting_Minutes.pdf,Final,
2022-10-25,Redevelopment Agency,agencies/minutes/2022/2022-10-25_redevelopment_agency_3335.md,https://slco.legistar1.com/slco/meetings/2022/10/3335_M_Redevelopment_Agency_22-10-25_Meeting_Minutes.pdf,Final,
2022-11-01,Redevelopment Agency,agencies/minutes/2022/2022-11-01_redevelopment_agency_3347.md,https://slco.legistar1.com/slco/meetings/2022/11/3347_M_Redevelopment_Agency_22-11-01_Meeting_Minutes.pdf,Final,
2022-11-22,Redevelopment Agency,agencies/minutes/2022/2022-11-22_redevelopment_agency_3358.md,https://slco.legistar1.com/slco/meetings/2022/11/3358_M_Redevelopment_Agency_22-11-22_Meeting_Minutes.pdf,Final,
2022-12-06,Redevelopment Agency,agencies/minutes/2022/2022-12-06_redevelopment_agency_3360.md,https://slco.legistar1.com/slco/meetings/2022/12/3360_M_Redevelopment_Agency_22-12-06_Meeting_Minutes.pdf,Final,
2022-12-06,Salt Lake County Municipal Building Authority,agencies/minutes/2022/2022-12-06_salt_lake_county_municipal_building_authority_3361.md,https://slco.legistar1.com/slco/meetings/2022/12/3361_M_Salt_Lake_County_Municipal_Building_Authority_22-12-06_Meeting_Minutes.pdf,Final,
2023-01-10,Redevelopment Agency,agencies/minutes/2023/2023-01-10_redevelopment_agency_3369.md,https://slco.legistar1.com/slco/meetings/2023/1/3369_M_Redevelopment_Agency_23-01-10_Meeting_Minutes.pdf,Final,
2023-03-21,Redevelopment Agency,agencies/minutes/2023/2023-03-21_redevelopment_agency_3404.md,https://slco.legistar1.com/slco/meetings/2023/3/3404_M_Redevelopment_Agency_23-03-21_Meeting_Minutes.pdf,Final,
2023-06-20,Redevelopment Agency,agencies/minutes/2023/2023-06-20_redevelopment_agency_3441.md,https://slco.legistar1.com/slco/meetings/2023/6/3441_M_Redevelopment_Agency_23-06-20_Meeting_Minutes.pdf,Final,
2023-06-20,Salt Lake County Municipal Building Authority,agencies/minutes/2023/2023-06-20_salt_lake_county_municipal_building_authority_3448.md,https://slco.legistar1.com/slco/meetings/2023/6/3448_M_Salt_Lake_County_Municipal_Building_Authority_23-06-20_Meeting_Minutes.pdf,Final,
2023-06-27,Redevelopment Agency,agencies/minutes/2023/2023-06-27_redevelopment_agency_3453.md,https://slco.legistar1.com/slco/meetings/2023/6/3453_M_Redevelopment_Agency_23-06-27_Meeting_Minutes.pdf,Final,
2023-11-07,Redevelopment Agency,,,Final,no minutes file published
2023-12-05,Redevelopment Agency,agencies/minutes/2023/2023-12-05_redevelopment_agency_3509.md,https://slco.legistar1.com/slco/meetings/2023/12/3509_M_Redevelopment_Agency_23-12-05_Meeting_Minutes.pdf,Final,
2023-12-05,Salt Lake County Municipal Building Authority,agencies/minutes/2023/2023-12-05_salt_lake_county_municipal_building_authority_3514.md,https://slco.legistar1.com/slco/meetings/2023/12/3514_M_Salt_Lake_County_Municipal_Building_Authority_23-12-05_Meeting_Minutes.pdf,Final,
2024-02-06,Redevelopment Agency,agencies/minutes/2024/2024-02-06_redevelopment_agency_3539.md,https://slco.legistar1.com/slco/meetings/2024/2/3539_M_Redevelopment_Agency_24-02-06_Meeting_Minutes.pdf,Final,
2024-02-27,Redevelopment Agency,agencies/minutes/2024/2024-02-27_redevelopment_agency_3544.md,https://slco.legistar1.com/slco/meetings/2024/2/3544_M_Redevelopment_Agency_24-02-27_Meeting_Minutes.pdf,Final,
2024-06-04,Redevelopment Agency,agencies/minutes/2024/2024-06-04_redevelopment_agency_3605.md,https://slco.legistar1.com/slco/meetings/2024/6/3605_M_Redevelopment_Agency_24-06-04_Meeting_Minutes.pdf,Final,
2024-06-18,Redevelopment Agency,agencies/minutes/2024/2024-06-18_redevelopment_agency_3604.md,https://slco.legistar1.com/slco/meetings/2024/6/3604_M_Redevelopment_Agency_24-06-18_Meeting_Minutes.pdf,Final,
2024-06-18,Salt Lake County Municipal Building Authority,agencies/minutes/2024/2024-06-18_salt_lake_county_municipal_building_authority_3612.md,https://slco.legistar1.com/slco/meetings/2024/6/3612_M_Salt_Lake_County_Municipal_Building_Authority_24-06-18_Meeting_Minutes.pdf,Final,
2024-08-13,Redevelopment Agency,agencies/minutes/2024/2024-08-13_redevelopment_agency_3628.md,https://slco.legistar1.com/slco/meetings/2024/8/3628_M_Redevelopment_Agency_24-08-13_Meeting_Minutes.pdf,Final,
2024-08-20,Salt Lake County Municipal Building Authority,agencies/minutes/2024/2024-08-20_salt_lake_county_municipal_building_authority_3637.md,https://slco.legistar1.com/slco/meetings/2024/8/3637_M_Salt_Lake_County_Municipal_Building_Authority_24-08-20_Meeting_Minutes.pdf,Final,
2024-10-08,Salt Lake County Municipal Building Authority,agencies/minutes/2024/2024-10-08_salt_lake_county_municipal_building_authority_3689.md,https://slco.legistar1.com/slco/meetings/2024/10/3689_M_Salt_Lake_County_Municipal_Building_Authority_24-10-08_Meeting_Minutes.pdf,Final,
2024-11-19,Redevelopment Agency,agencies/minutes/2024/2024-11-19_redevelopment_agency_3699.md,https://slco.legistar1.com/slco/meetings/2024/11/3699_M_Redevelopment_Agency_24-11-19_Meeting_Minutes.pdf,Final,
2024-12-10,Redevelopment Agency,agencies/minutes/2024/2024-12-10_redevelopment_agency_3698.md,https://slco.legistar1.com/slco/meetings/2024/12/3698_M_Redevelopment_Agency_24-12-10_Meeting_Minutes.pdf,Final,
