path,pages,bytes,text_layer_fonts,pdftotext_chars,listing_candidate,listing_office,listing_label,folder_year,folder_period,n_listing_anchors,doc_kind,form_family,doc_candidate,doc_office_verbatim,doc_report_type_boxes,doc_signature_date_verbatim,index_candidate,candidate_basis,index_date,date_basis,index_office,index_seat,office_basis,index_filing_type,filing_type_basis,schedule_a_inspection,flags
raw/globalassets/2020_disclosures__april__dekeyzer-financial-disclosure---interim-4.5.20_redacted.pdf,7,10372748,0,0,Aaron Dekeyzer,Council #6,April 2020,2020,april,1,fdr,2020,AARON DEKEYZER,COUNTY COUNCIL 6,April 5,4/1/2020,AARON DEKEYZER,"form cover 'Name of Candidate or Officeholder', verbatim",2020-04-01,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,
raw/globalassets/forms__dekeyzer-financial-disclosure_redacted.pdf,7,4764670,0,0,Aaron Dekeyzer,Council #6,2020 Year End Report,2020,forms,1,fdr,2020,AARON DEKEYZER,COUNTY COUNCIL 6,Year-End (Jan 31),2/1/2021,AARON DEKEYZER,"form cover 'Name of Candidate or Officeholder', verbatim",2021-02-01,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,form-year 2020 on a report signed 2021 (the 2020 year-end)
raw/globalassets/2020_disclosures__june__dekeyzer-county-council-6---redacted.pdf,10,17371808,0,0,Aaron Dekeyzer,Council #6,June 2020,2020,june,1,fdr,2020,Aaron De Keyzer,County Council 6,Seven days before a primary election,6/22/20,Aaron De Keyzer,"form cover 'Name of Candidate or Officeholder', verbatim",2020-06-22,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June 2020' vs form pre-primary box
raw/globalassets/2020_disclosures__september__aaron-dekeyzer-council-6_redacted.pdf,7,5633653,0,0,Aaron Dekeyzer,Council #6,Sept 2020,2020,september,1,fdr,2020,AARON DEKEYZER,COUNTY COUNCIL 6,September 15,9/15/2020,AARON DEKEYZER,"form cover 'Name of Candidate or Officeholder', verbatim",2020-09-15,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: September 15,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2018_disclosures__2018_year_end__adam-guyman_redacted.pdf,1,257256,0,0,Adam Guyman,Council At-Large C,2018 Dissolution,2018,2018_year_end,1,dissolution-notice,dissolution-notice,Adam Guymon,Salt Lake County Council At-Large C,(dissolution notice - no Type-of-Report box),12/05/2018,Adam Guymon,'Name of County Office Candidate' on the Statement of Campaign Dissolution (the PDF holds no FDR cover),2018-12-05,form-signature,County Council,At-Large C,document,,no Type-of-Report block to read -- dissolution notice - no Type-of-Report box,no-schedule-a-page-in-the-document,1-page notice; no Summary Page exists; name spelled Guymon here and GUYMAN on his report covers
raw/globalassets/2018_disclosures__october__adam-guyman-10-30_redacted2.pdf,4,514036,0,0,Adam Guyman,Council At-Large C,October,2018,october,1,fdr,2018,ADAM GUYMAN,COUNCIL AT-LARGE C,Seven days before a general election,10/29/18,ADAM GUYMAN,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-29,form-signature,County Council,At-Large C,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2018_disclosures__september__guyman-adam-council-at-large-c1.pdf,5,741901,0,0,Adam Guyman,Council At-Large C,September,2018,september,1,bundle,2018,ADAM GUYMON,COUNCIL AT-LARGE,September 15,,ADAM GUYMON,"form cover 'Name of Candidate or Officeholder', verbatim (the FDR cover is NOT page 1 -- other documents are bundled in front of it)",,none,County Council,At-Large C,document (office) + clerk listing (the seat letter; the form's Office Sought reads only 'AT-LARGE'),interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,"page 1 is a Statement of Organization for a Candidate (9-12-18), not a cover; FDR signature date left blank"
raw/globalassets/2018_disclosures__2018_year_end__ann-granato_redacted.pdf,4,719086,0,0,Ann Granato,Council #4,2018 Summary Report,2018,2018_year_end,1,fdr,2018,Ann Granato,County Council 4,Year-End (Jan 31),1/30/19,Ann Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-30,form-signature,County Council,District 4,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),listing '2018 Summary Report' vs form Year-End
raw/globalassets/2018_disclosures__october__ann-granato-10-30_redacted.pdf,4,609792,0,0,Ann Granato,Council #4,October,2018,october,1,fdr,2018,ANN GRANATO,County Council 4,Seven days before a general election,,ANN GRANATO,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-30,clerk-received-stamp,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,signature date blank/obscured by the redaction bar
raw/globalassets/2018_disclosures__september__granato-ann-council-41.pdf,5,1135547,0,0,Ann Granato,Council #4,September,2018,september,1,fdr,2018,Ann Granato,County Council 4,September 15,9/15/2018,Ann Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2018-09-15,form-signature,County Council,District 4,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/ann-granato---redacted.pdf,7,537118,0,0,Ann Granato,Council #4,2019 Year End Report,2019,(root),1,fdr,2019,Ann Granato,County Council 4,Year-End (Jan 31),1/28/2020,Ann Granato,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-28,form-signature,County Council,District 4,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2014_disclosures__2014_year_end__mcadams-2014-year-end-amendment_redacted.pdf,10,793115,0,0,Ben McAdams,Mayor,Amendment to 2014 Summary Report,2014,2014_year_end,1,fdr,2014-county-and-local-school-board,Ben McAdams,Mayor,Year-End (Jan 31),"August 24, 2015",Ben McAdams,"form cover 'Name of Candidate or Officeholder', verbatim",2015-08-24,form-signature,Mayor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,cover NOT redacted; 'Amended Report' written in the date field but the amendment box is not checked; typed spreadsheet attachments
raw/globalassets/2015_disclosures__2015_year_end__ben_mcadams2015ye.pdf,8,903768,0,0,Ben McAdams,Mayor,2015 Summary Report,2015,2015_year_end,1,fdr,2015,BEN McADAMS,MAYOR,Year-End (Jan 31),2/1/16,BEN McADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2016-02-01,form-signature,Mayor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2016_disclosures__2016_year_end__ben-mcadams_redacted.pdf,6,847816,0,0,Ben McAdams,Mayor,2016 Summary Report,2016,2016_year_end,1,fdr,2016,BEN McADAMS,MAYOR,Year-End (Jan 31),1/31/2017,BEN McADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-31,form-signature,Mayor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2016_disclosures__april__ben-mcadams_april.pdf,5,564217,0,0,Ben McAdams,Mayor,April,2016,april,1,fdr,2016,BEN MCADAMS,MAYOR,April 5,4/4/16,BEN MCADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2016-04-04,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,NOT REDACTED - contributor mailing addresses visible on Schedule A
raw/globalassets/2016_disclosures__june__ben-mcadams---mayor_redacted.pdf,10,1323740,0,0,Ben McAdams,Mayor,June,2016,june,1,fdr,2016,BEN MCADAMS,MAYOR,Seven days before a primary election,6/21/16,BEN MCADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2016-06-21,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June'
raw/globalassets/2016_disclosures__november__ben-mcadams-mayor_redacted.pdf,12,1776462,0,0,Ben McAdams,Mayor,November,2016,november,1,fdr,2016,BEN MCADAMS,MAYOR,Seven days before a general election,11/1/16,BEN MCADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2016-11-01,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,listing label 'November'
raw/globalassets/2016_disclosures__september__ben-mcadams_redacted.pdf,14,1938716,0,0,Ben McAdams,Mayor,September,2016,september,1,fdr,2016,BEN MCADAMS,MAYOR,September 15,9/14/16,BEN MCADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2016-09-14,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,Summary Page self-dates 9/15/16
raw/globalassets/ben-mcadams_redacted.pdf,6,788789,0,0,Ben McAdams,Mayor,2017 Summary Report,2017,(root),1,fdr,2016,BEN McADAMS,MAYOR,Year-End (Jan 31),1-30-2018,BEN McADAMS,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-30,form-signature,Mayor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,FORM TITLE says 2016 but this is the 2017 year-end (signed + received Jan 2018)
raw/globalassets/2015_disclosures__2015_year_end__b_goodfellow_2015ye.pdf,2,390667,0,0,Brent Goodfellow,Council #2,2015 Summary Report,2015,2015_year_end,1,fdr,2015,BRENT H. GOODFELLOW,COUNTY COMMISSION 2,Year-End (Jan 31),1-6-16,BRENT H. GOODFELLOW,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-06,form-signature,County Council,District 2,"clerk listing (the form names a non-existent office, 'COUNTY COMMISSION 2')",year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),no-schedule-a-page-in-the-document,"FORM names a non-existent office 'COUNTY COMMISSION 2'; office taken from the clerk listing (Council #2). 2-page filing: cover + Summary only, no schedules"
raw/globalassets/2015_disclosures__2015_year_end__c.-stout-ye-2015.pdf,4,206881,0,0,Christopher Stout,Auditor,2015 Summary Report,2015,2015_year_end,1,fdr,2015,"Stout, Christopher",Auditor,Final / Dissolution Report,1/11/2016,"Stout, Christopher","form cover 'Name of Candidate or Officeholder', verbatim",2016-01-11,form-signature,Auditor,,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,listing '2015 Summary Report' vs form Final/Dissolution; Schedule A dated 1/11/2015 (filer year typo)
raw/globalassets/2016_disclosures__2016_year_end__dave-robinson_redacted.pdf,4,553040,0,0,Dave Robinson,Mayor,2016 Summary Report,2016,2016_year_end,1,fdr,2016,Dave Robinson,County Mayor,Final / Dissolution Report,1/31/17,Dave Robinson,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-31,form-signature,Mayor,,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,listing '2016 Summary Report' vs form Final/Dissolution
raw/globalassets/2016_disclosures__november__dave-robinson_redacted.pdf,4,595164,0,0,Dave Robinson,Mayor,November 2016 Financial Disclosure Report,2016,november,1,fdr,2016,Dave Robinson,County Mayor,Seven days before a general election,11/1/16,Dave Robinson,"form cover 'Name of Candidate or Officeholder', verbatim",2016-11-01,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,filer-attachment-observed (carries an occupation/employer-equivalent column),"itemization is a typed filer ATTACHMENT, not the county Schedule A grid"
raw/globalassets/2016_disclosures__september__dave-robinson_redacted.pdf,3,567021,0,0,Dave Robinson,Mayor,September 2016 Financial Disclosure Report,2016,september,1,fdr,2016,Dave Robinson,Mayor,September 15,9/15/16,Dave Robinson,"form cover 'Name of Candidate or Officeholder', verbatim",2016-09-15,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: September 15,filer-attachment-observed (carries an occupation/employer-equivalent column),itemization is a typed filer ATTACHMENT (columns Name/Address/Employeer/Professon/Date/Amount)
raw/globalassets/2020_disclosures__april__alvord-financial-disclosures_redacted.pdf,3,2338311,0,0,David Alvord,Council #2,April 2020,2020,april,1,fdr,2018,DAVE ALVORD,Council 2,April 5,3 April 2020,DAVE ALVORD,"form cover 'Name of Candidate or Officeholder', verbatim",2020-04-03,form-signature,County Council,District 2,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,"INCOMPLETE: filer numbers the report 1..4, the PDF holds 3 pages, the SUMMARY PAGE is absent; form-year 2018 on a 2020 filing"
raw/globalassets/2020_disclosures__april__theodore-financial-disclosures_redacted.pdf,4,11875076,0,0,Dea Theodore,Council #6,April 2020,2020,april,1,fdr,2020,Dea Theodore,County Council 6,April 5,4/6/2020,Dea Theodore,"form cover 'Name of Candidate or Officeholder', verbatim",2020-04-06,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,
raw/globalassets/forms__dea-theodore-redacted.pdf,4,808882,0,0,Dea Theodore,Council #6,2020 Year End Reports,2020,forms,1,fdr,2020,Dea Theodore,Council 6,Year-End (Jan 31),2/1/21,Dea Theodore,"form cover 'Name of Candidate or Officeholder', verbatim",2021-02-01,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2020_disclosures__june__theodore-county-council-6_redacted.pdf,5,16486507,0,0,Dea Theodore,Council #6,June 2020,2020,june,1,fdr,2020,Dea Theodore,County Council 6,Seven days before a primary election,6/23/2020,Dea Theodore,"form cover 'Name of Candidate or Officeholder', verbatim",2020-06-23,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June 2020'
raw/globalassets/2020_disclosures__october__dea-theodore-redacted.pdf,6,16668241,0,0,Dea Theodore,Council #6,Oct 2020,2020,october,1,fdr,2020,Dea Theodore,Council 6,Seven days before a general election,,Dea Theodore,"form cover 'Name of Candidate or Officeholder', verbatim",2020-10-27,summary-page,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,cover signature+date block covered by the county redaction bar; date taken from the Summary Page
raw/globalassets/2020_disclosures__september__financial-disclosures-dea-theodore-92020_redacted.pdf,6,19105907,0,0,Dea Theodore,Council #6,Sept 2020,2020,september,1,fdr,2020,Dea Theodore,County Council 6,September 15,9/15/2020,Dea Theodore,"form cover 'Name of Candidate or Officeholder', verbatim",2020-09-15,form-signature,County Council,District 6,document,interim,checked box -- INTERIM REPORTS: September 15,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/dea-theadore-2.pdf,4,1412667,0,0,Dea Theodore,Council #6,2021 Year End Reports,2021,(root),1,fdr,2021,Dea Theodore,County Council 6,Year-End (Jan 31),1/31/22,Dea Theodore,"form cover 'Name of Candidate or Officeholder', verbatim",2022-01-31,form-signature,County Council,District 6,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2020_disclosures__april__erin-preston---april-2020_redacted.pdf,4,6204396,0,0,Erin Preston,Recorder,April 2020,2020,april,1,fdr,2020,Erin Preston,County Recorder,April 5,4/6/20,Erin Preston,"form cover 'Name of Candidate or Officeholder', verbatim",2020-04-06,form-signature,Recorder,,document,interim,checked box -- INTERIM REPORTS: April 5,not-inspected (the Schedule A page was not among the pages read),
raw/globalassets/2020_disclosures__june__preston-recorder_redacted.pdf,4,6395065,0,0,Erin Preston,Recorder,June 2020,2020,june,1,fdr,2018,Erin Preston,County Recorder,Seven days before a primary election,6/19/20,Erin Preston,"form cover 'Name of Candidate or Officeholder', verbatim",2020-06-19,form-signature,Recorder,,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,not-inspected (the Schedule A page was not among the pages read),form-year 2018 on a 2020 filing; listing 'June 2020'
raw/globalassets/2015_disclosures__dissolutions__j-hatch-final-dissolution_fdr.pdf,5,551375,0,0,Jeffrey Hatch,Auditor,Dissolution,2015,dissolutions,1,fdr,untitled-year,Jeffrey Hatch,Auditor,Final / Dissolution Report,11/13/15,Jeffrey Hatch,"form cover 'Name of Candidate or Officeholder', verbatim",2015-11-13,form-signature,Auditor,,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,untitled-year form; footer names a 2012 template
raw/globalassets/jennifer-fresques_redacted.pdf,4,520186,0,0,Jennifer Fresques,Assessor,2019 Year End Report,2019,(root),1,fdr,2019,Jennifer Fresques,Assessor,Year-End (Jan 31),01/17/2020,Jennifer Fresques,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-17,form-signature,Assessor,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,typed cover; typed Occupation/Employer values on Schedule A
raw/globalassets/jenny_wilson2015ye.pdf,6,627178,0,0,Jennifer Wilson,Council At-Large A,2015 Summary Report,2015,(root),1,fdr,2015,Jennifer Wilson,County Council At-Large,Year-End (Jan 31),1/26/16,Jennifer Wilson,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-26,form-signature,County Council,At-Large A,document (office) + clerk listing (the seat letter),year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,Schedule A says 'see attached'
raw/globalassets/jennywilson_dissolution_redacted.pdf,5,1085555,0,0,Jennifer Wilson,Council At-Large A,2019 Dissolution,2019,(root),1,bundle,2018,Jennifer Wilson,SLCo Council At-Large A,Final / Dissolution Report,4/5/19,Jennifer Wilson,"form cover 'Name of Candidate or Officeholder', verbatim (the FDR cover is NOT page 1 -- other documents are bundled in front of it)",2019-04-05,form-signature,County Council,At-Large A,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,not-inspected (the Schedule A page was not among the pages read),"page 1 is a Dissolution of a Candidate Campaign Committee notice, not a cover"
raw/globalassets/2015_disclosures__2015_year_end__jim_bradley2015ye.pdf,4,479293,0,0,Jim Bradley,Council At-Large C,2015 Summary Report,2015,2015_year_end,1,fdr,2015,JIM BRADLEY,Salt Lake County Council At-Large C,Year-End (Jan 31),1-31-16,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-31,form-signature,County Council,At-Large C,document (office) + clerk listing (the seat letter),year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,UNREDACTED contributor address cell on Schedule A
raw/globalassets/2015_disclosures__2015_year_end__jim-bradley-amendment---redacted.pdf,8,791328,0,0,Jim Bradley,Council At-Large C,Amendment to 2015 Summary,2015,2015_year_end,1,fdr,2015,Jim Bradley,County Council At-Large C,Year-End (Jan 31) + amendment Yes (date of report 1-31-16),,Jim Bradley,"form cover 'Name of Candidate or Officeholder', verbatim",2016-03-15,clerk-received-stamp,County Council,At-Large C,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,signature date left blank
raw/globalassets/2016_disclosures__2016_year_end__jim-bradley_redacted.pdf,2,428570,0,0,Jim Bradley,Council At-Large C,2016 Summary Report,2016,2016_year_end,1,fdr,2016,JIM BRADLEY,Salt Lake County Council-C At Large,Year-End (Jan 31),,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-26,clerk-received-stamp,County Council,At-Large C,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),no-schedule-a-page-in-the-document,"signature date blank; 2-page filing: cover + Summary only, no schedules"
raw/globalassets/2016_disclosures__september__bradley-september-amendment-2018.pdf,7,1389105,0,0,Jim Bradley,Council At-Large C,Amendment to September,2016,september,1,fdr,2018,JIM BRADLEY,Council At-Large,NO BOX CHECKED; amendment Yes (date of report 10-5-2018),,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-05,clerk-received-stamp,County Council,At-Large C,document,,no Type-of-Report box checked -- NO BOX CHECKED; amendment Yes (date of report 10-5-2018),county-schedule-a-observed,FOLDER-YEAR LIE: a 2018 document filed under 2016_disclosures/september/; signature+date covered by the redaction bar; amends key 046
raw/globalassets/jim-bradley_redacted.pdf,4,719697,0,0,Jim Bradley,Council At-Large C,2017 Summary Report,2017,(root),1,fdr,2017,JIM BRADLEY,SLCo. Council At Large C,Year-End (Jan 31),1-27-17,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-29,clerk-received-stamp,County Council,At-Large C,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),signature year 17 contradicted by RECEIVED JAN 29 2018 - filer year typo; verbatim signature date kept here
raw/globalassets/2018_disclosures__2018_year_end__jim-bradley_redacted.pdf,4,558913,0,0,Jim Bradley,Council At-Large C,October,2018,2018_year_end,2,fdr,2018,JIM BRADLEY,Co. Council C,Year-End (Jan 31),1-29-2019,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-29,form-signature,County Council,At-Large C,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),not-inspected (the Schedule A page was not among the pages read),"the same URL is listed twice, as 'October' and as '2018 Summary Report'; the form says Year-End"
raw/globalassets/2018_disclosures__april__jim-bradley.pdf,4,764555,0,0,Jim Bradley,Council At-Large C,"Through March 31, 2018",2018,april,1,fdr,2018,JIM BRADLEY,Council At-Large C,April 5,4-3-18,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2018-04-03,form-signature,County Council,At-Large C,document,interim,checked box -- INTERIM REPORTS: April 5,not-inspected (the Schedule A page was not among the pages read),RECEIVED APR 02 2018 - one day BEFORE the signature date; Summary Page Column B struck through and rewritten
raw/globalassets/2018_disclosures__june__jim-bradley_redacted.pdf,4,630458,0,0,Jim Bradley,Council At-Large C,June,2018,june,1,fdr,2018,JIM BRADLEY,Council At-Large C,Seven days before a primary election,6-13-18,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2018-06-13,form-signature,County Council,At-Large C,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,not-inspected (the Schedule A page was not among the pages read),listing label 'June'
raw/globalassets/2018_disclosures__september__bradley-jim--council-at-large-c1.pdf,6,1196847,0,0,Jim Bradley,Council At-Large C,September,2018,september,1,fdr,2018,JIM BRADLEY,Council At Large-C,September 15,9-16-2018,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2018-09-16,form-signature,County Council,At-Large C,document,interim,checked box -- INTERIM REPORTS: September 15,not-inspected (the Schedule A page was not among the pages read),Summary Page self-dates 9-17-18; amended by key 041
raw/globalassets/jim-bradley---redacted.pdf,2,413623,0,0,Jim Bradley,Council At-Large C,2019 Year End Report,2019,(root),1,fdr,2019,JIM BRADLEY,(blank on the form),Year-End (Jan 31),1/31/20,JIM BRADLEY,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-31,form-signature,County Council,At-Large C,clerk listing (Office/Office Sought/District all left blank on the form),year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),no-schedule-a-page-in-the-document,Office/Office Sought/District cells left blank; office taken from the clerk listing. 2-page filing: cover + Summary only
