candidate,office_label,listing_label,folder_year,folder_period,url,filename
Aaron Dekeyzer,Council #6,April 2020,2020,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/april/dekeyzer-financial-disclosure---interim-4.5.20_redacted.pdf,dekeyzer-financial-disclosure---interim-4.5.20_redacted.pdf
Aaron Dekeyzer,Council #6,2020 Year End Report,2020,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/dekeyzer-financial-disclosure_redacted.pdf,dekeyzer-financial-disclosure_redacted.pdf
Aaron Dekeyzer,Council #6,June 2020,2020,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/june/dekeyzer-county-council-6---redacted.pdf,dekeyzer-county-council-6---redacted.pdf
Aaron Dekeyzer,Council #6,Sept 2020,2020,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/september/aaron-dekeyzer-council-6_redacted.pdf,aaron-dekeyzer-council-6_redacted.pdf
Adam Guyman,Council At-Large C,2018 Dissolution,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/adam-guyman_redacted.pdf,adam-guyman_redacted.pdf
Adam Guyman,Council At-Large C,October,2018,october,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/october/adam-guyman-10-30_redacted2.pdf,adam-guyman-10-30_redacted2.pdf
Adam Guyman,Council At-Large C,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/guyman-adam-council-at-large-c1.pdf,guyman-adam-council-at-large-c1.pdf
Ann Granato,Council #4,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/ann-granato_redacted.pdf,ann-granato_redacted.pdf
Ann Granato,Council #4,October,2018,october,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/october/ann-granato-10-30_redacted.pdf,ann-granato-10-30_redacted.pdf
Ann Granato,Council #4,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/granato-ann-council-41.pdf,granato-ann-council-41.pdf
Ann Granato,Council #4,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/ann-granato---redacted.pdf,ann-granato---redacted.pdf
Ben McAdams,Mayor,Amendment to 2014 Summary Report,2014,2014_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2014_disclosures/2014_year_end/mcadams-2014-year-end-amendment_redacted.pdf,mcadams-2014-year-end-amendment_redacted.pdf
Ben McAdams,Mayor,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/ben_mcadams2015ye.pdf,ben_mcadams2015ye.pdf
Ben McAdams,Mayor,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/ben-mcadams_redacted.pdf,ben-mcadams_redacted.pdf
Ben McAdams,Mayor,April,2016,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/april/ben-mcadams_april.pdf,ben-mcadams_april.pdf
Ben McAdams,Mayor,June,2016,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/june/ben-mcadams---mayor_redacted.pdf,ben-mcadams---mayor_redacted.pdf
Ben McAdams,Mayor,November,2016,november,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/november/ben-mcadams-mayor_redacted.pdf,ben-mcadams-mayor_redacted.pdf
Ben McAdams,Mayor,September,2016,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/september/ben-mcadams_redacted.pdf,ben-mcadams_redacted.pdf
Ben McAdams,Mayor,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/ben-mcadams_redacted.pdf,ben-mcadams_redacted.pdf
Brent Goodfellow,Council #2,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/b_goodfellow_2015ye.pdf,b_goodfellow_2015ye.pdf
Christopher Stout,Auditor,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/c.-stout-ye-2015.pdf,c.-stout-ye-2015.pdf
Dave Robinson,Mayor,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/dave-robinson_redacted.pdf,dave-robinson_redacted.pdf
